Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,24.1,FastTapIn,0,1.5911,41.36618, ,0
1,24.12,FastTapIn,0.02,0.7151916,-43.79543, ,0
1,24.14,FastTapIn,0.04,1.242029,26.34189, ,0
1,24.16,FastTapIn,0.06,0.5297623,-35.61336, ,0
1,24.18,FastTapIn,0.08,0.4899336,-1.991434, ,0
2,26.1,FastTapIn,0,0.6570567,-20.55309, ,0
2,26.12,FastTapIn,0.02,1.015435,17.91891, ,0
2,26.14,FastTapIn,0.04,0.5216371,-24.6899, ,0
2,26.16,FastTapIn,0.06,1.084105,28.1234, ,0
2,26.18,FastTapIn,0.08,0.4482802,-31.79125, ,0
3,28.02,FastTapIn,0,0.7437527,-32.83485, ,0
3,28.04,FastTapIn,0.02,1.221881,23.90639, ,0
3,28.06,FastTapIn,0.04,0.5695134,-32.61835, ,0
3,28.08,FastTapIn,0.06,1.264727,34.76068, ,0
3,28.1,FastTapIn,0.08,0.5897629,-33.7482, ,0
4,30.26,FastTapIn,0,0.6591999,-45.73235, ,0
4,30.28,FastTapIn,0.02,1.113378,22.7089, ,0
4,30.3,FastTapIn,0.04,0.4967529,-30.83125, ,0
4,30.32,FastTapIn,0.06,0.2947721,-10.09904, ,0
4,30.34,FastTapIn,0.08,0.7600516,23.26398, ,0
4,30.36,FastTapIn,0.09999999,0.3747941,-19.26288, ,0
5,32.08,FastTapIn,0,1.407469,32.01252, ,0
5,32.1,FastTapIn,0.02,0.6525781,-37.74453, ,0
5,32.12,FastTapIn,0.04,1.319654,33.3538, ,0
5,32.14,FastTapIn,0.06,0.4889117,-41.53712, ,0
6,33.82,FastTapIn,0,1.377877,32.9695, ,0
6,33.84,FastTapIn,0.02,0.6577768,-36.00499, ,0
6,33.86,FastTapIn,0.04,1.355985,34.91043, ,0
6,33.88,FastTapIn,0.06,0.6011739,-37.74058, ,0
7,35.42,FastTapIn,0,0.8080118,12.97818, ,0
7,35.44,FastTapIn,0.02,0.5087044,-14.96537, ,0
7,35.46,FastTapIn,0.04,1.157246,32.42707, ,0
7,35.48,FastTapIn,0.06,0.4018531,-37.76963, ,0
8,37.26,FastTapIn,0,1.042174,17.2881, ,0
8,37.28,FastTapIn,0.02,0.4517382,-29.52179, ,0
8,37.3,FastTapIn,0.04,0.7337644,14.10131, ,0
8,37.32,FastTapIn,0.06,0.335028,-19.93682, ,0
8,37.34,FastTapIn,0.08,0.9310911,29.80315, ,0
8,37.36,FastTapIn,0.09999999,0.3968894,-26.71009, ,0
9,38.76,FastTapIn,0,0.8725777,20.64575, ,0
9,38.78,FastTapIn,0.02,0.4896134,-19.14822, ,0
9,38.8,FastTapIn,0.04,0.9537475,23.2067, ,0
9,38.82,FastTapIn,0.06,0.5134948,-22.01263, ,0
9,38.84,FastTapIn,0.08,0.5169647,0.1734942, ,0
9,38.86,FastTapIn,0.09999999,0.7250329,10.40341, ,0
9,38.88,FastTapIn,0.12,0.1922232,-26.64049, ,0
10,40.42,FastTapIn,0,0.988106,17.91942, ,0
10,40.44,FastTapIn,0.02,0.4760819,-25.60121, ,0
10,40.46,FastTapIn,0.04,0.9644412,24.41797, ,0
10,40.48,FastTapIn,0.06,0.346303,-30.90692, ,0
10,40.5,FastTapIn,0.08,0.5734059,11.35515, ,0
10,40.52,FastTapIn,0.09999999,0.163712,-20.4847, ,0
10,40.54,FastTapIn,0.12,0.3128058,7.454691, ,0
10,40.56,FastTapIn,0.14,0.1779183,-6.744376, ,0
11,46.5,FastTapIn,0,0.7334373,15.4272, ,0
11,46.52,FastTapIn,0.02,0.3495859,-19.19257, ,0
11,46.54,FastTapIn,0.04,0.3448423,-0.2371773, ,0
11,46.56,FastTapIn,0.06,0.4566061,5.588187, ,0
11,46.58,FastTapIn,0.08,0.166191,-14.52075, ,0
11,46.6,FastTapIn,0.09999999,0.3105011,7.215501, ,0
11,46.62,FastTapIn,0.12,0.1611886,-7.465622, ,0
11,46.64,FastTapIn,0.14,0.3283007,8.355603, ,0
11,46.66,FastTapIn,0.16,0.09021337,-11.90437, ,0
11,46.68,FastTapIn,0.18,0.06716302,-1.152517, ,0
11,46.7,FastTapIn,0.2,0.03366438,-1.674932, ,0
11,46.72,FastTapIn,0.22,0.0297553,-0.195454, ,0
11,46.74,FastTapIn,0.24,0.07073546,2.049008, ,0
11,46.76,FastTapIn,0.26,0.0290103,-2.086258, ,0
11,46.78,FastTapIn,0.28,0.03580042,0.3395058, ,0
11,46.8,FastTapIn,0.3,0.02196925,-0.6915584, ,0
11,46.82,FastTapIn,0.32,0.01477712,-0.3596065, ,0
11,46.84,FastTapIn,0.34,0.01670402,0.09634523, ,0
11,46.86,FastTapIn,0.36,0.01803548,0.0665728, ,0
11,46.88,FastTapIn,0.38,0.02387466,0.291959, ,0
11,46.9,FastTapIn,0.4,0.01173717,-0.6068746, ,0
11,46.92,FastTapIn,0.42,0.02540531,0.6834071, ,0
11,46.94,FastTapIn,0.4400001,0.02560385,0.009927154, ,0
11,46.96,FastTapIn,0.4600001,0.05999436,1.719526, ,0
11,46.98,FastTapIn,0.4800001,0.01546379,-2.226529, ,0
11,47,FastTapIn,0.5000001,0.01891222,0.1724214, ,0
11,47.02,FastTapIn,0.52,0.03846573,0.9776759, ,0
11,47.04,FastTapIn,0.54,0.03865459,0.00944268, ,0
11,47.06,FastTapIn,0.56,0.112678,3.70117, ,0
11,47.08,FastTapIn,0.58,0.1003716,-0.6153174, ,0
11,47.1,FastTapIn,0.6,0.3117781,10.57032, ,0
11,47.12,FastTapIn,0.6199999,0.2032807,-5.424867, ,0
11,47.14,FastTapIn,0.6399999,0.8055402,30.11297, ,0
11,47.16,FastTapIn,0.6599999,0.5875444,-10.89979, ,0
12,49.04,FastTapIn,0,0.3829569,-33.84368, ,0
12,49.06,FastTapIn,0.02,0.3734802,-0.4738316, ,0
12,49.08,FastTapIn,0.04,0.7549654,19.07426, ,0
12,49.1,FastTapIn,0.06,0.2510857,-25.19398, ,0
12,49.12,FastTapIn,0.08,0.3586809,5.37976, ,0
12,49.14,FastTapIn,0.09999999,0.1547556,-10.19627, ,0
12,49.16,FastTapIn,0.12,0.2940778,6.966111, ,0
12,49.18,FastTapIn,0.14,0.05576161,-11.91581, ,0
12,49.2,FastTapIn,0.16,0.02024615,-1.775773, ,0
12,49.22,FastTapIn,0.18,0.003154896,-0.8545628, ,0
12,49.24,FastTapIn,0.2,0.01049943,0.3672266, ,0
12,49.26,FastTapIn,0.22,0.02991991,0.9710242, ,0
12,49.28,FastTapIn,0.24,0.01013313,-0.989339, ,0
12,49.3,FastTapIn,0.26,0.0542725,2.206968, ,0
12,49.32,FastTapIn,0.28,0.02576768,-1.425241, ,0
12,49.34,FastTapIn,0.3,0.1895549,8.189362, ,0
12,49.36,FastTapIn,0.32,0.1682627,-1.064608, ,0
12,49.38,FastTapIn,0.34,0.2215002,2.661873, ,0
12,49.4,FastTapIn,0.36,0.8105644,29.45321, ,0
12,49.42,FastTapIn,0.38,0.6935812,-5.849159, ,0
13,51.58,FastTapIn,0,0.5502927,-3.289652, ,0
13,51.6,FastTapIn,0.02,0.7786508,11.41791, ,0
13,51.62,FastTapIn,0.04,0.2363153,-27.11678, ,0
13,51.64,FastTapIn,0.06,0.3506103,5.714752, ,0
13,51.66,FastTapIn,0.08,0.07412984,-13.82403, ,0
13,51.68,FastTapIn,0.09999999,0.1873359,5.660302, ,0
13,51.7,FastTapIn,0.12,0.0427454,-7.229524, ,0
13,51.72,FastTapIn,0.14,0.09936327,2.830894, ,0
13,51.74,FastTapIn,0.16,0.03974171,-2.981078, ,0
13,51.76,FastTapIn,0.18,0.03994234,0.01003128, ,0
13,51.78,FastTapIn,0.2,0.09070504,2.538135, ,0
13,51.8,FastTapIn,0.22,0.03753055,-2.658725, ,0
13,51.82,FastTapIn,0.24,0.02202329,-0.775363, ,0
13,51.84,FastTapIn,0.26,0.02132479,-0.03492497, ,0
13,51.86,FastTapIn,0.28,0.0537814,1.622831, ,0
13,51.88,FastTapIn,0.3,0.0558739,0.1046248, ,0
13,51.9,FastTapIn,0.32,0.06364272,0.3884411, ,0
13,51.92,FastTapIn,0.34,0.2902016,11.32794, ,0
13,51.94,FastTapIn,0.36,0.2086622,-4.076971, ,0
13,51.96,FastTapIn,0.38,0.7524776,27.19077, ,0
14,53.26,FastTapIn,0,0.7587129,-40.89592, ,0
14,53.28,FastTapIn,0.02,1.100778,17.10328, ,0
14,53.3,FastTapIn,0.04,0.4900025,-30.5388, ,0
