Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,55.16,FastTapIn,0,0.6543512,9.058568, ,0
1,55.18,FastTapIn,0.02,0.2956198,-17.93657, ,0
1,55.2,FastTapIn,0.04,0,-14.78099, ,0
1,55.22,FastTapIn,0.06,0.8357636,41.78818, ,0
1,55.24,FastTapIn,0.08,0.1682206,-33.37715, ,0
1,55.26,FastTapIn,0.09999999,0.3846413,10.82104, ,0
1,55.28,FastTapIn,0.12,0.1175919,-13.35247, ,0
1,55.3,FastTapIn,0.14,0.1703916,2.639984, ,0
1,55.32,FastTapIn,0.16,0.03500345,-6.769406, ,0
1,55.34,FastTapIn,0.18,0.09338649,2.919152, ,0
1,55.36,FastTapIn,0.2,0.02519288,-3.409681, ,0
1,55.38,FastTapIn,0.22,0.02982004,0.2313583, ,0
1,55.4,FastTapIn,0.24,0.0487008,0.944038, ,0
1,55.42,FastTapIn,0.26,0.03500731,-0.6846745, ,0
1,55.44,FastTapIn,0.28,0.03997,0.2481341, ,0
1,55.46,FastTapIn,0.3,0.01541216,-1.227892, ,0
1,55.48,FastTapIn,0.32,0.05803049,2.130917, ,0
1,55.5,FastTapIn,0.34,0.0565429,-0.0743797, ,0
1,55.52,FastTapIn,0.36,0.05218177,-0.2180565, ,0
1,55.54,FastTapIn,0.38,0.2019484,7.488334, ,0
1,55.56,FastTapIn,0.4,0.1788684,-1.154003, ,0
1,55.58,FastTapIn,0.42,0.5636931,19.24124, ,0
1,55.6,FastTapIn,0.4400001,0.3886955,-8.749879, ,0
2,56.66,FastTapIn,0,0.2117516,-11.85331, ,0
2,56.68,FastTapIn,0.02,0.2521417,2.019509, ,0
2,56.7,FastTapIn,0.04,0.1531705,-4.948563, ,0
2,56.72,FastTapIn,0.06,0.3303411,8.85853, ,0
2,56.74,FastTapIn,0.08,0.1686312,-8.085495, ,0
2,56.76,FastTapIn,0.09999999,0.3172079,7.428835, ,0
2,56.78,FastTapIn,0.12,0.08076868,-11.82196, ,0
2,56.8,FastTapIn,0.14,0.07550118,-0.263375, ,0
2,56.82,FastTapIn,0.16,0.1668054,4.565209, ,0
2,56.84,FastTapIn,0.18,0.06037268,-5.321634, ,0
2,56.86,FastTapIn,0.2,0.1258066,3.271697, ,0
2,56.88,FastTapIn,0.22,0.05300324,-3.640169, ,0
2,56.9,FastTapIn,0.24,0.1159586,3.147769, ,0
2,56.92,FastTapIn,0.26,0.0621424,-2.690811, ,0
2,56.94,FastTapIn,0.28,0.0230258,-1.95583, ,0
