Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,15.4,FastTapIn,0.0,0.3845372,-10.72935, ,0
1,15.42,FastTapIn,0.02,0.3206514,-3.194289, ,0
1,15.44,FastTapIn,0.04,0.2057432,-5.745409, ,0
1,15.46,FastTapIn,0.06,0.5637138,17.89853, ,0
1,15.48,FastTapIn,0.08,0.09759191,-23.3061, ,0
1,15.5,FastTapIn,0.09999999,0.2090334,5.572072, ,0
1,15.52,FastTapIn,0.12,0.08494332,-6.204502, ,0
1,15.54,FastTapIn,0.14,0.0689835,-0.7979911, ,0
1,15.56,FastTapIn,0.16,0.1340862,3.255136, ,0
2,21.7,FastTapIn,0.0,0.3419345,8.801483, ,0
2,21.72,FastTapIn,0.02,0.1775861,-8.21742, ,0
2,21.74,FastTapIn,0.04,0.3931243,10.77691, ,0
2,21.76,FastTapIn,0.06,0.2430898,-7.501725, ,0
2,21.78,FastTapIn,0.08,0.3663366,6.16234, ,0
2,21.8,FastTapIn,0.09999999,0.1015124,-13.24121, ,0
3,27.1,FastTapIn,0.0,0.6128627,10.81128, ,0
3,27.12,FastTapIn,0.02,0.2174292,-19.77168, ,0
3,27.14,FastTapIn,0.04,0.5260777,15.43242, ,0
3,27.16,FastTapIn,0.06,0.2362487,-14.49145, ,0
3,27.18,FastTapIn,0.08,0.1572382,-3.950529, ,0
3,27.2,FastTapIn,0.09999999,0.2484176,4.558972, ,0
3,27.22,FastTapIn,0.12,0.2184389,-1.498934, ,0
3,27.24,FastTapIn,0.14,0.4272588,10.44099, ,0
3,27.26,FastTapIn,0.16,0.1307471,-14.82559, ,0
3,27.28,FastTapIn,0.18,0.1540857,1.166931, ,0
4,32.72,FastTapIn,0.0,0.1869705,3.554869, ,0
4,32.74,FastTapIn,0.02,0.5030191,15.80243, ,0
4,32.76,FastTapIn,0.04,0.3241765,-8.942129, ,0
4,32.78,FastTapIn,0.06,0.583311,12.95673, ,0
4,32.8,FastTapIn,0.08,0.2213181,-18.09965, ,0
4,32.82,FastTapIn,0.09999999,0.3475562,6.311906, ,0
4,32.84,FastTapIn,0.12,0.0986968,-12.44297, ,0
4,32.86,FastTapIn,0.14,0.1026664,0.1984783, ,0
4,32.88,FastTapIn,0.16,0.08595271,-0.8356829, ,0
4,32.9,FastTapIn,0.18,0.02849464,-2.872903, ,0
4,32.92,FastTapIn,0.2,0.1159653,4.373534, ,0
5,38.6,FastTapIn,0.0,0.7338864,10.91526, ,0
5,38.62,FastTapIn,0.02,0.3123577,-21.07644, ,0
5,38.64,FastTapIn,0.04,0.5081438,9.789308, ,0
5,38.66,FastTapIn,0.06,0.1909997,-15.85721, ,0
5,38.68,FastTapIn,0.08,0.2475323,2.826633, ,0
5,38.7,FastTapIn,0.09999999,0.4051493,7.880847, ,0
5,38.72,FastTapIn,0.12,0.3240608,-4.054424, ,0
5,38.74,FastTapIn,0.14,0.3918787,3.390896, ,0
5,38.76,FastTapIn,0.16,0.1100009,-14.09389, ,0
5,38.78,FastTapIn,0.18,0.1503233,2.016123, ,0
5,38.8,FastTapIn,0.2,0.05275774,-4.878281, ,0
5,38.82,FastTapIn,0.22,0.1264791,3.686068, ,0
6,43.76,FastTapIn,0.0,0.2386825,-10.64556, ,0
6,43.78,FastTapIn,0.02,0.3654066,6.336208, ,0
6,43.8,FastTapIn,0.04,0.151234,-10.70863, ,0
6,43.82,FastTapIn,0.06,0.3729901,11.08781, ,0
6,43.84,FastTapIn,0.08,0.1122831,-13.03535, ,0
6,43.86,FastTapIn,0.09999999,0.2430275,6.537222, ,0
6,43.88,FastTapIn,0.12,0.1051031,-6.896222, ,0
6,43.9,FastTapIn,0.14,0.144126,1.951148, ,0
6,43.92,FastTapIn,0.16,0.1761816,1.602779, ,0
6,43.94,FastTapIn,0.18,0.09628153,-3.995004, ,0
6,43.96,FastTapIn,0.2,0.1017434,0.273094, ,0
7,48.96,FastTapIn,0.0,0.4635993,14.09476, ,0
7,48.98,FastTapIn,0.02,0.223378,-12.01106, ,0
7,49.0,FastTapIn,0.04,0.3475592,6.209062, ,0
7,49.02,FastTapIn,0.06,0.1998244,-7.386744, ,0
7,49.04,FastTapIn,0.08,0.1919682,-0.392808, ,0
7,49.06,FastTapIn,0.09999999,0.06790022,-6.203399, ,0
7,49.08,FastTapIn,0.12,0.1057192,1.890947, ,0
7,49.1,FastTapIn,0.14,0.2056694,4.997512, ,0
7,49.12,FastTapIn,0.16,0.04981729,-7.792605, ,0
7,49.14,FastTapIn,0.18,0.1637178,5.695025, ,0
7,49.16,FastTapIn,0.2,0.06956322,-4.707728, ,0
7,49.18,FastTapIn,0.22,0.1054857,1.796125, ,0
8,53.88,FastTapIn,0.0,0.2799983,-13.72474, ,0
8,53.9,FastTapIn,0.02,0.2814929,0.07472932, ,0
8,53.92,FastTapIn,0.04,0.1233018,-7.909555, ,0
8,53.94,FastTapIn,0.06,0.2887885,8.274334, ,0
8,53.96,FastTapIn,0.08,0.1291476,-7.982045, ,0
8,53.98,FastTapIn,0.09999999,0.1308109,0.08316711, ,0
8,54.0,FastTapIn,0.12,0.1893177,2.925339, ,0
8,54.02,FastTapIn,0.14,0.09534387,-4.698693, ,0
8,54.04,FastTapIn,0.16,0.2730233,8.883971, ,0
8,54.06,FastTapIn,0.18,0.148121,-6.245114, ,0
8,54.08,FastTapIn,0.2,0.1805252,1.620209, ,0
9,59.26,FastTapIn,0.0,0.3273962,9.757906, ,0
9,59.28,FastTapIn,0.02,0.137821,-9.478756, ,0
9,59.3,FastTapIn,0.04,0.242193,5.218601, ,0
9,59.32,FastTapIn,0.06,0.1247627,-5.871517, ,0
9,59.34,FastTapIn,0.08,0.127395,0.1316145, ,0
9,59.36,FastTapIn,0.09999999,0.2884153,8.051017, ,0
9,59.38,FastTapIn,0.12,0.1458445,-7.12854, ,0
9,59.4,FastTapIn,0.14,0.1564748,0.5315163, ,0
9,59.42,FastTapIn,0.16,0.05786572,-4.930456, ,0
9,59.44,FastTapIn,0.18,0.1173893,2.976177, ,0
10,64.4,FastTapIn,0.0,0.460396,9.87594, ,0
10,64.42,FastTapIn,0.02,0.1870531,-13.66715, ,0
10,64.43999,FastTapIn,0.04,0.1640254,-1.151387, ,0
10,64.46,FastTapIn,0.06,0.1117484,-2.613849, ,0
10,64.48,FastTapIn,0.08,0.2964807,9.236615, ,0
10,64.5,FastTapIn,0.09999999,0.1353196,-8.058055, ,0
10,64.52,FastTapIn,0.12,0.0521371,-4.159124, ,0
10,64.54,FastTapIn,0.14,0.1931753,7.051912, ,0
10,64.56,FastTapIn,0.16,0.07925124,-5.696206, ,0
10,64.58,FastTapIn,0.18,0.2152462,6.799748, ,0
13,11.06,FastTapIn,0.0,0.4193219,6.321181, ,0
13,11.08,FastTapIn,0.02,0.1762138,-12.1554, ,0
13,11.1,FastTapIn,0.04,0.1815141,0.2650127, ,0
13,11.12,FastTapIn,0.06,0.1991334,0.8809656, ,0
13,11.14,FastTapIn,0.08,0.1934554,-0.2839021, ,0
