Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,15.58,FastTapIn,0.18,0.02146865,-5.630878, ,0
1,15.62,FastTapIn,0.22,0.04803812,-0.2070824, ,0
1,15.66,FastTapIn,0.26,0.01116828,-3.142259, ,0
1,15.68,FastTapIn,0.28,0.01379879,0.1315253, ,0
1,15.7,FastTapIn,0.3,0.03421457,1.020789, ,0
1,15.72,FastTapIn,0.32,0.03467375,0.02295859, ,0
1,15.74,FastTapIn,0.34,0.01828055,-0.8196597, ,0
1,15.76,FastTapIn,0.36,0.01991992,0.08196849, ,0
1,15.78,FastTapIn,0.38,0.03989858,0.9989329, ,0
1,15.8,FastTapIn,0.4,0.02783139,-0.6033596, ,0
1,15.84,FastTapIn,0.4400001,0.01689109,-2.251758, ,0
1,15.86,FastTapIn,0.4600001,0.0157423,-0.05743969, ,0
1,15.88,FastTapIn,0.4800001,0.02827321,0.6265456, ,0
1,15.9,FastTapIn,0.5000001,0.01978718,-0.4243016, ,0
1,15.92,FastTapIn,0.52,0.03321652,0.6714673, ,0
1,15.94,FastTapIn,0.54,0.01821947,-0.7498524, ,0
1,15.96,FastTapIn,0.56,0.0295875,0.5684013, ,0
1,15.98,FastTapIn,0.58,0.01926304,-0.5162229, ,0
1,16.0,FastTapIn,0.6,0.02616935,0.3453154, ,0
1,16.02,FastTapIn,0.6199999,0.01171919,-0.7225081, ,0
1,16.04,FastTapIn,0.6399999,0.01058108,-0.05690535, ,0
1,16.06,FastTapIn,0.6599999,0.01247134,0.09451281, ,0
1,16.08,FastTapIn,0.6799999,0.01234579,-0.0062773, ,0
1,16.1,FastTapIn,0.6999999,0.0152372,0.1445707, ,0
1,16.12,FastTapIn,0.7199998,0.01284145,-0.1197877, ,0
1,16.14,FastTapIn,0.7399998,0.01283168,-0.0004885718, ,0
1,16.16,FastTapIn,0.7599998,0.01159181,-0.06199335, ,0
1,16.18,FastTapIn,0.7799998,0.009749393,-0.09212098, ,0
1,16.2,FastTapIn,0.7999998,0.01970581,0.4978206, ,0
1,16.22,FastTapIn,0.8199998,0.01007512,-0.4815345, ,0
1,16.24,FastTapIn,0.8399997,0.02932088,0.9622884, ,0
1,16.26,FastTapIn,0.8599997,0.004813917,-1.225348, ,0
1,16.28,FastTapIn,0.8799997,0.01363019,0.4408138, ,0
1,16.3,FastTapIn,0.8999997,0.005380009,-0.4125092, ,0
1,16.32,FastTapIn,0.9199997,0.0008149559,-0.2282526, ,0
1,16.34,FastTapIn,0.9399996,0.01832966,0.8757351, ,0
1,16.36,FastTapIn,0.9599996,0.007870695,-0.5229481, ,0
1,16.38,FastTapIn,0.9799996,0.04204353,1.708642, ,0
1,16.4,FastTapIn,0.9999996,0.01366254,-1.419049, ,0
1,16.42,FastTapIn,1.02,0.04065597,1.349671, ,0
1,16.44,FastTapIn,1.04,0.01119894,-1.472852, ,0
1,16.46,FastTapIn,1.06,0.01176093,0.02809996, ,0
1,16.48,FastTapIn,1.08,0.009464095,-0.1148419, ,0
1,16.5,FastTapIn,1.1,0.003387195,-0.303845, ,0
1,16.52,FastTapIn,1.12,0.03608591,1.634936, ,0
1,16.54,FastTapIn,1.14,0.01016206,-1.296192, ,0
1,16.56,FastTapIn,1.159999,0.01261404,0.1225988, ,0
1,16.58,FastTapIn,1.179999,0.006267176,-0.3173431, ,0
1,16.6,FastTapIn,1.199999,0.02295418,0.8343503, ,0
1,16.62,FastTapIn,1.219999,0.01494869,-0.4002746, ,0
1,16.64,FastTapIn,1.239999,0.01133637,-0.1806158, ,0
1,16.66,FastTapIn,1.259999,0.02572927,0.719645, ,0
1,16.68,FastTapIn,1.279999,0.009675463,-0.8026906, ,0
1,16.7,FastTapIn,1.299999,0.02869919,0.9511865, ,0
1,16.72,FastTapIn,1.319999,0.01896413,-0.4867529, ,0
1,16.74,FastTapIn,1.339999,0.02333175,0.2183807, ,0
1,16.76,FastTapIn,1.359999,0.009412032,-0.6959859, ,0
1,16.78,FastTapIn,1.379999,0.009205244,-0.01033936, ,0
1,16.8,FastTapIn,1.399999,0.0143291,0.2561926, ,0
1,16.82,FastTapIn,1.419999,0.01438906,0.0029983, ,0
1,16.84,FastTapIn,1.439999,0.01414404,-0.01225099, ,0
1,16.86,FastTapIn,1.459999,0.01674303,0.1299493, ,0
1,16.88,FastTapIn,1.479999,0.01342381,-0.165961, ,0
1,16.9,FastTapIn,1.499999,0.0171212,0.1848695, ,0
1,16.92,FastTapIn,1.519999,0.01811751,0.0498157, ,0
1,16.94,FastTapIn,1.539999,0.009476416,-0.4320549, ,0
1,16.96,FastTapIn,1.559999,0.02532458,0.7924085, ,0
1,16.98,FastTapIn,1.579999,0.0260101,0.03427556, ,0
1,17.0,FastTapIn,1.599999,0.01980351,-0.3103293, ,0
1,17.02,FastTapIn,1.619999,0.02583384,0.3015164, ,0
1,17.04,FastTapIn,1.639999,0.009723692,-0.8055072, ,0
1,17.06,FastTapIn,1.659999,0.02050535,0.5390827, ,0
1,17.08,FastTapIn,1.679999,0.01231702,-0.4094162, ,0
1,17.1,FastTapIn,1.699999,0.01430579,0.09943834, ,0
1,17.12,FastTapIn,1.719999,0.04201812,1.385617, ,0
1,17.14,FastTapIn,1.739999,0.009314605,-1.635176, ,0
1,17.16,FastTapIn,1.759999,0.01915013,0.4917762, ,0
1,17.18,FastTapIn,1.779999,0.01620725,-0.1471438, ,0
1,17.2,FastTapIn,1.799999,0.0287485,0.6270622, ,0
1,17.22,FastTapIn,1.819999,0.01333018,-0.770916, ,0
1,17.24,FastTapIn,1.839999,0.01462618,0.06479993, ,0
