Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
181,1,19.02,FastTapIn,3.619997,0.09420508,-2.148279, ,0
182,1,19.04,FastTapIn,3.639997,0.4355726,17.06838, ,0
183,1,19.06,FastTapIn,3.659997,0.3299367,-5.281796, ,0
184,1,19.08,FastTapIn,3.679997,0.5011796,8.562148, ,0
185,1,19.1,FastTapIn,3.699997,0.2222113,-13.94842, ,0
362,2,25.22,FastTapIn,3.519997,0.09865433,3.446692, ,0
363,2,25.24,FastTapIn,3.539997,0.08477657,-0.6938882, ,0
364,2,25.26,FastTapIn,3.559997,0.1714241,4.332377, ,0
365,2,25.28,FastTapIn,3.579997,0.09517367,-3.812522, ,0
366,2,25.3,FastTapIn,3.599997,0.1044921,0.4659232, ,0
367,2,25.32,FastTapIn,3.619997,0.2811665,8.833719, ,0
368,2,25.34,FastTapIn,3.639997,0.1304304,-7.536808, ,0
369,2,25.36,FastTapIn,3.659997,0.253371,6.14703, ,0
370,2,25.38,FastTapIn,3.679997,0.1374977,-5.793665, ,0
371,2,25.4,FastTapIn,3.699997,0.5462404,20.43714, ,0
544,3,30.54,FastTapIn,3.439997,0.2667665,9.308137, ,0
545,3,30.56,FastTapIn,3.459997,0.1973187,-3.472388, ,0
546,3,30.58,FastTapIn,3.479997,0.4945288,14.8605, ,0
547,3,30.6,FastTapIn,3.499997,0.31558,-8.947441, ,0
548,3,30.62,FastTapIn,3.519997,0.7997239,24.2072, ,0
718,4,36.1,FastTapIn,3.379997,0.05657274,-1.752382, ,0
719,4,36.12,FastTapIn,3.399997,0.2575006,10.04639, ,0
720,4,36.14,FastTapIn,3.419997,0.236098,-1.070126, ,0
721,4,36.16,FastTapIn,3.439997,0.2282681,-0.391499, ,0
722,4,36.18,FastTapIn,3.459997,0.5316344,15.16832, ,0
723,4,36.2,FastTapIn,3.479997,0.2608141,-13.54102, ,0
724,4,36.22,FastTapIn,3.499997,0.5216302,13.04081, ,0
725,4,36.24,FastTapIn,3.519997,0.3522142,-8.470799, ,0
898,5,42.04,FastTapIn,3.439997,0.08435993,3.175102, ,0
899,5,42.06,FastTapIn,3.459997,0.04039484,-2.198255, ,0
900,5,42.08,FastTapIn,3.479997,0.09758746,2.859631, ,0
901,5,42.1,FastTapIn,3.499997,0.06392495,-1.683125, ,0
902,5,42.12,FastTapIn,3.519997,0.1668776,5.147633, ,0
903,5,42.14,FastTapIn,3.539997,0.08345795,-4.170983, ,0
904,5,42.16,FastTapIn,3.559997,0.08605359,0.129782, ,0
905,5,42.18,FastTapIn,3.579997,0.2158047,6.487558, ,0
906,5,42.2,FastTapIn,3.599997,0.1665363,-2.46342, ,0
907,5,42.22,FastTapIn,3.619997,0.3651994,9.933155, ,0
908,5,42.24,FastTapIn,3.639997,0.2741975,-4.550095, ,0
