Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,19.02,FastTapIn,3.619997,0.09420508,-2.148279, ,0
1,19.04,FastTapIn,3.639997,0.4355726,17.06838, ,0
1,19.06,FastTapIn,3.659997,0.3299367,-5.281796, ,0
1,19.08,FastTapIn,3.679997,0.5011796,8.562148, ,0
1,19.1,FastTapIn,3.699997,0.2222113,-13.94842, ,0
2,25.22,FastTapIn,3.519997,0.09865433,3.446692, ,0
2,25.24,FastTapIn,3.539997,0.08477657,-0.6938882, ,0
2,25.26,FastTapIn,3.559997,0.1714241,4.332377, ,0
2,25.28,FastTapIn,3.579997,0.09517367,-3.812522, ,0
2,25.3,FastTapIn,3.599997,0.1044921,0.4659232, ,0
2,25.32,FastTapIn,3.619997,0.2811665,8.833719, ,0
2,25.34,FastTapIn,3.639997,0.1304304,-7.536808, ,0
2,25.36,FastTapIn,3.659997,0.253371,6.14703, ,0
2,25.38,FastTapIn,3.679997,0.1374977,-5.793665, ,0
2,25.4,FastTapIn,3.699997,0.5462404,20.43714, ,0
3,30.54,FastTapIn,3.439997,0.2667665,9.308137, ,0
3,30.56,FastTapIn,3.459997,0.1973187,-3.472388, ,0
3,30.58,FastTapIn,3.479997,0.4945288,14.8605, ,0
3,30.6,FastTapIn,3.499997,0.31558,-8.947441, ,0
4,36.1,FastTapIn,3.379997,0.05657274,-1.752382, ,0
4,36.12,FastTapIn,3.399997,0.2575006,10.04639, ,0
4,36.14,FastTapIn,3.419997,0.236098,-1.070126, ,0
4,36.16,FastTapIn,3.439997,0.2282681,-0.391499, ,0
4,36.18,FastTapIn,3.459997,0.5316344,15.16832, ,0
4,36.2,FastTapIn,3.479997,0.2608141,-13.54102, ,0
4,36.22,FastTapIn,3.499997,0.5216302,13.04081, ,0
4,36.24,FastTapIn,3.519997,0.3522142,-8.470799, ,0
5,42.04,FastTapIn,3.439997,0.08435993,3.175102, ,0
5,42.06,FastTapIn,3.459997,0.04039484,-2.198255, ,0
5,42.08,FastTapIn,3.479997,0.09758746,2.859631, ,0
5,42.1,FastTapIn,3.499997,0.06392495,-1.683125, ,0
5,42.12,FastTapIn,3.519997,0.1668776,5.147633, ,0
5,42.14,FastTapIn,3.539997,0.08345795,-4.170983, ,0
5,42.16,FastTapIn,3.559997,0.08605359,0.129782, ,0
5,42.18,FastTapIn,3.579997,0.2158047,6.487558, ,0
5,42.2,FastTapIn,3.599997,0.1665363,-2.46342, ,0
5,42.22,FastTapIn,3.619997,0.3651994,9.933155, ,0
5,42.24,FastTapIn,3.639997,0.2741975,-4.550095, ,0
5,42.26,FastTapIn,3.659997,0.6306777,17.82401, ,0
6,47.26,FastTapIn,3.499997,0.08964325,2.818652, ,0
6,47.28,FastTapIn,3.519997,0.04415474,-2.274425, ,0
6,47.3,FastTapIn,3.539997,0.07681657,1.633092, ,0
6,47.32,FastTapIn,3.559997,0.04446317,-1.61767, ,0
6,47.34,FastTapIn,3.579997,0.06919987,1.236835, ,0
6,47.36,FastTapIn,3.599997,0.1610039,4.590204, ,0
6,47.38,FastTapIn,3.619997,0.1299632,-1.552038, ,0
6,47.4,FastTapIn,3.639997,0.2450052,5.752103, ,0
6,47.42,FastTapIn,3.659997,0.1640668,-4.046921, ,0
6,47.46,FastTapIn,3.699997,0.4363408,-11.26803, ,0
7,52.4,FastTapIn,3.439997,0.1576257,5.587524, ,0
