Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime


1,45.7,S5,0,0.4787551,14.18383, ,0
1,45.72,S5,0.02,0.2146091,-13.2073, ,0
1,45.74,S5,0.04,0.2839986,3.469476,B,0
1,45.76,S5,0.06,0.09523606,-9.438129,B,0.02
1,45.78,S5,0.08,0.1513458,2.805487,B,0.04
2,86.06,S5,0,0.5780226,12.42775, ,0.06
2,86.08,S5,0.02,0.1097153,-23.41536, ,0.06
2,86.1,S5,0.04,0.2089853,4.963498,B,0
2,86.12,S5,0.06,0.1437853,-3.259998,B,0.02
2,86.14,S5,0.08,0.172676,1.444535,B,0.04
3,88.34,S5,0,0.1675596,-1.471487, ,0.06
3,88.36,S5,0.02,0.17922,0.5830236, ,0.06
3,88.38,S5,0.04,0.2548799,3.782993, ,0.06
3,88.4,S5,0.06,0.01047932,-12.22003, ,0.06
3,88.42,S5,0.08,0.07858107,3.405088,B,0
3,88.43999,S5,0.09999999,0.07172736,-0.3426857,B,0.02
3,88.46,S5,0.12,0.06951436,-0.1106501,B,0.04
4,122.42,S5,0,0.3036686,8.541644, ,0.06
4,122.44,S5,0.02,0.1929557,-5.535643, ,0.06
4,122.46,S5,0.04,0.3703925,8.871839,B,0
4,122.48,S5,0.06,0.1750494,-9.767153,C,0.02
4,122.5,S5,0.08,0.3196382,7.229437,B,0
4,122.52,S5,0.09999999,0.1146104,-10.25139,B,0.02
4,122.54,S5,0.12,0.1254083,0.5398948,B,0.04
5,178.3,S5,0,0.4120159,-3.202169, ,0.06
5,178.32,S5,0.02,0.7053676,14.66759, ,0.06
5,178.34,S5,0.04,0.1394233,-28.29722, ,0.06
5,178.36,S5,0.06,0.1829025,2.173964,B,0
5,178.38,S5,0.08,0.05957051,-6.166601,B,0.02
5,178.4,S5,0.09999999,0.06394337,0.2186429,B,0.04
6,318.76,S5,0,0.9120034,20.1744, ,0.06
6,318.78,S5,0.02,0.4184539,-24.67747, ,0.06
6,318.8,S5,0.04,0.6050166,9.328137,B,0
6,318.82,S5,0.06,0.08627828,-25.93692,C,0.02
6,318.84,S5,0.08,0.07829107,-0.3993604,B,0
6,318.86,S5,0.09999999,0.1395831,3.064601,B,0.02
6,318.88,S5,0.12,0.09447347,-2.255481,B,0.04
7,320.02,S5,0,0.5541984,5.967553, ,0.06
7,320.04,S5,0.02,1.041757,24.37792, ,0.06
7,320.06,S5,0.04,0.4354912,-30.31328, ,0.06
7,320.08,S5,0.06,0.315461,-6.001512,B,0
7,320.1,S5,0.08,0.2142423,-5.060935,B,0.02
7,320.12,S5,0.09999999,0.3276348,5.669624,B,0.04
8,358.68,S5,0,0.308895,-18.39185, ,0.06
8,358.7,S5,0.02,0.2963082,-0.6293416,B,0
8,358.72,S5,0.04,0.3591883,3.144008,B,0.02
8,358.74,S5,0.06,0.1203543,-11.9417,C,0.04
8,358.76,S5,0.08,0.3193296,9.948766,B,0
8,358.78,S5,0.09999999,0.1208728,-9.922843,B,0.02
8,358.8,S5,0.12,0.3306709,10.48991,B,0.04
9,361.02,S5,0,0.667807,15.89289, ,0.06
9,361.04,S5,0.02,0.1888924,-23.94573, ,0.06
