Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,19.5,S2,0,0.5200774,-13.13553, ,0
1,19.52,S2,0.02,0.8364977,15.82101,B,0
1,19.54,S2,0.04,0.3177581,-25.93698,C,0.02
1,19.56,S2,0.06,0.4862737,8.425781,B,0
1,19.58,S2,0.08,0.2004059,-14.29339,C,0.02
1,19.6,S2,0.09999999,0.336268,6.793106,B,0
1,19.62,S2,0.12,0.2865122,-2.487794,C,0.02
1,19.64,S2,0.14,0.3594438,3.64658,C,0.02
1,19.66,S2,0.16,0.06949867,-14.49725,C,0.02
1,19.68,S2,0.18,0.1785931,5.454722,B,0
1,19.7,S2,0.2,0.197376,0.939145,C,0.02
1,19.72,S2,0.22,0.04831114,-7.453244,C,0.02
1,19.74,S2,0.24,0.09880686,2.524786,B,0
1,19.76,S2,0.26,0.05254979,-2.312853,B,0.02
1,19.78,S2,0.28,0.2484042,9.792722,B,0.04
2,27.7,S2,0,1.102458,22.77329, ,0.06
2,27.72,S2,0.02,0.3482471,-37.71055, ,0.06
2,27.74,S2,0.04,0.4686327,6.019284,B,0
2,27.76,S2,0.06,0.1700416,-14.92956,C,0.02
2,27.78,S2,0.08,0.8483567,33.91576,B,0
2,27.8,S2,0.09999999,0.2631557,-29.26005,C,0.02
2,27.82,S2,0.12,0.1243241,-6.941577,B,0
2,27.84,S2,0.14,0.1814249,2.85504,C,0.02
2,27.86,S2,0.16,0.09301761,-4.420366,C,0.02
2,27.88,S2,0.18,0.2114728,5.92276,B,0
2,27.9,S2,0.2,0.300292,4.440959,C,0.02
2,27.92,S2,0.22,0.1933382,-5.347691,C,0.02
2,27.94,S2,0.24,0.07123589,-6.105114,B,0
2,27.96,S2,0.26,0.07007857,-0.05786568,B,0.02
2,27.98,S2,0.28,0.08800126,0.8961343,B,0.04
3,74.7,S2,0,1.018464,-8.687204, ,0.06
3,74.72,S2,0.02,1.621481,30.15086,B,0
3,74.74,S2,0.04,0.4717927,-57.48444,C,0.02
3,74.76,S2,0.06,0.4669614,-0.2415642,B,0
3,74.78,S2,0.08,0.159752,-15.36047,C,0.02
3,74.8,S2,0.09999999,0.1886505,1.444925,B,0
3,74.82,S2,0.12,0.525624,16.84868,C,0.02
3,74.84,S2,0.14,0.1899832,-16.78204,C,0.02
3,74.86,S2,0.16,0.3953582,10.26875,B,0
3,74.88,S2,0.18,0.08302087,-15.61687,C,0.02
3,74.9,S2,0.2,0.3980204,15.74998,B,0
3,74.92,S2,0.22,0.05498865,-17.15159,C,0.02
3,74.93999,S2,0.24,0.02600945,-1.44896,B,0
3,74.96,S2,0.26,0.04024954,0.7120044,B,0.02
3,74.98,S2,0.28,0.05054719,0.5148823,B,0.04
4,114.74,S2,0,1.765695,45.59351, ,0.06
4,114.76,S2,0.02,0.2518539,-75.69209, ,0.06
4,114.78,S2,0.04,0.7915278,26.9837,B,0
4,114.8,S2,0.06,0.1468431,-32.23424,C,0.02
4,114.82,S2,0.08,0.2230281,3.809252,B,0
4,114.84,S2,0.09999999,0.07017323,-7.642744,C,0.02
4,114.86,S2,0.12,0.03109808,-1.953758,B,0
4,114.88,S2,0.14,0.2222169,9.55594,B,0.02
4,114.9,S2,0.16,0.1742054,-2.400573,C,0.04
4,114.92,S2,0.18,0.0910835,-4.156095,C,0.04
4,114.94,S2,0.2,0.02085407,-3.511472,B,0
4,114.96,S2,0.22,0.06852593,2.383593,B,0.02
4,114.98,S2,0.24,0.01722328,-2.565133,B,0.04
5,116.32,S2,0,2.38071,71.01143, ,0.06
5,116.34,S2,0.02,1.022972,-67.88692, ,0.06
5,116.36,S2,0.04,1.019876,-0.1547515,B,0
5,116.38,S2,0.06,0.1552882,-43.22942,C,0.02
5,116.4,S2,0.08,0.5138335,17.92727,B,0
5,116.42,S2,0.09999999,0.2210565,-14.63885,C,0.02
5,116.44,S2,0.12,0.2506993,1.48214,B,0
5,116.46,S2,0.14,0.3865864,6.794353,C,0.02
5,116.48,S2,0.16,0.1720145,-10.7286,C,0.02
5,116.5,S2,0.18,0.2504951,3.924032,B,0
5,116.52,S2,0.2,0.05377682,-9.835915,C,0.02
5,116.54,S2,0.22,0.0662931,0.625814,B,0
5,116.56,S2,0.24,0.04012741,-1.308284,B,0.02
5,116.58,S2,0.26,0.04155954,0.07160641,B,0.04
6,121.82,S2,0,1.067439,11.66962, ,0.06
6,121.84,S2,0.02,0.5144579,-27.64904, ,0.06
6,121.86,S2,0.04,0.8786435,18.20928,B,0
6,121.88,S2,0.06,0.03502198,-42.18108,C,0.02
6,121.9,S2,0.08,0.249263,10.71205,B,0
6,121.92,S2,0.09999999,0.304767,2.775203,C,0.02
6,121.94,S2,0.12,0.1715128,-6.662713,C,0.02
6,121.96,S2,0.14,0.2761112,5.229922,B,0
6,121.98,S2,0.16,0.1318667,-7.212229,C,0.02
6,122,S2,0.18,0.2042111,3.617224,B,0
6,122.02,S2,0.2,0.1497909,-2.721015,C,0.02
6,122.04,S2,0.22,0.04369413,-5.304836,C,0.02
6,122.06,S2,0.24,0.114317,3.531144,B,0
6,122.08,S2,0.26,0.03525975,-3.952863,C,0.02
6,122.1,S2,0.28,0.0465213,0.5630776,B,0
6,122.12,S2,0.3,0.01722468,-1.464831,B,0.02
6,122.14,S2,0.32,0.07412979,2.845255,B,0.04
7,133.98,S2,0,1.124291,-10.50249, ,0.06
7,134,S2,0.02,1.582203,22.89558,B,0
7,134.02,S2,0.04,1.141612,-22.02955,C,0.02
7,134.04,S2,0.06,0.3081775,-41.67172,B,0
7,134.06,S2,0.08,0.2258332,-4.117213,C,0.02
7,134.08,S2,0.09999999,0.2017885,-1.202236,B,0
7,134.1,S2,0.12,0.6254691,21.18403,C,0.02
7,134.12,S2,0.14,0.204326,-21.05716,C,0.02
7,134.14,S2,0.16,0.5120715,15.38728,B,0
7,134.16,S2,0.18,0.2127156,-14.9678,C,0.02
7,134.18,S2,0.2,0.3249278,5.61061,B,0
7,134.2,S2,0.22,0.1458572,-8.953531,C,0.02
7,134.22,S2,0.24,0.1145652,-1.564599,B,0
7,134.24,S2,0.26,0.1596866,2.256068,C,0.02
7,134.26,S2,0.28,0.02096078,-6.93629,C,0.02
7,134.28,S2,0.3,0.07964709,2.934316,B,0
7,134.3,S2,0.32,0.01447713,-3.258498,B,0.02
7,134.32,S2,0.34,0.05198685,1.875486,B,0.04
8,151.64,S2,0,2.606936,104.8361, ,0.06
8,151.66,S2,0.02,0.5987195,-100.4108, ,0.06
8,151.68,S2,0.04,0.6956025,4.84415,B,0
8,151.7,S2,0.06,0.3298024,-18.29,C,0.02
8,151.72,S2,0.08,0.2530876,-3.835742,B,0
8,151.74,S2,0.09999999,0.12277,-6.515879,C,0.02
8,151.76,S2,0.12,0.2629161,7.007308,B,0
8,151.78,S2,0.14,0.1278708,-6.752268,C,0.02
8,151.8,S2,0.16,0.09029805,-1.878637,B,0
8,151.82,S2,0.18,0.1575895,3.364575,B,0.02
8,151.84,S2,0.2,0.0576679,-4.996082,C,0.04
8,151.86,S2,0.22,0.1142331,2.828258,B,0
8,151.88,S2,0.24,0.05311907,-3.0557,C,0.02
8,151.9,S2,0.26,0.0516121,-0.07534847,C,0.02
8,151.92,S2,0.28,0.02172517,-1.494346,C,0.02
8,151.94,S2,0.3,0.02319177,0.07333001,C,0.02
8,151.96,S2,0.32,0.07432457,2.55664,C,0.02
8,151.98,S2,0.34,0.02703249,-2.364604,C,0.02
8,152,S2,0.36,0.06686904,1.991827,C,0.02
8,152.02,S2,0.38,0.06179531,-0.2536861,C,0.02
8,152.04,S2,0.4,0.06479881,0.1501748,C,0.02
8,152.06,S2,0.42,0.01397133,-2.541374,C,0.02
8,152.08,S2,0.4400001,0.07118087,2.860477,C,0.02
8,152.1,S2,0.4600001,0.0327304,-1.922524,C,0.02
8,152.12,S2,0.4800001,0.009585277,-1.157256,C,0.02
8,152.14,S2,0.5000001,0.05869209,2.455341,C,0.02
8,152.16,S2,0.52,0.02301227,-1.783991,C,0.02
8,152.18,S2,0.54,0.04243014,0.9708934,C,0.02
8,152.2,S2,0.56,0.03033023,-0.6049955,C,0.02
8,152.22,S2,0.58,0.02451652,-0.2906852,C,0.02
8,152.24,S2,0.6,0.01563485,-0.4440836,C,0.02
8,152.26,S2,0.6199999,0.04975849,1.706182,C,0.02
8,152.28,S2,0.6399999,0.08620868,1.822509,C,0.02
8,152.3,S2,0.6599999,0.01204723,-3.708073,C,0.02
8,152.32,S2,0.6799999,0.0197906,0.3871689,B,0
8,152.34,S2,0.6999999,0.006927176,-0.6431714,B,0.02
8,152.36,S2,0.7199998,0.08881454,4.094368,B,0.04
9,154.28,S2,0,2.738511,98.32184, ,0.06
9,154.3,S2,0.02,0.8489734,-94.47688, ,0.06
9,154.32,S2,0.04,1.447491,29.9259,B,0
9,154.34,S2,0.06,0.4390379,-50.42268,C,0.02
9,154.36,S2,0.08,0.4295477,-0.4745096,B,0
9,154.38,S2,0.09999999,0.2313779,-9.908492,C,0.02
