Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,142.7,S9,0,0.4141688,7.058592, ,0
1,142.72,S9,0.02,0.2539703,-8.009927, ,0
1,142.74,S9,0.04,0.401085,7.355736,B,0
1,142.76,S9,0.06,0.3903265,-0.5379245,C,0.02
1,142.78,S9,0.08,0.3173491,-3.648873,C,0.02
1,142.8,S9,0.09999999,0.1604366,-7.845623,C,0.02
1,142.82,S9,0.12,0.2039762,2.176978,B,0
1,142.84,S9,0.14,0.4338931,11.49584,B,0.02
1,142.86,S9,0.16,0.2387041,-9.759449,C,0.04
1,142.88,S9,0.18,0.7254423,24.33691,B,0
1,142.9,S9,0.2,0.115901,-30.47707,C,0.02
1,142.92,S9,0.22,0.1167214,0.04101805,B,0
1,142.94,S9,0.24,0.03369008,-4.151564,B,0.02
1,142.96,S9,0.26,0.03827783,0.2293876,B,0.04
2,143.68,S9,0,0.7351047,-44.77031, ,0.06
2,143.7,S9,0.02,0.9585638,11.17295,B,0
2,143.72,S9,0.04,0.4862471,-23.61584,C,0.02
2,143.74,S9,0.06,0.5185075,1.613018,B,0
2,143.76,S9,0.08,0.01912908,-24.96892,C,0.02
2,143.78,S9,0.09999999,0.0234528,0.2161859,B,0
2,143.8,S9,0.12,0.02025023,-0.1601282,B,0.02
2,143.82,S9,0.14,0.0102712,-0.4989515,B,0.04
3,144.52,S9,0,1.711188,51.85429, ,0.06
3,144.54,S9,0.02,0.3823321,-66.44281, ,0.06
3,144.56,S9,0.04,0.7896945,20.36812,B,0
3,144.58,S9,0.06,0.150619,-31.95378,C,0.02
3,144.6,S9,0.08,0.1914623,2.042167,B,0
3,144.62,S9,0.09999999,0.3234944,6.601604,B,0.02
3,144.64,S9,0.12,0.1375517,-9.297134,B,0.04
4,145.32,S9,0,1.098397,21.04475, ,0.06
4,145.34,S9,0.02,0.4973556,-30.05208, ,0.06
4,145.36,S9,0.04,0.8266258,16.46351,B,0
4,145.38,S9,0.06,1.295757,23.45658,C,0.02
4,145.4,S9,0.08,0.2720555,-51.1851,C,0.02
4,145.42,S9,0.09999999,0.3735669,5.075571,B,0
4,145.44,S9,0.12,0.06992504,-15.18209,C,0.02
4,145.46,S9,0.14,0.4267032,17.83891,B,0
4,145.48,S9,0.16,0.1722534,-12.7225,C,0.02
4,145.5,S9,0.18,0.1122412,-3.000607,B,0
4,145.52,S9,0.2,0.2891504,8.84546,B,0.02
4,145.54,S9,0.22,0.04758354,-12.07834,B,0.04
5,146.2,S9,0,0.9131016,-16.36176, ,0.06
5,146.22,S9,0.02,0.8827487,-1.517642,B,0
5,146.24,S9,0.04,0.854988,-1.388034,C,0.02
5,146.26,S9,0.06,0.4219037,-21.65422,C,0.02
5,146.28,S9,0.08,0.2163615,-10.27711,B,0
5,146.3,S9,0.09999999,0.1376525,-3.935448,B,0.02
5,146.32,S9,0.12,0.3269655,9.46565,B,0.04
6,147.02,S9,0,1.697039,56.88148, ,0.06
6,147.04,S9,0.02,0.5259211,-58.5559, ,0.06
6,147.06,S9,0.04,0.5942042,3.414154,B,0
6,147.08,S9,0.06,0.1967493,-19.87275,C,0.02
6,147.1,S9,0.08,0.1410188,-2.786525,B,0
6,147.12,S9,0.09999999,0.04873706,-4.614087,B,0.02
6,147.14,S9,0.12,0.1147722,3.301755,B,0.04
7,147.8,S9,0,0.4755023,-32.20545, ,0.06
7,147.82,S9,0.02,0.7319759,12.82368,B,0
7,147.84,S9,0.04,0.9703391,11.91816,C,0.02
7,147.86,S9,0.06,0.4011295,-28.46048,C,0.02
7,147.88,S9,0.08,0.9117517,25.53111,B,0
7,147.9,S9,0.09999999,0.05193863,-42.99065,C,0.02
7,147.92,S9,0.12,0.1101177,2.908952,B,0
