Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,44.8,S2,0,0.4094078,12.03209, ,0
1,44.82,S2,0.02,0.2044052,-10.25013, ,0
1,44.84,S2,0.04,0.1739254,-1.523987,B,0
1,44.86,S2,0.06,0.1876183,0.6846451,C,0.02
1,44.88,S2,0.08,0.1708786,-0.8369856,C,0.02
1,44.9,S2,0.09999999,0.05091096,-5.998383,C,0.02
1,44.92,S2,0.12,0.05824721,0.3668124,C,0.02
1,44.94,S2,0.14,0.04838168,-0.4932763,C,0.02
1,44.96,S2,0.16,0.07128211,1.145021,C,0.02
1,44.98,S2,0.18,0.09460035,1.165912,C,0.02
1,45,S2,0.2,0.09361245,-0.04939474,C,0.02
1,45.02,S2,0.22,0.05761103,-1.800071,C,0.02
1,45.04,S2,0.24,0.1320633,3.722616,C,0.02
1,45.06,S2,0.26,0.07332584,-2.936875,C,0.02
1,45.08,S2,0.28,0.1193624,2.301828,C,0.02
1,45.1,S2,0.3,0.03647935,-4.144152,C,0.02
1,45.12,S2,0.32,0.08972991,2.662528,C,0.02
1,45.14,S2,0.34,0.045608,-2.206095,C,0.02
1,45.16,S2,0.36,0.05180858,0.3100295,C,0.02
1,45.18,S2,0.38,0.1118867,3.003906,C,0.02
1,45.2,S2,0.4,0.08288607,-1.450031,C,0.02
1,45.22,S2,0.42,0.2584727,8.779329,C,0.02
1,45.24,S2,0.4400001,0.1551099,-5.168136,C,0.02
1,45.26,S2,0.4600001,0.4618878,15.33889,C,0.02
1,45.28,S2,0.4800001,0.3724704,-4.470871,C,0.02
1,45.3,S2,0.5000001,0.441001,3.426531,C,0.02
2,46.44,S2,0,0.5547834,5.835896, ,0.02
2,46.46,S2,0.02,0.5933709,1.929373, ,0.02
2,46.48,S2,0.04,0.2664928,-16.3439, ,0.02
2,46.5,S2,0.06,0.07816616,-9.41633,B,0
2,46.52,S2,0.08,0.1568588,3.93463,B,0.02
2,46.54,S2,0.09999999,0.5280473,18.55943,C,0.04
2,46.56,S2,0.12,0,-26.40236,C,0.04
2,46.58,S2,0.14,0.3421201,17.10601,B,0
2,46.6,S2,0.16,0.3352428,-0.3438652,C,0.02
2,46.62,S2,0.18,0.6357962,15.02767,C,0.02
2,46.64,S2,0.2,0.1937888,-22.10037,C,0.02
2,46.66,S2,0.22,0.03941512,-7.718684,B,0
2,46.68,S2,0.24,0.01975643,-0.9829342,B,0.02
2,46.7,S2,0.26,0.007244414,-0.6256009,B,0.04
3,48.24,S2,0,0.2815876,-31.68306, ,0.06
3,48.26,S2,0.02,0.2465211,-1.753326,B,0
3,48.28,S2,0.04,0.09259501,-7.696305,C,0.02
3,48.3,S2,0.06,0.1549726,3.118879,B,0
3,48.32,S2,0.08,0.05229512,-5.133873,C,0.02
3,48.34,S2,0.09999999,0.1486137,4.815927,C,0.02
3,48.36,S2,0.12,0.04209932,-5.325717,C,0.02
3,48.38,S2,0.14,0.0737596,1.583014,C,0.02
3,48.4,S2,0.16,0.2173403,7.179035,C,0.02
3,48.42,S2,0.18,0.07797658,-6.968186,C,0.02
3,48.44,S2,0.2,0.1328364,2.742989,B,0
3,48.46,S2,0.22,0.2945943,8.0879,C,0.02
3,48.48,S2,0.24,0.3678975,3.665157,C,0.02
4,52.72,S2,0,0.8506142,30.38467, ,0.02
4,52.74,S2,0.02,0.1981937,-32.62103, ,0.02
4,52.76,S2,0.04,0.2715088,3.665758,B,0
4,52.78,S2,0.06,0.2624016,-0.4553646,C,0.02
4,52.8,S2,0.08,0.7214678,22.95331,C,0.02
4,52.82,S2,0.09999999,0.07756615,-32.19508,C,0.02
4,52.84,S2,0.12,0.2307069,7.657037,B,0
4,52.86,S2,0.14,0.2069226,-1.189216,C,0.02
4,52.88,S2,0.16,0.1366517,-3.513543,C,0.02
4,52.9,S2,0.18,0.1447475,0.4047863,C,0.02
4,52.92,S2,0.2,0.07002646,-3.73605,C,0.02
4,52.94,S2,0.22,0.1225257,2.624963,C,0.02
4,52.96,S2,0.24,0.3243471,10.09107,C,0.02
4,52.98,S2,0.26,0.32095,-0.1698554,C,0.02
4,53,S2,0.28,0.1815264,-6.971178,C,0.02
4,53.02,S2,0.3,0.1490187,-1.625384,B,0
4,53.04,S2,0.32,0.2530759,5.202857,C,0.02
4,53.06,S2,0.34,0.1939289,-2.957349,C,0.02
4,53.08,S2,0.36,0.6681038,23.70874,C,0.02
5,54.3,S2,0,0.6715791,15.51554, ,0.02
5,54.32,S2,0.02,0.2885304,-19.15244, ,0.02
5,54.34,S2,0.04,0.4996365,10.5553,B,0
5,54.36,S2,0.06,0.2399827,-12.98269,C,0.02
5,54.38,S2,0.08,0.1701254,-3.492866,B,0
5,54.4,S2,0.09999999,0.3488511,8.936285,C,0.02
5,54.42,S2,0.12,0.1519624,-9.844437,C,0.02
5,54.44,S2,0.14,0.125489,-1.32367,B,0
5,54.46,S2,0.16,0.1214556,-0.2016697,C,0.02
5,54.48,S2,0.18,0.08083376,-2.031091,C,0.02
5,54.5,S2,0.2,0.03992194,-2.045591,C,0.02
5,54.52,S2,0.22,0.05612551,0.8101786,C,0.02
5,54.54,S2,0.24,0.04464365,-0.5740932,C,0.02
5,54.56,S2,0.26,0.04319768,-0.0722982,C,0.02
5,54.58,S2,0.28,0.20387,8.033617,C,0.02
5,54.6,S2,0.3,0.02570964,-8.90802,C,0.02
5,54.62,S2,0.32,0.04004961,0.7169985,B,0
5,54.64,S2,0.34,0.04883596,0.4393175,B,0.02
5,54.66,S2,0.36,0.04453725,-0.2149357,B,0.04
6,257.88,S2,0,1.016602,32.03867, ,0.06
6,257.9,S2,0.02,0.4460706,-28.52656, ,0.06
6,257.92,S2,0.04,0.6662509,11.00902,B,0
6,257.94,S2,0.06,0.4032932,-13.14789,C,0.02
6,257.96,S2,0.08,0.7198625,15.82847,B,0
6,257.98,S2,0.09999999,0.3127553,-20.35536,C,0.02
6,258,S2,0.12,0.1741344,-6.931049,B,0
6,258.02,S2,0.14,0.4100335,11.79496,C,0.02
6,258.04,S2,0.16,0.1331501,-13.84417,C,0.02
6,258.06,S2,0.18,0.285557,7.620346,B,0
6,258.08,S2,0.2,0.2440653,-2.074584,C,0.02
6,258.1,S2,0.22,0.1161361,-6.396463,C,0.02
6,258.12,S2,0.24,0.2892077,8.653584,C,0.02
6,258.14,S2,0.26,0.247494,-2.085684,C,0.02
7,258.98,S2,0,0.9624681,1.306066, ,0.02
7,259,S2,0.02,0.3913406,-28.55638, ,0.02
7,259.02,S2,0.04,0.7293701,16.90147,B,0
7,259.04,S2,0.06,0.3933636,-16.80032,C,0.02
7,259.06,S2,0.08,0.6481113,12.73738,B,0
8,260.16,S2,0,0.6978322,-18.0696, ,0.02
8,260.18,S2,0.02,0.5863633,-5.573446,B,0
8,260.2,S2,0.04,1.300145,35.68906,C,0.02
8,260.22,S2,0.06,0.4403288,-42.99079,C,0.02
8,260.24,S2,0.08,0.736992,14.83316,B,0
8,260.26,S2,0.09999999,0.4590271,-13.89825,C,0.02
9,260.4,S2,0,0.1792816,-0.1573063, ,0
9,260.42,S2,0.02,0.3003637,6.054103, ,0
10,260.46,S2,0,0.439333,12.68526, ,0
10,260.48,S2,0.02,0.332247,-5.354299, ,0
10,260.5,S2,0.04,0.3672064,1.747972, ,0
10,260.52,S2,0.06,0.8204723,22.66329, ,0
10,260.54,S2,0.08,0.4735897,-17.34413, ,0
10,260.56,S2,0.09999999,0.5462157,3.631298,B,0
11,261.32,S2,0,1.431691,54.70019, ,0.02
11,261.34,S2,0.02,0.2688521,-58.14195, ,0.02
11,261.36,S2,0.04,0.2710699,0.1108885,B,0
11,261.38,S2,0.06,0.5596768,14.43034,C,0.02
11,261.4,S2,0.08,0.2888917,-13.53925,C,0.02
11,261.42,S2,0.09999999,0.5081078,10.9608,B,0
11,261.44,S2,0.12,0.1907562,-15.86758,C,0.02
11,261.46,S2,0.14,0.2555298,3.238677,B,0
11,261.48,S2,0.16,0.1038344,-7.584771,C,0.02
11,261.5,S2,0.18,0.1240107,1.008814,B,0
11,261.52,S2,0.2,0.1942842,3.513679,C,0.02
11,261.54,S2,0.22,0.07883526,-5.772449,C,0.02
11,261.56,S2,0.24,0.1961361,5.865041,C,0.02
11,261.58,S2,0.26,0.1494273,-2.335439,C,0.02
11,261.6,S2,0.28,0.1628709,0.672178,C,0.02
11,261.62,S2,0.3,0.08662063,-3.812511,C,0.02
11,261.64,S2,0.32,0.08166059,-0.2480019,C,0.02
12,262.5,S2,0,0.9972719,-21.69183, ,0.02
12,262.52,S2,0.02,0,-49.86359,B,0
12,262.54,S2,0.04,0,0,B,0.02
12,262.56,S2,0.06,2.151251,107.5625,B,0.04
13,268.38,S2,0,1.314083,36.93793, ,0.06
13,268.4,S2,0.02,0.6064909,-35.37958, ,0.06
13,268.42,S2,0.04,1.120624,25.70665,B,0
13,268.44,S2,0.06,0.4534466,-33.35886,C,0.02
13,268.46,S2,0.08,0.9875097,26.70315,B,0
14,269.18,S2,0,0.4812066,-0.6591648, ,0.02
14,269.2,S2,0.02,1.417243,46.80184, ,0.02
14,269.22,S2,0.04,0.3392577,-53.89928, ,0.02
14,269.24,S2,0.06,0.6380295,14.93859,B,0
14,269.26,S2,0.08,0.3596347,-13.91974,C,0.02
15,269.38,S2,0,0.3637181,7.135323, ,0
15,269.4,S2,0.02,0.3874589,1.187043, ,0
15,269.42,S2,0.04,1.130228,37.13844, ,0
15,269.44,S2,0.06,0.4736894,-32.82691, ,0
16,270.52,S2,0,0.6128222,19.9504, ,0
16,270.54,S2,0.02,0.428849,-9.19866, ,0
16,270.56,S2,0.04,0.7583551,16.4753,B,0
16,270.58,S2,0.06,0.5201275,-11.91138,C,0.02
16,270.6,S2,0.08,0.4541714,-3.297803,B,0
16,270.62,S2,0.09999999,0.2012403,-12.64656,C,0.02
16,270.64,S2,0.12,0.136193,-3.252365,B,0
16,270.66,S2,0.14,0.1422516,0.3029324,C,0.02
16,270.68,S2,0.16,0.1405845,-0.08335784,C,0.02
16,270.7,S2,0.18,0.4825638,17.09897,C,0.02
