Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,188.46,S6,0,0.36306,6.612302, ,0
1,188.48,S6,0.02,0.08183708,-14.06114, ,0
1,188.5,S6,0.04,0.06861037,-0.6613355,B,0
1,188.52,S6,0.06,0.1379146,3.465211,B,0.02
1,188.54,S6,0.08,0.2846949,7.339014,C,0.04
1,188.56,S6,0.09999999,0.124342,-8.017641,C,0.04
1,188.58,S6,0.12,0.2514957,6.357685,B,0
1,188.6,S6,0.14,0.1705297,-4.0483,C,0.02
1,188.62,S6,0.16,0.1244785,-2.302563,B,0
1,188.64,S6,0.18,0.03495933,-4.475956,C,0.02
1,188.66,S6,0.2,0.07254551,1.879309,B,0
1,188.68,S6,0.22,0.06653471,-0.3005404,B,0.02
1,188.7,S6,0.24,0.07852697,0.5996131,B,0.04
2,189.8,S6,0,0.3002998,-23.85681, ,0.06
2,189.82,S6,0.02,0.4425775,7.113886,B,0
2,189.84,S6,0.04,0.4216567,-1.046044,C,0.02
2,189.86,S6,0.06,0.2235694,-9.904362,C,0.02
2,189.88,S6,0.08,0.04662187,-8.847379,B,0
2,189.9,S6,0.09999999,0.03407751,-0.627218,B,0.02
2,189.92,S6,0.12,0.2802827,12.31026,B,0.04
3,191.1,S6,0,1.206529,29.52548, ,0.06
3,191.12,S6,0.02,0.3163281,-44.51003, ,0.06
3,191.14,S6,0.04,0.6585525,17.11122,B,0
3,191.16,S6,0.06,0.4659226,-9.631494,C,0.02
3,191.18,S6,0.08,0.6664599,10.02686,B,0
3,191.2,S6,0.09999999,0.282016,-19.22219,C,0.02
3,191.22,S6,0.12,0.1441612,-6.89274,B,0
3,191.24,S6,0.14,0.3029741,7.940642,C,0.02
3,191.26,S6,0.16,0,-15.1487,C,0.02
3,191.28,S6,0.18,0.3248394,16.24197,B,0
3,191.3,S6,0.2,0.2057245,-5.955745,C,0.02
3,191.32,S6,0.22,0.1240678,-4.082832,B,0
3,191.34,S6,0.24,0.1096467,-0.7210582,C,0.02
3,191.36,S6,0.26,0.05400969,-2.781849,C,0.02
3,191.38,S6,0.28,0.007958129,-2.302578,C,0.02
3,191.4,S6,0.3,0.02982398,1.093293,C,0.02
3,191.42,S6,0.32,0.04805277,0.9114394,C,0.02
3,191.44,S6,0.34,0.02583442,-1.110918,C,0.02
3,191.46,S6,0.36,0.04525546,0.9710523,C,0.02
3,191.48,S6,0.38,0.02362712,-1.081417,C,0.02
3,191.5,S6,0.4,0.05351915,1.494602,C,0.02
3,191.52,S6,0.42,0.03040864,-1.155526,C,0.02
3,191.54,S6,0.4400001,0.0344777,0.2034532,C,0.02
3,191.56,S6,0.4600001,0.01678021,-0.8848748,C,0.02
3,191.58,S6,0.4800001,0.02568235,0.4451071,C,0.02
3,191.6,S6,0.5000001,0.06660454,2.046109,C,0.02
3,191.62,S6,0.52,0.07656333,0.4979394,C,0.02
3,191.64,S6,0.54,0.06684341,-0.4859958,C,0.02
3,191.66,S6,0.56,0.0233434,-2.175001,C,0.02
3,191.68,S6,0.58,0.04929258,1.297459,C,0.02
3,191.7,S6,0.6,0.01899809,-1.514725,C,0.02
3,191.72,S6,0.6199999,0.02324146,0.2121686,C,0.02
3,191.74,S6,0.6399999,0.02431381,0.05361727,C,0.02
3,191.76,S6,0.6599999,0.02850523,0.209571,C,0.02
3,191.78,S6,0.6799999,0.07290374,2.219925,C,0.02
3,191.8,S6,0.6999999,0.01768083,-2.761146,C,0.02
3,191.82,S6,0.7199998,0.106295,4.430708,C,0.02
3,191.84,S6,0.7399998,0.099369,-0.3462993,C,0.02
3,191.86,S6,0.7599998,0.1033787,0.2004858,C,0.02
3,191.88,S6,0.7799998,0.06351462,-1.993205,C,0.02
3,191.9,S6,0.7999998,0.07867719,0.7581286,C,0.02
3,191.92,S6,0.8199998,0.3215745,12.14487,C,0.02
3,191.94,S6,0.8399997,0.2458276,-3.787343,C,0.02
3,191.96,S6,0.8599997,0.9813684,36.77704,B,0
3,191.98,S6,0.8799997,0.317975,-33.16967,C,0.02
4,192.5,S6,0,0.950095,30.34702, ,0
4,192.52,S6,0.02,0.3981396,-27.59777, ,0
4,192.54,S6,0.04,0.2792524,-5.944359,B,0
4,192.56,S6,0.06,0.4065458,6.364667,C,0.02
4,192.58,S6,0.08,0.08096081,-16.27925,C,0.02
4,192.6,S6,0.09999999,0.1157458,1.739252,B,0
4,192.62,S6,0.12,0.04855696,-3.359444,C,0.02
4,192.64,S6,0.14,0.16031,5.587651,B,0
4,192.66,S6,0.16,0.09713135,-3.158931,C,0.02
4,192.68,S6,0.18,0.0951442,-0.09935722,C,0.02
4,192.7,S6,0.2,0.04221757,-2.646332,C,0.02
4,192.72,S6,0.22,0.1478916,5.2837,C,0.02
4,192.74,S6,0.24,0.02853649,-5.967754,C,0.02
4,192.76,S6,0.26,0.02248863,-0.3023927,B,0
4,192.78,S6,0.28,0.07757509,2.754323,B,0.02
4,192.8,S6,0.3,0.005813503,-3.588079,B,0.04
5,194.22,S6,0,1.201501,33.94454, ,0.06
5,194.24,S6,0.02,0.3629605,-41.92701, ,0.06
5,194.26,S6,0.04,0.7903304,21.3685,B,0
5,194.28,S6,0.06,0.2485666,-27.08819,C,0.02
5,194.3,S6,0.08,0.2963501,2.389175,B,0
5,194.32,S6,0.09999999,0.2810756,-0.7637262,C,0.02
5,194.34,S6,0.12,0.3714651,4.519473,C,0.02
5,194.36,S6,0.14,0.1459352,-11.27649,C,0.02
5,194.38,S6,0.16,0.05881104,-4.356207,B,0
5,194.4,S6,0.18,0.07137474,0.6281849,B,0.02
5,194.42,S6,0.2,0.1369904,3.280783,B,0.04
6,195.72,S6,0,1.302768,41.97797, ,0.06
6,195.74,S6,0.02,0.3138129,-49.44774, ,0.06
6,195.76,S6,0.04,0.2621333,-2.583976,B,0
6,195.78,S6,0.06,0.4108703,7.436848,C,0.02
6,195.8,S6,0.08,0.1976716,-10.65994,C,0.02
6,195.82,S6,0.09999999,0.385481,9.390472,B,0
6,195.84,S6,0.12,0.4229197,1.871935,C,0.02
6,195.86,S6,0.14,0.1953942,-11.37628,C,0.02
6,195.88,S6,0.16,0.1791958,-0.8099191,B,0
6,195.9,S6,0.18,0.1134674,-3.286419,C,0.02
6,195.92,S6,0.2,0.1002524,-0.6607496,C,0.02
6,195.94,S6,0.22,0.05989921,-2.017661,C,0.02
6,195.96,S6,0.24,0.1265169,3.330884,C,0.02
6,195.98,S6,0.26,0.04151034,-4.250327,C,0.02
6,196,S6,0.28,0.03265238,-0.4428979,B,0
6,196.02,S6,0.3,0.0301353,-0.1258541,B,0.02
6,196.04,S6,0.32,0.05848039,1.417255,B,0.04
7,197.24,S6,0,0.363658,-2.905062, ,0.06
7,197.26,S6,0.02,0.1466563,-10.85008, ,0.06
7,197.28,S6,0.04,0.3476065,10.04751,B,0
7,197.3,S6,0.06,0.2808568,-3.337486,C,0.02
7,197.32,S6,0.08,0.1032816,-8.878757,B,0
7,197.34,S6,0.09999999,0.1806808,3.869957,B,0.02
7,197.36,S6,0.12,0.07177522,-5.445277,C,0.04
7,197.38,S6,0.14,0.04777045,-1.200238,B,0
7,197.4,S6,0.16,0.1296999,4.096471,B,0.02
7,197.42,S6,0.18,0.09883354,-1.543317,C,0.04
7,197.44,S6,0.2,0.05164232,-2.359561,C,0.04
7,197.46,S6,0.22,0.0959756,2.216664,C,0.04
7,197.48,S6,0.24,0.03132586,-3.232487,C,0.04
7,197.5,S6,0.26,0.03956598,0.4120061,C,0.04
7,197.52,S6,0.28,0.02688219,-0.6341893,C,0.04
7,197.54,S6,0.3,0.07507093,2.409437,C,0.04
7,197.56,S6,0.32,0.05894917,-0.8060879,C,0.04
7,197.58,S6,0.34,0.06062245,0.08366425,C,0.04
7,197.6,S6,0.36,0.1326912,3.603439,C,0.04
7,197.62,S6,0.38,0.01332177,-5.968473,C,0.04
7,197.64,S6,0.4,0.02110579,0.3892011,B,0
7,197.66,S6,0.42,0.02216895,0.05315803,B,0.02
7,197.68,S6,0.4400001,0.07250486,2.516796,B,0.04
8,198.92,S6,0,0.8755954,17.07393, ,0.06
8,198.94,S6,0.02,0.3877603,-24.39176, ,0.06
8,198.96,S6,0.04,1.310996,46.16177,B,0
8,198.98,S6,0.06,0.3700055,-47.04951,C,0.02
8,199,S6,0.08,0.2606818,-5.466184,B,0
8,199.02,S6,0.09999999,0.08766257,-8.650961,C,0.02
8,199.04,S6,0.12,0.08577012,-0.09462237,B,0
8,199.06,S6,0.14,0.04323367,-2.126822,B,0.02
8,199.08,S6,0.16,0.03808872,-0.2572477,B,0.04
9,200.5,S6,0,0.7149299,6.404933, ,0.06
9,200.52,S6,0.02,0.2801688,-21.73805, ,0.06
9,200.54,S6,0.04,0.1953505,-4.240918,B,0
9,200.56,S6,0.06,0.522994,16.38218,C,0.02
9,200.58,S6,0.08,0.08116024,-22.09169,C,0.02
9,200.6,S6,0.09999999,0.2907356,10.47877,B,0
9,200.62,S6,0.12,0.06267346,-11.40311,C,0.02
9,200.64,S6,0.14,0.2424125,8.986952,B,0
9,200.66,S6,0.16,0.08176596,-8.032327,C,0.02
9,200.68,S6,0.18,0.1046529,1.144345,B,0
9,200.7,S6,0.2,0.07436953,-1.514166,B,0.02
9,200.72,S6,0.22,0.08896525,0.7297859,B,0.04
10,202.04,S6,0,0.5397841,7.543673, ,0.06
10,202.06,S6,0.02,0.1901779,-17.48031, ,0.06
10,202.08,S6,0.04,0.2582718,3.404696,B,0
10,202.1,S6,0.06,0.04117353,-10.85491,C,0.02
10,202.12,S6,0.08,0.1072945,3.306049,B,0
10,202.14,S6,0.09999999,0.1877439,4.022472,B,0.02
10,202.16,S6,0.12,0.04419524,-7.177434,C,0.04
10,202.18,S6,0.14,0.09853026,2.716751,B,0
10,202.2,S6,0.16,0.05464244,-2.194391,B,0.02
10,202.22,S6,0.18,0.2008072,7.30824,B,0.04
11,203.58,S6,0,0.9550593,34.15862, ,0.06
11,203.6,S6,0.02,0.3744693,-29.0295, ,0.06
11,203.62,S6,0.04,0.2726387,-5.091527,B,0
11,203.64,S6,0.06,0.4102601,6.881067,C,0.02
11,203.66,S6,0.08,0.3015001,-5.438002,C,0.02
11,203.68,S6,0.09999999,0.2575351,-2.198246,B,0
11,203.7,S6,0.12,0.07029352,-9.362081,C,0.02
11,203.72,S6,0.14,0.1247805,2.724349,B,0
11,203.74,S6,0.16,0.04342882,-4.067585,C,0.02
11,203.76,S6,0.18,0.08451134,2.054126,B,0
11,203.78,S6,0.2,0.150498,3.299335,B,0.02
11,203.8,S6,0.22,0.03238326,-5.905739,C,0.04
11,203.82,S6,0.24,0.07178078,1.969876,B,0
11,203.84,S6,0.26,0.07737316,0.2796192,B,0.02
11,203.86,S6,0.28,0.05685256,-1.02603,B,0.04
12,216.86,S6,0,0.2490717,-3.221353, ,0.06
12,216.88,S6,0.02,0.2022809,-2.339542, ,0.06
12,216.9,S6,0.04,0.2269259,1.232253, ,0.06
12,216.92,S6,0.06,0.3258734,4.947372, ,0.06
12,216.94,S6,0.08,0.09590599,-11.49837, ,0.06
12,216.96,S6,0.09999999,0.3361849,12.01394,B,0
