Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,342.48,S5,0,1.188715,41.36816, ,0
1,342.5,S5,0.02,0.5040272,-34.23441, ,0
1,342.52,S5,0.04,0.5655748,3.077379,B,0
1,342.54,S5,0.06,0.3939454,-8.581473,C,0.02
1,342.56,S5,0.08,0.301554,-4.619567,B,0
1,342.58,S5,0.09999999,0.2642848,-1.863459,C,0.02
1,342.6,S5,0.12,0.2475063,-0.8389264,C,0.02
1,342.62,S5,0.14,0.08673041,-8.038795,C,0.02
1,342.64,S5,0.16,0.1797146,4.649212,B,0
1,342.66,S5,0.18,0.2877238,5.40046,B,0.02
1,342.68,S5,0.2,0.1335396,-7.70921,C,0.04
1,342.7,S5,0.22,0.2132123,3.983633,B,0
1,342.72,S5,0.24,0.209865,-0.1673646,B,0.02
1,342.74,S5,0.26,0.0942795,-5.779275,B,0.04
2,343.14,S5,0,0.1385729,-4.236729, ,0.06
2,343.16,S5,0.02,0.3667774,11.41023,B,0
2,343.18,S5,0.04,0.1924733,-8.715206,C,0.02
2,343.2,S5,0.06,0.2177531,1.263991,B,0
2,343.22,S5,0.08,0.3490146,6.563072,B,0.02
2,343.24,S5,0.09999999,0.08933227,-12.98411,C,0.04
2,343.26,S5,0.12,0.07245584,-0.8438215,B,0
2,343.28,S5,0.14,0.01943902,-2.650841,B,0.02
2,343.3,S5,0.16,0.2604223,12.04917,B,0.04
3,344.16,S5,0,0.7701489,18.54192, ,0.06
3,344.18,S5,0.02,0.3539589,-20.8095, ,0.06
3,344.2,S5,0.04,0.1353033,-10.93278,B,0
3,344.22,S5,0.06,0.1004303,-1.74365,B,0.02
3,344.24,S5,0.08,0.1608028,3.018624,B,0.04
4,345.42,S5,0,0.4159401,-11.34083, ,0.06
4,345.44,S5,0.02,0.6103464,9.720315,B,0
4,345.46,S5,0.04,0.2124138,-19.89664,C,0.02
4,345.48,S5,0.06,0.1453757,-3.351904,B,0
4,345.5,S5,0.08,0.07208866,-3.664351,B,0.02
4,345.52,S5,0.09999999,0.3056571,11.67842,B,0.04
5,360.56,S5,0,0.6879972,24.0134, ,0.06
5,360.58,S5,0.02,0.263548,-21.22246, ,0.06
5,360.6,S5,0.04,0.852074,29.4263,B,0
5,360.62,S5,0.06,0.2196156,-31.62292,C,0.02
5,360.64,S5,0.08,0.09681357,-6.140101,B,0
5,360.66,S5,0.09999999,0.187007,4.509669,B,0.02
5,360.68,S5,0.12,0.07530617,-5.585039,B,0.04
6,361.72,S5,0,0.1694049,0.05061254, ,0.06
6,361.74,S5,0.02,0.1478746,-1.076514, ,0.06
6,361.76,S5,0.04,0.02268978,-6.259241, ,0.06
6,361.78,S5,0.06,0.01814965,-0.2270065,B,0
6,361.8,S5,0.08,0.2721551,12.70027,B,0.02
6,361.82,S5,0.09999999,0.1734412,-4.935693,C,0.04
6,361.84,S5,0.12,0.3917345,10.91466,B,0
6,361.86,S5,0.14,0.1209592,-13.53876,C,0.02
6,361.88,S5,0.16,0.3901458,13.45933,B,0
6,361.9,S5,0.18,0.08585104,-15.21474,C,0.02
6,361.92,S5,0.2,0.1821208,4.813486,B,0
6,361.94,S5,0.22,0.1240987,-2.901104,B,0.02
6,361.96,S5,0.24,0.06161528,-3.12417,B,0.04
7,363.06,S5,0,0.7522365,22.83534, ,0.06
7,363.08,S5,0.02,0.2474011,-25.24177, ,0.06
7,363.1,S5,0.04,0.9785029,36.55509,B,0
7,363.12,S5,0.06,0.588152,-19.51755,C,0.02
7,363.14,S5,0.08,0.09614958,-24.60012,B,0
7,363.16,S5,0.09999999,0.2057211,5.478575,B,0.02
7,363.18,S5,0.12,0.06972061,-6.800024,B,0.04
8,363.92,S5,0,0.6197281,17.54397, ,0.06
8,363.94,S5,0.02,0.3728034,-12.34623, ,0.06
8,363.96,S5,0.04,0.3102718,-3.126583,B,0
8,363.98,S5,0.06,0.4419415,6.583488,C,0.02
8,364,S5,0.08,0.1345827,-15.36794,C,0.02
8,364.02,S5,0.09999999,0.1513398,0.8378513,B,0
8,364.04,S5,0.12,0.09765492,-2.684242,B,0.02
8,364.06,S5,0.14,0.05900427,-1.932533,B,0.04
9,364.96,S5,0,0.4756431,-2.959188, ,0.06
9,364.98,S5,0.02,1.187919,35.61378, ,0.06
9,365,S5,0.04,0.4398921,-37.40133, ,0.06
9,365.02,S5,0.06,0.2747032,-8.259445,B,0
9,365.04,S5,0.08,0.02992019,-12.23915,C,0.02
9,365.06,S5,0.09999999,0.1423717,5.622576,B,0
9,365.08,S5,0.12,0.03706633,-5.265268,B,0.02
9,365.1,S5,0.14,0.2309033,9.691848,B,0.04
10,365.92,S5,0,0.2544781,4.096907, ,0.06
10,365.94,S5,0.02,0.4472367,9.637933, ,0.06
10,365.96,S5,0.04,0.1622991,-14.24688, ,0.06
10,365.98,S5,0.06,0.4741331,15.5917,B,0
10,366,S5,0.08,0.1246358,-17.47486,C,0.02
10,366.02,S5,0.09999999,0.4306638,15.3014,B,0
10,366.04,S5,0.12,0.1795224,-12.55707,C,0.02
10,366.06,S5,0.14,0.2525295,3.650355,B,0
10,366.08,S5,0.16,0.02411372,-11.42079,C,0.02
10,366.1,S5,0.18,0.1616609,6.877358,B,0
10,366.12,S5,0.2,0.1079376,-2.686167,B,0.02
10,366.14,S5,0.22,0.02718837,-4.037459,B,0.04
11,368.6,S5,0,0.3055111,10.06835, ,0.06
11,368.62,S5,0.02,0.08289672,-11.13072, ,0.06
11,368.64,S5,0.04,0.05596562,-1.346555,B,0
11,368.66,S5,0.06,0.1425182,4.327627,B,0.02
11,368.68,S5,0.08,0.0888408,-2.683868,B,0.04
12,369.8,S5,0,0.1961126,-6.471159, ,0.06
12,369.82,S5,0.02,0.149326,-2.33933,B,0
12,369.84,S5,0.04,0.4379255,14.42998,B,0.02
12,369.86,S5,0.06,0.1216002,-15.81626,C,0.04
12,369.88,S5,0.08,0.2337676,5.608366,B,0
12,369.9,S5,0.09999999,0.07749472,-7.813642,C,0.02
12,369.92,S5,0.12,0.1080264,1.526582,B,0
12,369.94,S5,0.14,0.04628375,-3.087131,B,0.02
12,369.96,S5,0.16,0.0337456,-0.6269073,B,0.04
13,370.84,S5,0,0.1677898,4.868743, ,0.06
13,370.86,S5,0.02,0.05872028,-5.453478, ,0.06
13,370.88,S5,0.04,0.1179651,2.962243,B,0
13,370.9,S5,0.06,0.04651202,-3.572657,B,0.02
13,370.92,S5,0.08,0.0863082,1.989809,B,0.04
14,372.1,S5,0,0.2304839,6.099146, ,0.06
14,372.12,S5,0.02,0.1656798,-3.240206, ,0.06
14,372.14,S5,0.04,0.06885094,-4.841441, ,0.06
14,372.16,S5,0.06,0.1515057,4.13274,B,0
14,372.18,S5,0.08,0.1028042,-2.435079,B,0.02
14,372.2,S5,0.09999999,0.2221502,5.967304,B,0.04
15,373.18,S5,0,0.2848689,0.01815706, ,0.06
15,373.2,S5,0.02,0.6835058,19.93184, ,0.06
15,373.22,S5,0.04,0.6629333,-1.028624, ,0.06
15,373.24,S5,0.06,0.2503444,-20.62945, ,0.06
15,373.26,S5,0.08,0.1006183,-7.486302,B,0
15,373.28,S5,0.09999999,0.1010458,0.02137274,B,0.02
15,373.3,S5,0.12,0.1431088,2.10315,B,0.04
16,374.16,S5,0,0.7550786,23.76565, ,0.06
16,374.18,S5,0.02,0.5614268,-9.68259, ,0.06
16,374.2,S5,0.04,0.6356993,3.713626,B,0
16,374.22,S5,0.06,0.2070457,-21.43268,C,0.02
16,374.24,S5,0.08,0.1030205,-5.201257,B,0
16,374.26,S5,0.09999999,0.1690747,3.30271,B,0.02
16,374.28,S5,0.12,0.08981112,-3.963181,B,0.04
17,375.22,S5,0,0.3954852,7.774274, ,0.06
17,375.24,S5,0.02,0.4846086,4.456169, ,0.06
17,375.26,S5,0.04,0.338262,-7.31733, ,0.06
17,375.28,S5,0.06,0.2178392,-6.021142,B,0
17,375.3,S5,0.08,0.5798697,18.10153,B,0.02
17,375.32,S5,0.09999999,0.212515,-18.36773,C,0.04
17,375.34,S5,0.12,0.3506437,6.906436,B,0
17,375.36,S5,0.14,0.06831221,-14.11657,C,0.02
17,375.38,S5,0.16,0.08273827,0.721303,B,0
17,375.4,S5,0.18,0.1145273,1.589453,B,0.02
17,375.42,S5,0.2,0.1071746,-0.3676366,B,0.04
18,376.38,S5,0,0.6498935,22.64218, ,0.06
18,376.4,S5,0.02,0.4007993,-12.45471, ,0.06
18,376.42,S5,0.04,0.7211862,16.01934,B,0
18,376.44,S5,0.06,0.2493946,-23.58958,C,0.02
18,376.46,S5,0.08,0.09944629,-7.497416,B,0
18,376.48,S5,0.09999999,0.1421666,2.136018,B,0.02
18,376.5,S5,0.12,0.05929377,-4.143644,B,0.04
19,377.48,S5,0,0.319839,-17.99067, ,0.06
19,377.5,S5,0.02,0.4095358,4.48484,B,0
19,377.52,S5,0.04,0.6171737,10.38189,C,0.02
19,377.54,S5,0.06,0.1969219,-21.01259,C,0.02
19,377.56,S5,0.08,0.3681493,8.561372,B,0
19,377.58,S5,0.09999999,0.1437835,-11.21829,C,0.02
19,377.6,S5,0.12,0.5174417,18.68291,B,0
19,377.62,S5,0.14,0.04429295,-23.65744,C,0.02
19,377.64,S5,0.16,0.09796555,2.68363,B,0
19,377.66,S5,0.18,0.07369072,-1.213741,B,0.02
19,377.68,S5,0.2,0.1199132,2.311123,B,0.04
20,378.46,S5,0,0.5862802,18.31315, ,0.06
20,378.48,S5,0.02,0.2471006,-16.95898, ,0.06
20,378.5,S5,0.04,0.1363126,-5.539398,B,0
20,378.52,S5,0.06,0.7002696,28.19785,B,0.02
20,378.54,S5,0.08,0.2721702,-21.40497,C,0.04
20,378.56,S5,0.09999999,0.1387114,-6.672939,B,0
20,378.58,S5,0.12,0.003336617,-6.768738,B,0.02
20,378.6,S5,0.14,0.1335242,6.50938,B,0.04
21,379.42,S5,0,0.3532893,8.28603, ,0.06
21,379.44,S5,0.02,0.1539115,-9.96889, ,0.06
21,379.46,S5,0.04,0.1381657,-0.7872924,B,0
21,379.48,S5,0.06,0.3877502,12.47923,B,0.02
21,379.5,S5,0.08,0.1128777,-13.74363,C,0.04
21,379.52,S5,0.09999999,0.1984337,4.2778,B,0
21,379.54,S5,0.12,0.1126967,-4.286847,B,0.02
21,379.56,S5,0.14,0.1287616,0.803243,B,0.04
22,380.34,S5,0,0.7881634,26.93954, ,0.06
22,380.36,S5,0.02,0.1995888,-29.42873, ,0.06
22,380.38,S5,0.04,0.3370696,6.874041,B,0
22,380.4,S5,0.06,0.2223382,-5.736571,C,0.02
22,380.42,S5,0.08,0.2173695,-0.2484344,B,0
22,380.44,S5,0.09999999,0.09612273,-6.062337,B,0.02
22,380.46,S5,0.12,0.08375653,-0.6183103,B,0.04
23,381.56,S5,0,1.288919,32.86371, ,0.06
