Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,103.52,S6,0,0.5569009,-56.02743, ,0
1,103.54,S6,0.02,0.4733192,-4.179084,B,0
1,103.56,S6,0.04,0.8450621,18.58714,C,0.02
1,103.58,S6,0.06,0.2915568,-27.67527,C,0.02
1,103.6,S6,0.08,0.1682816,-6.163757,B,0
1,103.62,S6,0.09999999,0.1583288,-0.4976407,B,0.02
1,103.64,S6,0.12,0.1391002,-0.9614297,B,0.04
2,104.64,S6,0,0.3651935,3.21914, ,0.06
2,104.66,S6,0.02,0.434591,3.469876, ,0.06
2,104.68,S6,0.04,0.8366749,20.10419, ,0.06
2,104.7,S6,0.06,0.1367676,-34.99536, ,0.06
2,104.72,S6,0.08,0.1754066,1.931947,B,0
2,104.74,S6,0.09999999,0.19604,1.031674,B,0.02
2,104.76,S6,0.12,0.05514025,-7.04499,B,0.04
3,105.6,S6,0,0.8448226,23.29881, ,0.06
3,105.62,S6,0.02,0.8160239,-1.439935, ,0.06
3,105.64,S6,0.04,0.8584708,2.122343, ,0.06
3,105.66,S6,0.06,0.2857203,-28.63752, ,0.06
3,105.68,S6,0.08,0.292283,0.3281325,B,0
3,105.7,S6,0.09999999,0.05335854,-11.94622,C,0.02
3,105.72,S6,0.12,0.05531191,0.09766854,B,0
3,105.74,S6,0.14,0.01676333,-1.927429,B,0.02
3,105.76,S6,0.16,0.01903145,0.1134063,B,0.04
4,147.42,S6,0,0.5583518,10.05154, ,0.06
4,147.44,S6,0.02,0.255925,-15.12134, ,0.06
4,147.46,S6,0.04,0.4960802,12.00776,B,0
4,147.48,S6,0.06,0.2293628,-13.33587,C,0.02
4,147.5,S6,0.08,0.4775085,12.40728,B,0
4,147.52,S6,0.09999999,0.101973,-18.77677,C,0.02
4,147.54,S6,0.12,0.1608301,2.942852,B,0
4,147.56,S6,0.14,0.06665089,-4.70896,B,0.02
4,147.58,S6,0.16,0.07220066,0.2774883,B,0.04
5,148.3,S6,0,0.3528349,-1.500499, ,0.06
5,148.32,S6,0.02,1.127241,38.72032, ,0.06
5,148.34,S6,0.04,0.3952712,-36.5985, ,0.06
5,148.36,S6,0.06,0.8419159,22.33223,B,0
5,148.38,S6,0.08,0.1040733,-36.89213,C,0.02
5,148.4,S6,0.09999999,0.1275238,1.172525,B,0
5,148.42,S6,0.12,0.2522438,6.236003,B,0.02
5,148.44,S6,0.14,0.0438233,-10.42103,C,0.04
5,148.46,S6,0.16,0.1720994,6.413804,B,0
5,148.48,S6,0.18,0.05320004,-5.944966,B,0.02
5,148.5,S6,0.2,0.0458925,-0.365377,B,0.04
6,149.3,S6,0,0.503594,-14.91005, ,0.06
6,149.32,S6,0.02,0.9449341,22.06701,B,0
6,149.34,S6,0.04,0.3457196,-29.96073,C,0.02
6,149.36,S6,0.06,0.7928531,22.35667,B,0
6,149.38,S6,0.08,0.1414602,-32.56964,C,0.02
6,149.4,S6,0.09999999,0.06538108,-3.803954,B,0
6,149.42,S6,0.12,0.175221,5.491994,B,0.02
6,149.44,S6,0.14,0.08524081,-4.499007,B,0.04
7,150.3,S6,0,0.5436277,-38.08012, ,0.06
7,150.32,S6,0.02,0.8380424,14.72074,B,0
7,150.34,S6,0.04,0.446476,-19.57832,C,0.02
7,150.36,S6,0.06,1.059289,30.64062,B,0
7,150.38,S6,0.08,0.3701795,-34.45545,C,0.02
7,150.4,S6,0.09999999,0.3668893,-0.1645133,B,0
7,150.42,S6,0.12,0.6676129,15.03618,C,0.02
8,150.54,S6,0,0.2656789,5.568925, ,0.02
8,150.56,S6,0.02,0.09881981,-8.342952, ,0.02
8,150.58,S6,0.04,0.06610642,-1.63567,B,0
8,150.6,S6,0.06,0.2562429,9.506824,B,0.02
8,150.62,S6,0.08,0.1804071,-3.791791,C,0.04
8,150.64,S6,0.09999999,0.1338853,-2.326088,B,0
8,150.66,S6,0.12,0.0603871,-3.674911,B,0.02
8,150.68,S6,0.14,0.03182593,-1.428059,B,0.04
9,151.4,S6,0,0.2969644,1.236223, ,0.06
9,151.42,S6,0.02,1.132187,41.76112, ,0.06
9,151.44,S6,0.04,0.2536254,-43.92806, ,0.06
9,151.46,S6,0.06,0.5827081,16.45414,B,0
9,151.48,S6,0.08,0.1767336,-20.29873,C,0.02
9,151.5,S6,0.09999999,0.2163901,1.982821,B,0
9,151.52,S6,0.12,0.0708677,-7.276118,B,0.02
9,151.54,S6,0.14,0.05028396,-1.029187,B,0.04
10,152.3,S6,0,0.686913,-5.682346, ,0.06
10,152.32,S6,0.02,1.336083,32.45851,B,0
10,152.34,S6,0.04,0.3495115,-49.32858,C,0.02
