Case,X,Y,Z,modeSelected
6,-0.1741869,1.331436,0.1239319,Tap
8,0.2366572,0.7943165,0.178128,Tap
11,0.3519757,1.325441,0.2015382,Tap
12,0.120969,1.026679,0.2254403,Tap
12,0.4220057,1.094579,0.2406516,Tap
17,-0.1769521,1.133111,0.1445122,Tap
20,0.3622394,1.349631,0.2140053,Tap
20,-0.1246681,0.6155233,0.3443128,Tap
21,0.2010826,1.449218,0.1122956,Tap
24,0.09887987,1.038562,0.1291232,Tap
24,0.2447331,1.06343,0.2408468,Tap
29,0.3200498,0.8782243,0.1163388,Tap
29,0.2431337,0.8495888,0.2586488,Tap
37,0.237711,1.25937,0.2552379,Tap
39,0.01365746,1.346806,0.2418796,Tap
41,0.501362,1.103099,0.1040956,Tap
