Case,X,Y,Z,a,v,modeSelected
1,0.2807822,0.9022373,-0.1626291,-2.209138,0.01090305,magicTap
1,0.2805233,0.9023365,-0.1629257,0,0,magicTap
1,0.2813001,0.900326,-0.1640468,6.073719,0.1214744,magicTap
1,0.2802723,0.8987759,-0.1636996,-1.343676,0.09460084,magicTap
1,0.2814368,0.8964268,-0.1623859,2.601573,0.1466323,magicTap
1,0.2814368,0.8964268,-0.1623859,-7.331615,0,magicTap
1,0.2814368,0.8964268,-0.1623859,-7.331615,0,magicTap
1,0.2817444,0.8973972,-0.1625681,2.585386,0.05170772,magicTap
1,0.2817444,0.8973972,-0.1625681,-2.585386,0,magicTap
1,0.2817444,0.8973972,-0.1625681,-2.585386,0,magicTap
1,0.2812573,0.8974415,-0.1627641,1.317116,0.02634232,magicTap
1,0.2808008,0.8973322,-0.1627388,-0.1418726,0.02350487,magicTap
1,0.280838,0.8972126,-0.1627321,-0.8615896,0.006273083,magicTap
1,0.280838,0.8972126,-0.1627321,-0.8615896,0.006273083,magicTap
1,0.28092,0.897009,-0.1627045,0.2392878,0.01105884,magicTap
1,0.28092,0.897009,-0.1627045,-0.552942,0,magicTap
1,0.28092,0.897009,-0.1627045,-0.552942,0,magicTap
1,0.2809933,0.8965932,-0.1622572,1.537666,0.03075331,magicTap
1,0.2810149,0.8962722,-0.1619854,-0.4846824,0.02105966,magicTap
1,0.2810149,0.8962722,-0.1619854,-0.4846824,0.02105966,magicTap
1,0.2809275,0.8959134,-0.1617951,-0.01436733,0.02077232,magicTap
1,0.280994,0.895274,-0.1612735,1.030924,0.04139079,magicTap
1,0.2809706,0.8948715,-0.1611829,-1.036432,0.02066216,magicTap
1,0.2809706,0.8948715,-0.1611829,-1.036432,0.02066216,magicTap
1,0.280719,0.8944573,-0.1610508,0.2226284,0.02511473,magicTap
1,0.2804117,0.8935668,-0.1606708,1.283855,0.05079184,magicTap
1,0.2804117,0.8935668,-0.1606708,1.283855,0.05079184,magicTap
1,0.2804825,0.8932354,-0.1606431,-1.689585,0.01700014,magicTap
1,0.2803729,0.8931673,-0.1606627,-0.5238018,0.006524107,magicTap
1,0.2803729,0.8931673,-0.1606627,-0.5238018,0.006524107,magicTap
1,0.2804647,0.8923187,-0.1607666,1.82326,0.0429893,magicTap
1,0.2805281,0.8918376,-0.160768,-0.9362434,0.02426443,magicTap
1,0.2805281,0.8918376,-0.160768,-0.9362434,0.02426443,magicTap
1,0.2807031,0.8914893,-0.1603417,0.2307993,0.02888042,magicTap
1,0.2809429,0.8908625,-0.1601715,0.2868984,0.03461839,magicTap
1,0.2811021,0.8902178,-0.1599245,0.04046746,0.03542774,magicTap
1,0.2811021,0.8902178,-0.1599245,0.04046746,0.03542774,magicTap
1,0.2812612,0.8891612,-0.159523,1.082269,0.05707311,magicTap
1,0.2811294,0.8885195,-0.1591887,-1.015154,0.03677003,magicTap
1,0.2811294,0.8885195,-0.1591887,-1.015154,0.03677003,magicTap
1,0.2809095,0.8873587,-0.158885,1.211285,0.06099574,magicTap
1,0.2805295,0.8870475,-0.1588125,-1.80871,0.02482154,magicTap
1,0.2805295,0.8870475,-0.1588125,-1.80871,0.02482154,magicTap
1,0.2795227,0.8856709,-0.1590767,3.073507,0.08629169,magicTap
1,0.2794891,0.8854355,-0.1590629,-3.718993,0.01191182,magicTap
1,0.2795001,0.8849373,-0.1589336,0.6912165,0.02573615,magicTap
1,0.2795001,0.8849373,-0.1589336,0.6912165,0.02573615,magicTap
1,0.2794533,0.8853282,-0.1596909,0.8467975,0.0426721,magicTap
1,0.2786972,0.885837,-0.1606612,1.194432,0.06656074,magicTap
1,0.2786972,0.885837,-0.1606612,1.194432,0.06656074,magicTap
1,0.2776724,0.8863091,-0.1616635,0.4449368,0.07545947,magicTap
1,0.2773831,0.88663,-0.1618195,-2.624747,0.02296454,magicTap
1,0.2768482,0.887238,-0.1623158,1.226429,0.04749313,magicTap
1,0.2768482,0.887238,-0.1623158,1.226429,0.04749313,magicTap
1,0.2750617,0.888491,-0.1630168,3.355205,0.1145972,magicTap
1,0.2750617,0.888491,-0.1630168,3.355205,0.1145972,magicTap
1,0.2720923,0.8900487,-0.1640096,3.012742,0.1748521,magicTap
1,0.2636961,0.891125,-0.1655498,12.76699,0.4301918,magicTap
1,0.2596034,0.8923267,-0.1654625,-10.84374,0.2133171,magicTap
1,0.2596034,0.8923267,-0.1654625,-10.84374,0.2133171,magicTap
1,0.2509027,0.8945752,-0.1644287,11.94875,0.4522921,magicTap
1,0.2352951,0.8991811,-0.1626644,18.30644,0.8184208,magicTap
1,0.2352951,0.8991811,-0.1626644,18.30644,0.8184208,magicTap
1,0.2118294,0.9071534,-0.1592646,21.61667,1.250754,magicTap
1,0.2036164,0.9095224,-0.1570554,-40.46585,0.4414372,magicTap
1,0.2036164,0.9095224,-0.1570554,-40.46585,0.4414372,magicTap
1,0.1379538,0.9296979,-0.1503835,150.467,3.450777,magicTap
1,0.1171836,0.936191,-0.1495118,-118.0917,1.088944,magicTap
1,0.09550816,0.9429587,-0.1501322,2.342546,1.135795,magicTap
1,0.09550816,0.9429587,-0.1501322,2.342546,1.135795,magicTap
1,0.02355632,0.9634666,-0.1581588,131.3271,3.762336,magicTap
1,-0.0080778,0.9722986,-0.1626911,-105.2289,1.657757,magicTap
1,-0.0080778,0.9722986,-0.1626911,-105.2289,1.657757,magicTap
1,-0.05265552,0.9836038,-0.1699233,33.49746,2.327706,magicTap
1,-0.08422586,0.992188,-0.1781492,-32.04819,1.686742,magicTap
1,-0.08422586,0.992188,-0.1781492,-32.04819,1.686742,magicTap
1,-0.1766355,1.012377,-0.2089405,164.3501,4.973744,magicTap
1,-0.2019933,1.018232,-0.2155762,-181.5432,1.342881,magicTap
