Case,X,Y,Z,a,v,modeSelected
1,-0.5054091,1.436741,0.01588058,-2.22442,0.051504,longPress
1,-0.5063887,1.437239,0.01522732,0,0,longPress
1,-0.5063224,1.435685,0.02097702,14.8911,0.297822,longPress
1,-0.5064627,1.435006,0.01998854,-11.87308,0.06036031,longPress
1,-0.5064627,1.435006,0.01998854,-11.87308,0.06036031,longPress
1,-0.5062279,1.434674,0.01801825,2.011813,0.1005966,longPress
1,-0.5067224,1.434299,0.01922035,-1.647523,0.06764612,longPress
1,-0.5067224,1.434299,0.01922035,-1.647523,0.06764612,longPress
1,-0.5068418,1.434455,0.01952696,-2.471223,0.01822166,longPress
1,-0.5069304,1.434629,0.01977348,-0.1244984,0.01573169,longPress
1,-0.5069304,1.434629,0.01977348,-0.1244984,0.01573169,longPress
1,-0.5069035,1.434782,0.0201726,0.283638,0.02140445,longPress
1,-0.5074125,1.436075,0.0226059,5.935548,0.1401154,longPress
1,-0.5076037,1.436579,0.02368832,-3.98258,0.06046381,longPress
1,-0.5076037,1.436579,0.02368832,-3.98258,0.06046381,longPress
1,-0.5083751,1.437324,0.02515745,1.523299,0.09092978,longPress
1,-0.5083751,1.437324,0.02515745,1.523299,0.09092978,longPress
1,-0.5097852,1.439473,0.02658653,2.80684,0.1470666,longPress
1,-0.5103198,1.440251,0.0271821,-4.563246,0.05580166,longPress
1,-0.5103198,1.440251,0.0271821,-4.563246,0.05580166,longPress
1,-0.5106602,1.440296,0.02684164,-1.581214,0.02417738,longPress
1,-0.5107502,1.440352,0.02685261,-0.9425367,0.005326649,longPress
1,-0.5115422,1.440639,0.0273757,2.212313,0.0495729,longPress
1,-0.5115422,1.440639,0.0273757,2.212313,0.0495729,longPress
1,-0.5112762,1.440671,0.02640104,0.04835129,0.05053993,longPress
1,-0.511591,1.440786,0.02643585,-1.684793,0.01684408,longPress
1,-0.511591,1.440786,0.02643585,-1.684793,0.01684408,longPress
1,-0.512738,1.44148,0.02712822,2.930403,0.07545213,longPress
1,-0.5132129,1.441823,0.02749157,-2.049921,0.0344537,longPress
1,-0.5132129,1.441823,0.02749157,-2.049921,0.0344537,longPress
1,-0.5137443,1.442459,0.0280385,0.7604754,0.04966321,longPress
1,-0.5149229,1.442951,0.02817488,0.7282855,0.06422892,longPress
1,-0.5149229,1.442951,0.02817488,0.7282855,0.06422892,longPress
1,-0.5151396,1.44363,0.02759457,-0.9152076,0.04592477,longPress
1,-0.5151424,1.443691,0.02675724,-0.1971832,0.04198111,longPress
1,-0.5151424,1.443691,0.02675724,-0.1971832,0.04198111,longPress
1,-0.5155828,1.444318,0.02545309,-3.78051,0,longPress
1,-0.5153197,1.444023,0.02566671,1.12217,0.0224434,longPress
1,-0.5153197,1.444023,0.02566671,1.12217,0.0224434,longPress
1,-0.5131722,1.44408,0.02392817,5.786835,0.1381801,longPress
1,-0.5126303,1.444078,0.02334642,-4.921474,0.03975061,longPress
1,-0.5116239,1.444016,0.02239943,1.470805,0.06916671,longPress
1,-0.510808,1.443371,0.02195597,-0.6317666,0.05653138,longPress
1,-0.510808,1.443371,0.02195597,-0.6317666,0.05653138,longPress
1,-0.5066971,1.442772,0.02010202,8.546563,0.2274626,longPress
1,-0.5051214,1.44293,0.01892138,-6.434904,0.09876458,longPress
1,-0.5051214,1.44293,0.01892138,-6.434904,0.09876458,longPress
1,-0.5000899,1.441074,0.01595736,10.38077,0.3063799,longPress
1,-0.4983527,1.440198,0.01578188,-10.43524,0.0976752,longPress
1,-0.4983527,1.440198,0.01578188,-10.43524,0.0976752,longPress
1,-0.4952051,1.438153,0.01416445,5.334733,0.2043699,longPress
1,-0.4943749,1.437763,0.01404381,-7.90639,0.04624208,longPress
1,-0.490776,1.435319,0.01108551,10.84033,0.2630486,longPress
1,-0.490776,1.435319,0.01108551,10.84033,0.2630486,longPress
1,-0.4850806,1.433971,0.00840044,2.9459,0.3219666,longPress
1,-0.483581,1.433184,0.006185532,-9.127984,0.1394069,longPress
1,-0.4758744,1.43182,0.001614094,15.68889,0.4531848,longPress
1,-0.4723781,1.431136,-0.0004916191,-12.31346,0.2069156,longPress
1,-0.4723781,1.431136,-0.0004916191,-12.31346,0.2069156,longPress
1,-0.4658254,1.428849,-0.006809711,13.11794,0.4692745,longPress
1,-0.4587339,1.425915,-0.01241922,0.3009945,0.4752944,longPress
1,-0.4587339,1.425915,-0.01241922,0.3009945,0.4752944,longPress
1,-0.4510636,1.422456,-0.02075052,5.837864,0.5920516,longPress
1,-0.4490056,1.421554,-0.02269125,-22.17982,0.1484552,longPress
1,-0.4436751,1.418178,-0.03106546,18.79028,0.5242609,longPress
1,-0.4436751,1.418178,-0.03106546,18.79028,0.5242609,longPress
1,-0.4325118,1.411289,-0.04361725,19.17533,0.9077674,longPress
1,-0.4285647,1.408621,-0.0500021,-25.47178,0.3983319,longPress
1,-0.4285647,1.408621,-0.0500021,-25.47178,0.3983319,longPress
1,-0.4197363,1.404609,-0.05883217,12.87111,0.6557541,longPress
1,-0.4166766,1.404138,-0.06073475,-23.7035,0.1816842,longPress
1,-0.4166766,1.404138,-0.06073475,-23.7035,0.1816842,longPress
1,-0.4141887,1.40002,-0.065732,8.257875,0.3468417,longPress
1,-0.4088017,1.396057,-0.06884861,1.102553,0.3688928,longPress
1,-0.4062306,1.39425,-0.07051325,-9.553256,0.1778277,longPress
1,-0.4062306,1.39425,-0.07051325,-9.553256,0.1778277,longPress
1,-0.4099146,1.389123,-0.05848598,25.06772,0.6791821,longPress
1,-0.4116597,1.388199,-0.05443859,-22.70095,0.225163,longPress
1,-0.4116597,1.388199,-0.05443859,-22.70095,0.225163,longPress
1,-0.4186972,1.383122,-0.04047108,29.85126,0.8221883,longPress
1,0,0,0,29.85126,0.8221883,longPress
1,0,0,0,29.85126,0.8221883,longPress
1,0,0,0,29.85126,0.8221883,longPress
1,0,0,0,29.85126,0.8221883,longPress
1,0,0,0,29.85126,0.8221883,longPress
1,0,0,0,29.85126,0.8221883,longPress
1,0,0,0,29.85126,0.8221883,longPress
1,0,0,0,29.85126,0.8221883,longPress
1,0,0,0,29.85126,0.8221883,longPress
1,0,0,0,29.85126,0.8221883,longPress
1,-0.2749556,1.235245,-0.1683688,565.5571,12.13333,longPress
1,-0.2749556,1.235245,-0.1683688,565.5571,12.13333,longPress
1,-0.2749556,1.235245,-0.1683688,-606.6665,0,longPress
1,-0.2652593,1.240118,-0.1754055,32.33428,0.6466857,longPress
1,-0.2502229,1.22662,-0.1824021,21.12351,1.069156,longPress
1,-0.2502229,1.22662,-0.1824021,21.12351,1.069156,longPress
1,-0.2162938,1.157258,-0.1734056,140.8872,3.8869,longPress
1,-0.2042969,1.132754,-0.1711726,-125.9078,1.368744,longPress
1,-0.2042969,1.132754,-0.1711726,-125.9078,1.368744,longPress
1,-0.1878879,1.093068,-0.1680622,39.2034,2.152812,longPress
1,-0.1712937,1.039215,-0.1589608,35.0644,2.8541,longPress
1,-0.1712937,1.039215,-0.1589608,35.0644,2.8541,longPress
1,-0.1575369,0.9963189,-0.1370869,-17.5094,2.503912,longPress
1,-0.1497979,0.9752636,-0.1253324,-61.88152,1.266281,longPress
1,-0.1497979,0.9752636,-0.1253324,-61.88152,1.266281,longPress
1,-0.1314857,0.9287578,-0.08496952,97.29579,3.212197,longPress
1,-0.1260901,0.915896,-0.07325029,-115.066,0.9108773,longPress
1,-0.1260901,0.915896,-0.07325029,-115.066,0.9108773,longPress
1,-0.1209301,0.9027941,-0.06128645,0.6499082,0.9238755,longPress
1,-0.1091831,0.879266,-0.04467869,31.56326,1.555141,longPress
1,-0.103817,0.8685033,-0.03953218,-45.05432,0.6540542,longPress
1,-0.103817,0.8685033,-0.03953218,-45.05432,0.6540542,longPress
1,-0.09455486,0.8511491,-0.0291419,22.91395,1.112333,longPress
1,-0.09415111,0.85006,-0.02725697,-50.08147,0.1107038,longPress
1,-0.09415111,0.85006,-0.02725697,-50.08147,0.1107038,longPress
1,-0.09238664,0.8427941,-0.01515484,30.02888,0.7112814,longPress
1,-0.09186607,0.84296,-0.01215696,-27.94593,0.1523628,longPress
1,-0.09186607,0.84296,-0.01215696,-27.94593,0.1523628,longPress
1,-0.09440684,0.8451659,-0.005874634,10.1985,0.3563327,longPress
1,-0.096467,0.8456282,-0.003841877,-10.48943,0.1465442,longPress
1,-0.09872676,0.8461836,-0.0004167557,3.024858,0.2070413,longPress
