Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,3.22,B,14,1,magicTap,7
2,0,2,2.18,B,14,1,magicTap,0
3,0,0,1.54,B,14,1,magicTap,9
4,0,1,1.6,B,14,1,magicTap,2
5,0,0,1.939999,B,14,1,magicTap,11
6,0,1,1.9,B,14,1,magicTap,4
7,0,0,1.6,B,14,1,magicTap,13
8,0,0,2.059999,B,14,1,magicTap,6
9,0,0,1.620001,B,14,1,magicTap,15
10,0,1,2.139999,B,14,1,magicTap,8
11,0,0,1.860001,B,14,1,magicTap,1
12,0,0,1.540001,B,14,1,magicTap,10
13,0,0,1.779999,B,14,1,magicTap,3
14,0,0,1.880001,B,14,1,magicTap,12
15,0,1,1.799999,B,14,1,magicTap,5
16,0,1,1.48,B,14,1,magicTap,7
17,0,1,1.32,B,14,1,magicTap,0
18,0,1,1.560001,B,14,1,magicTap,9
19,0,0,1.399998,A,14,1,magicTap,2
20,1,2,1.18,B,14,1,magicTap,11
21,0,1,1.780003,B,14,1,magicTap,4
22,0,1,1.579998,B,14,1,magicTap,13
23,0,0,1.5,B,14,1,magicTap,6
24,0,0,1.380001,B,14,1,magicTap,15
25,0,0,1.48,B,14,1,magicTap,8
26,0,0,1.32,B,14,1,magicTap,1
27,0,2,1.360001,B,14,1,magicTap,10
28,0,1,1.5,B,14,1,magicTap,3
29,0,1,1.5,B,14,1,magicTap,12
30,0,0,1.380001,B,14,1,magicTap,5
31,0,1,1.219994,B,9,0,magicTap,0
32,0,1,1.32,B,9,0,magicTap,7
33,0,0,1.260002,B,9,0,magicTap,14
34,0,1,1.440002,B,9,0,magicTap,5
35,0,0,1.299995,A,9,0,magicTap,12
36,0,0,1.280006,B,9,0,magicTap,3
37,0,1,1.419998,B,9,0,magicTap,10
38,0,0,1.260002,B,9,0,magicTap,1
39,0,0,1.359993,B,9,0,magicTap,8
40,0,1,1.32,B,9,0,magicTap,15
41,0,0,1.320007,B,9,0,magicTap,6
42,0,1,1.239998,B,9,0,magicTap,13
43,0,0,1.260002,B,9,0,magicTap,4
44,0,0,1.559998,B,9,0,magicTap,11
45,0,2,1.479996,A,9,0,magicTap,2
