Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,2.08, ,5,0,longPress,12
2,0,0,2.4, ,5,0,longPress,3
3,0,0,2.1, ,5,0,longPress,10
4,0,0,2.1, ,5,0,longPress,1
5,0,1,1.9, ,5,0,longPress,8
6,0,0,2.74, ,5,0,longPress,15
7,0,1,1.940001, ,5,0,longPress,6
8,0,0,1.779999, ,5,0,longPress,13
9,0,0,1.900002, ,5,0,longPress,4
10,0,0,1.959999, ,5,0,longPress,11
11,0,0,2.060001, ,5,0,longPress,2
12,0,0,2.119999, ,5,0,longPress,9
13,0,0,2.040001, ,5,0,longPress,0
14,0,0,2.699997, ,5,0,longPress,7
15,0,0,2.480003, ,5,0,longPress,14
16,0,1,1.579998, ,9,1,longPress,2
17,0,0,1.5, ,9,1,longPress,11
18,0,0,1.580002, ,9,1,longPress,4
19,0,0,1.599998, ,9,1,longPress,13
20,0,1,1.82, ,9,1,longPress,6
21,0,1,1.560001, ,9,1,longPress,15
22,0,1,1.599998, ,9,1,longPress,8
23,0,0,1.520004, ,9,1,longPress,1
24,0,0,1.719994, ,9,1,longPress,10
25,0,2,1.760002, ,9,1,longPress,3
26,0,1,1.540001, ,9,1,longPress,12
27,0,0,1.580002, ,9,1,longPress,5
28,0,0,1.559998, ,9,1,longPress,14
29,0,2,1.739998, ,9,1,longPress,7
30,0,1,1.520004, ,9,1,longPress,0
31,0,0,1.400002, ,6,1,longPress,15
32,0,1,1.519997, ,6,1,longPress,8
33,0,0,1.420006, ,6,1,longPress,1
34,0,1,1.459999, ,6,1,longPress,10
35,0,2,1.479996, ,6,1,longPress,3
36,0,1,1.459999, ,6,1,longPress,12
37,0,1,1.460007, ,6,1,longPress,5
38,0,0,1.5, ,6,1,longPress,14
39,0,2,1.599998, ,6,1,longPress,7
40,0,0,1.479996, ,6,1,longPress,0
41,0,0,1.360001, ,6,1,longPress,9
42,0,1,1.440002, ,6,1,longPress,2
43,0,0,1.440002, ,6,1,longPress,11
44,0,0,1.459999, ,6,1,longPress,4
45,0,1,1.419998, ,6,1,longPress,13
