Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,1.939999, ,11,0,Tap,2
2,2,2,1.900002, ,11,0,Tap,9
3,1,1,2.139999, ,11,0,Tap,0
4,1,1,1.959999, ,11,0,Tap,7
5,1,1,2.799999, ,11,0,Tap,14
6,0,0,1.560001, ,11,0,Tap,5
7,0,0,1.880001, ,11,0,Tap,12
8,0,0,1.779999, ,11,0,Tap,3
9,0,0,1.68, ,11,0,Tap,10
10,1,1,1.68, ,11,0,Tap,1
11,0,0,2.099998, ,11,0,Tap,8
12,0,0,2.520004, ,11,0,Tap,15
13,1,1,2.32, ,11,0,Tap,6
14,1,1,2.32, ,11,0,Tap,13
15,1,1,1.719994, ,11,0,Tap,4
16,0,0,1.639999, ,5,0,Tap,12
17,1,1,1.479996, ,5,0,Tap,3
18,2,2,1.320007, ,5,0,Tap,10
19,0,0,1.459999, ,5,0,Tap,1
20,2,2,1.419998, ,5,0,Tap,8
21,0,0,1.580002, ,5,0,Tap,15
22,2,2,1.439995, ,5,0,Tap,6
23,1,1,1.700005, ,5,0,Tap,13
24,3,3,1.5, ,5,0,Tap,4
25,0,0,1.559998, ,5,0,Tap,11
26,1,1,1.559998, ,5,0,Tap,2
27,0,0,1.400002, ,5,0,Tap,9
28,0,0,1.580002, ,5,0,Tap,0
29,0,0,1.540001, ,5,0,Tap,7
30,0,0,1.599998, ,5,0,Tap,14
31,0,0,1.360001, ,9,1,Tap,2
32,1,1,1.32, ,9,1,Tap,11
33,0,0,1.239998, ,9,1,Tap,4
34,0,0,1.340004, ,9,1,Tap,13
35,0,0,1.339996, ,9,1,Tap,6
36,0,0,1.400002, ,9,1,Tap,15
37,1,1,1.300003, ,9,1,Tap,8
38,0,0,1.360001, ,9,1,Tap,1
39,3,3,1.259995, ,9,1,Tap,10
40,1,1,1.480003, ,9,1,Tap,3
41,2,2,1.300003, ,9,1,Tap,12
42,0,0,1.379997, ,9,1,Tap,5
43,1,1,1.379997, ,9,1,Tap,14
44,0,0,1.340004, ,9,1,Tap,7
45,1,1,1.379997, ,9,1,Tap,0
