Case,X,Y,Z,a,v,modeSelected
1,-0.1552857,0.7768553,0.4351497,34.77552,0.8101069,Tap
1,-0.1557463,0.7743288,0.4376602,0,0,Tap
1,-0.1772168,0.7541145,0.4484911,-78.53773,0,Tap
1,-0.1828319,0.7500461,0.4456668,18.71798,0.3743596,Tap
1,-0.1828319,0.7500461,0.4456668,18.71798,0.3743596,Tap
1,-0.1807044,0.7457717,0.4480424,-5.385697,0.2666457,Tap
1,-0.1807089,0.7457683,0.4480429,-13.3182,0.0002817541,Tap
1,-0.1807089,0.7457683,0.4480429,-13.3182,0.0002817541,Tap
1,-0.1816268,0.7454573,0.4477525,2.515368,0.05058912,Tap
1,-0.1825556,0.7454368,0.4471269,0.2706375,0.05600187,Tap
1,-0.1825556,0.7454368,0.4471269,0.2706375,0.05600187,Tap
1,-0.1837826,0.7449586,0.4460845,-4.198748,0,Tap
1,-0.1837826,0.7449586,0.4460845,-4.198748,0,Tap
1,-0.1840724,0.7434669,0.4464159,3.888321,0.07776641,Tap
1,-0.1846415,0.7424862,0.4464693,-1.050455,0.05675731,Tap
1,-0.1846415,0.7424855,0.4464693,-2.836077,3.577055E-05,Tap
1,-0.1846415,0.7424855,0.4464693,-2.836077,3.577055E-05,Tap
1,-0.1840701,0.7408447,0.4473138,4.8276,0.09658775,Tap
1,-0.1838669,0.7407386,0.4473863,-4.228361,0.01202053,Tap
1,-0.1838669,0.7407386,0.4473863,-4.228361,0.01202053,Tap
1,-0.1832384,0.7409714,0.4469585,1.386676,0.03975406,Tap
1,-0.1827333,0.7407257,0.4471703,-0.4869482,0.0300151,Tap
1,-0.1821256,0.7418625,0.4467945,1.856071,0.06713651,Tap
1,-0.1816372,0.7420311,0.4469161,-1.326826,0,Tap
1,-0.1816372,0.7420311,0.4469161,-1.326826,0,Tap
1,-0.1793912,0.7435846,0.4463549,6.97009,0.1394018,Tap
1,-0.1778042,0.7439721,0.4458528,-2.697437,0.08545306,Tap
1,-0.1778042,0.7439721,0.4458528,-2.697437,0.08545306,Tap
1,-0.1761978,0.7445895,0.4447069,0.8960374,0.1033738,Tap
1,-0.1753637,0.7446234,0.4442282,-2.762932,0.04811517,Tap
1,-0.1753637,0.7446234,0.4442282,-2.762932,0.04811517,Tap
1,-0.1741734,0.743927,0.4420476,-6.450125,0,Tap
1,-0.1741734,0.743927,0.4420476,-6.450125,0,Tap
1,-0.1739938,0.7449549,0.4366117,-13.83797,0,Tap
1,-0.1734665,0.7489766,0.4277515,24.36106,0.4872211,Tap
1,-0.1734665,0.7489766,0.4277515,24.36106,0.4872211,Tap
1,-0.1739636,0.7528983,0.4151683,8.612947,0.65948,Tap
1,-0.1740447,0.7543182,0.4101915,-20.03406,0.2587989,Tap
1,-0.1740447,0.7543182,0.4101915,-20.03406,0.2587989,Tap
1,-0.174485,0.7572622,0.3976655,19.24725,0.6437439,Tap
1,-0.1735017,0.7572319,0.3912544,-15.97191,0.3243057,Tap
1,-0.1724814,0.7593805,0.3841624,2.485314,0.374012,Tap
1,-0.1707799,0.7663507,0.3734751,13.48038,0.6436197,Tap
1,-0.1657829,0.7815729,0.3543296,30.23065,1.248233,Tap
1,-0.1631067,0.7897739,0.3473516,-34.67262,0.5547803,Tap
1,-0.1616005,0.7975092,0.3419704,-3.882819,0.4771239,Tap
1,-0.1616005,0.7975092,0.3419704,-3.882819,0.4771239,Tap
1,-0.1548496,0.8181536,0.329565,38.67686,1.250661,Tap
1,-0.1531102,0.8206772,0.3292737,-54.8361,0.1539391,Tap
1,-0.1515137,0.8237312,0.3277774,1.695514,0.1878494,Tap
1,-0.150061,0.8274181,0.3255491,1.973098,0.2273113,Tap
1,-0.1470446,0.8304691,0.3234615,0.5627275,0.2385659,Tap
1,-0.1470446,0.8304691,0.3234615,0.5627275,0.2385659,Tap
1,-0.14016,0.8444403,0.3172388,30.00267,0.8386193,Tap
1,-0.1369991,0.8548302,0.310957,-10.56578,0.6273036,Tap
1,-0.1369991,0.8548302,0.310957,-10.56578,0.6273036,Tap
1,-0.1285254,0.8781712,0.2964978,40.4711,1.436726,Tap
1,-0.1216041,0.8944592,0.2885385,-23.32368,0.970252,Tap
1,-0.1113206,0.9145018,0.2794657,-60.71292,0,Tap
1,-0.09561273,0.9399118,0.269093,79.05696,1.581139,Tap
1,-0.09561273,0.9399118,0.269093,79.05696,1.581139,Tap
1,-0.02674451,1.033803,0.233819,225.1083,6.083304,Tap
1,-0.00821319,1.0556,0.2293739,-231.7823,1.447658,Tap
1,-0.00821319,1.0556,0.2293739,-231.7823,1.447658,Tap
1,0.03377002,1.095752,0.2208486,74.40399,2.935738,Tap
1,0.0536188,1.114026,0.2138882,-77.12869,1.393164,Tap
1,0.07039772,1.130449,0.2138591,-10.96094,1.173945,Tap
1,0.08287105,1.145316,0.2134032,-10.16732,0.9705991,Tap
1,0.09179869,1.161058,0.2192931,-0.9523988,0.9515511,Tap
1,0.1106111,1.188574,0.2257609,37.30751,1.697701,Tap
1,0.13113,1.210913,0.2350516,-5.575556,1.58619,Tap
1,0.13113,1.210913,0.2350516,-5.575556,1.58619,Tap
1,0.1470758,1.231907,0.2395349,-12.45688,1.337053,Tap
1,0.1517812,1.241914,0.2430544,-37.83993,0.580254,Tap
1,0.1554378,1.251148,0.2481394,-1.118216,0.5578896,Tap
1,0.1610359,1.260642,0.2518902,1.211378,0.5821172,Tap
