Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,1.860001, ,9,1,Tap,2
2,0,0,1.639999, ,9,1,Tap,11
3,0,0,2.020004, ,9,1,Tap,4
4,1,1,2.459999, ,9,1,Tap,13
5,0,0,1.900002, ,9,1,Tap,6
6,0,0,1.839996, ,9,1,Tap,15
7,1,1,1.700005, ,9,1,Tap,8
8,0,0,1.759995, ,9,1,Tap,1
9,0,0,1.840004, ,9,1,Tap,10
10,0,0,1.839996, ,9,1,Tap,3
11,0,0,1.68, ,9,1,Tap,12
12,0,0,1.779999, ,9,1,Tap,5
13,0,0,1.860001, ,9,1,Tap,14
14,0,0,1.740005, ,9,1,Tap,7
15,0,0,1.939995, ,9,1,Tap,0
16,1,1,1.779999, ,6,1,Tap,15
17,0,0,2.919998, ,6,1,Tap,8
18,1,1,1.639999, ,6,1,Tap,1
19,0,0,1.860001, ,6,1,Tap,10
20,0,0,1.860001, ,6,1,Tap,3
21,0,0,1.540001, ,6,1,Tap,12
22,1,1,1.540001, ,6,1,Tap,5
23,0,0,2.18, ,6,1,Tap,14
24,0,0,1.779999, ,6,1,Tap,7
25,0,0,1.839996, ,6,1,Tap,0
26,1,1,1.639999, ,6,1,Tap,9
27,0,0,2.380005, ,6,1,Tap,2
28,1,1,2.219994, ,6,1,Tap,11
29,0,0,1.760002, ,6,1,Tap,4
30,0,0,1.720001, ,6,1,Tap,13
31,0,0,1.5, ,10,0,Tap,1
32,0,0,2.520004, ,10,0,Tap,8
33,0,0,1.479996, ,10,0,Tap,15
34,0,0,3.639999, ,10,0,Tap,6
35,0,0,1.5, ,10,0,Tap,13
36,0,0,1.399994, ,10,0,Tap,4
37,0,0,1.320007, ,10,0,Tap,11
38,0,0,1.380005, ,10,0,Tap,2
39,0,0,1.37999, ,10,0,Tap,9
40,0,0,1.540009, ,10,0,Tap,0
41,0,0,1.360001, ,10,0,Tap,7
42,0,0,1.599991, ,10,0,Tap,14
43,0,0,1.5, ,10,0,Tap,5
44,0,0,1.460007, ,10,0,Tap,12
45,0,0,1.479996, ,10,0,Tap,3
46,0,0,2.960022, ,2,1,longPress,11
47,0,0,3.26001, ,2,1,longPress,4
48,0,1,2.700012, ,2,1,longPress,13
49,0,0,6.139954, ,2,1,longPress,6
50,0,0,2.920044, ,2,1,longPress,15
51,0,0,2.339966, ,2,1,longPress,8
52,0,0,2.52002, ,2,1,longPress,1
53,0,0,2.799988, ,2,1,longPress,10
54,0,0,2.380005, ,2,1,longPress,3
55,0,1,1.859985, ,2,1,longPress,12
56,0,0,3.200012, ,2,1,longPress,5
57,0,1,2.580017, ,2,1,longPress,14
58,0,0,2.859985, ,2,1,longPress,7
59,0,1,2.280029, ,2,1,longPress,0
60,0,0,2.399963, ,2,1,longPress,9
61,0,0,1.940002, ,15,0,longPress,6
62,0,0,1.799988, ,15,0,longPress,13
63,0,1,1.660034, ,15,0,longPress,4
64,0,0,1.5, ,15,0,longPress,11
65,0,2,1.959961, ,15,0,longPress,2
66,0,0,1.76001, ,15,0,longPress,9
67,0,0,1.700012, ,15,0,longPress,0
68,0,0,2.200012, ,15,0,longPress,7
69,0,0,1.700012, ,15,0,longPress,14
70,0,0,1.819946, ,15,0,longPress,5
71,0,1,1.700012, ,15,0,longPress,12
72,0,0,1.660034, ,15,0,longPress,3
73,0,0,1.659973, ,15,0,longPress,10
74,0,0,1.76001, ,15,0,longPress,1
75,0,0,1.659973, ,15,0,longPress,8
76,0,0,1.559998, ,12,1,longPress,5
77,0,0,1.52002, ,12,1,longPress,14
78,0,0,1.599976, ,12,1,longPress,7
79,0,0,1.559998, ,12,1,longPress,0
80,0,1,1.600037, ,12,1,longPress,9
81,0,0,1.559998, ,12,1,longPress,2
82,0,2,1.5, ,12,1,longPress,11
83,0,0,1.5, ,12,1,longPress,4
84,0,1,1.699951, ,12,1,longPress,13
85,0,2,1.660034, ,12,1,longPress,6
86,0,0,1.52002, ,12,1,longPress,15
87,0,1,1.579956, ,12,1,longPress,8
88,0,1,1.580017, ,12,1,longPress,1
89,0,0,1.559998, ,12,1,longPress,10
90,0,1,1.539978, ,12,1,longPress,3
91,0,0,2.339966,B,1,1,magicTap,10
92,0,0,2.160034,B,1,1,magicTap,3
93,0,0,2.039978,B,1,1,magicTap,12
94,0,1,1.919983,B,1,1,magicTap,5
95,0,1,1.840027,B,1,1,magicTap,14
96,0,0,3.73999,B,1,1,magicTap,7
97,0,1,2.100037,B,1,1,magicTap,0
98,0,0,2.73999,B,1,1,magicTap,9
99,0,0,1.880005,B,1,1,magicTap,2
100,0,0,1.579956,B,1,1,magicTap,11
101,0,1,1.660034,B,1,1,magicTap,4
102,0,0,1.419983,B,1,1,magicTap,13
103,0,0,2.880005,B,1,1,magicTap,6
104,0,2,1.940002,B,1,1,magicTap,15
105,0,0,1.799988,B,1,1,magicTap,8
106,0,2,2.580017,B,1,0,magicTap,8
107,0,0,1.779968,B,1,0,magicTap,15
108,0,1,1.480042,B,1,0,magicTap,6
109,0,0,1.579956,B,1,0,magicTap,13
110,0,0,1.420044,B,1,0,magicTap,4
111,0,0,1.399963,B,1,0,magicTap,11
112,0,0,1.480042,B,1,0,magicTap,2
113,0,0,1.5,B,1,0,magicTap,9
114,0,1,1.399963,B,1,0,magicTap,0
115,0,0,1.679993,B,1,0,magicTap,7
116,0,0,1.52002,B,1,0,magicTap,14
117,0,0,1.599976,B,1,0,magicTap,5
118,0,0,1.420044,B,1,0,magicTap,12
119,0,0,1.419983,B,1,0,magicTap,3
120,0,0,1.400024,B,1,0,magicTap,10
121,0,0,1.580017,B,8,1,magicTap,1
122,0,1,1.320007,B,8,1,magicTap,10
123,0,0,1.399963,B,8,1,magicTap,3
124,0,1,1.300049,B,8,1,magicTap,12
125,0,0,1.339966,B,8,1,magicTap,5
126,0,1,1.200012,B,8,1,magicTap,14
127,0,0,1.619995,B,8,1,magicTap,7
128,0,1,1.340027,A,8,1,magicTap,0
129,0,0,1.759949,B,8,1,magicTap,9
130,0,0,1.480042,B,8,1,magicTap,2
131,0,0,1.179993,B,8,1,magicTap,11
132,0,0,1.320007,B,8,1,magicTap,4
133,0,0,1.179993,B,8,1,magicTap,13
134,0,0,1.580017,B,8,1,magicTap,6
135,0,1,1.259949,B,8,1,magicTap,15
