Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,1,4.419983, ,15,1,longPress,8
2,0,0,2.679993, ,15,1,longPress,1
3,0,0,3.200012, ,15,1,longPress,10
4,0,0,2.460022, ,15,1,longPress,3
5,0,0,3.73999, ,15,1,longPress,12
6,0,1,3, ,15,1,longPress,5
7,0,1,3.079956, ,15,1,longPress,14
8,0,0,3.100037, ,15,1,longPress,7
9,0,1,2.539978, ,15,1,longPress,0
10,0,3,2.460022, ,15,1,longPress,9
11,0,0,3.039978, ,15,1,longPress,2
12,0,0,3.5, ,15,1,longPress,11
13,0,0,2.600037, ,15,1,longPress,4
14,0,0,2.719971, ,15,1,longPress,13
15,0,0,2.820007, ,15,1,longPress,6
16,0,1,1.73999, ,10,0,longPress,1
17,0,0,2.73999, ,10,0,longPress,8
18,0,0,1.780029, ,10,0,longPress,15
19,0,0,1.719971, ,10,0,longPress,6
20,0,1,2.119995, ,10,0,longPress,13
21,0,0,1.76001, ,10,0,longPress,4
22,0,1,2.02002, ,10,0,longPress,11
23,0,0,1.599976, ,10,0,longPress,2
24,0,0,1.640015, ,10,0,longPress,9
25,0,0,1.859985, ,10,0,longPress,0
26,0,1,2.160034, ,10,0,longPress,7
27,0,3,2.159973, ,10,0,longPress,14
28,0,1,2.380005, ,10,0,longPress,5
29,0,1,2.700012, ,10,0,longPress,12
30,0,0,2.019958, ,10,0,longPress,3
31,0,1,1.820007, ,11,1,longPress,4
32,0,1,1.860046, ,11,1,longPress,13
33,0,2,2.539978, ,11,1,longPress,6
34,0,1,1.719971, ,11,1,longPress,15
35,0,0,1.600037, ,11,1,longPress,8
36,0,2,1.580017, ,11,1,longPress,1
37,0,0,1.659973, ,11,1,longPress,10
38,0,0,1.700012, ,11,1,longPress,3
39,0,0,1.659973, ,11,1,longPress,12
40,0,0,1.52002, ,11,1,longPress,5
41,0,0,1.580017, ,11,1,longPress,14
42,0,1,1.940002, ,11,1,longPress,7
43,0,1,1.599976, ,11,1,longPress,0
44,0,0,1.619995, ,11,1,longPress,9
45,0,1,1.599976, ,11,1,longPress,2
46,0,0,3.199951, ,1,0,longPress,8
47,0,0,2.680054, ,1,0,longPress,15
48,0,0,5.040039, ,1,0,longPress,6
