Case,X,Y,Z,a,v,modeSelected
46,-0.2397649,1.467821,0.2278919,-2.193118,0.0156593,longPress
46,-0.2397876,1.467571,0.2272863,0,0,longPress
46,-0.2419638,1.469048,0.2265186,-6.849376,0,longPress
46,-0.2438159,1.469092,0.2251296,5.788859,0.1157772,longPress
46,-0.2438037,1.467581,0.2271175,0.4533194,0.1248436,longPress
46,-0.2438037,1.467581,0.2271175,0.4533194,0.1248436,longPress
46,-0.2440265,1.467826,0.2272243,-5.373095,0.01738166,longPress
46,-0.2435416,1.467875,0.2278409,1.09581,0.03929785,longPress
46,-0.2435416,1.467875,0.2278409,1.09581,0.03929785,longPress
46,-0.2435589,1.467683,0.2277384,-1.419452,0.01090881,longPress
46,-0.2435813,1.467482,0.2276468,0.01061945,0.0111212,longPress
46,-0.2435813,1.467482,0.2276468,0.01061945,0.0111212,longPress
46,-0.2429743,1.4678,0.2273564,1.30486,0.03721841,longPress
46,-0.2427263,1.467762,0.2273316,-1.230752,0.01260336,longPress
46,-0.2427077,1.467977,0.2268906,0.5964427,0.02453221,longPress
46,-0.2427077,1.467977,0.2268906,0.5964427,0.02453221,longPress
46,-0.2425539,1.468169,0.2271681,-0.2982994,0.01856623,longPress
46,-0.2424097,1.468076,0.2266998,0.3184603,0.02493543,longPress
46,-0.2424097,1.468076,0.2266998,0.3184603,0.02493543,longPress
46,-0.2424276,1.467419,0.2257533,1.635198,0.05763939,longPress
46,-0.2426314,1.467278,0.2253833,-1.769032,0.02225876,longPress
46,-0.2426314,1.467278,0.2253833,-1.769032,0.02225876,longPress
46,-0.2423438,1.468095,0.225668,1.165225,0.04556327,longPress
46,-0.2424552,1.468093,0.2260618,-1.254827,0.02046672,longPress
46,-0.2424552,1.468093,0.2260618,-1.254827,0.02046672,longPress
46,-0.2420335,1.468454,0.2274733,2.768247,0.07583165,longPress
46,-0.2418826,1.468714,0.2269969,-2.38293,0.02817306,longPress
46,-0.2417423,1.468966,0.2265081,0.009979121,0.02837264,longPress
46,-0.2417423,1.468966,0.2265081,0.009979121,0.02837264,longPress
46,-0.2427002,1.4688,0.2258921,1.458594,0.05754451,longPress
46,-0.2436178,1.468678,0.2254443,-0.3066126,0.05141226,longPress
46,-0.2436178,1.468678,0.2254443,-0.3066126,0.05141226,longPress
46,-0.2457569,1.468919,0.2232103,5.185204,0.1551163,longPress
46,-0.2469113,1.469357,0.2228732,-4.555772,0.06400089,longPress
46,-0.2469113,1.469357,0.2228732,-4.555772,0.06400089,longPress
46,-0.249728,1.470143,0.2202473,6.625305,0.196507,longPress
46,-0.2513465,1.469995,0.2176685,-2.204981,0.1524074,longPress
46,-0.2513465,1.469995,0.2176685,-2.204981,0.1524074,longPress
46,-0.2542779,1.468119,0.209424,14.75225,0.4474525,longPress
46,-0.255493,1.466849,0.2050529,-10.59424,0.2355676,longPress
46,-0.2566564,1.465327,0.2009411,-0.437849,0.2268106,longPress
46,-0.2566564,1.465327,0.2009411,-0.437849,0.2268106,longPress
46,-0.2564507,1.453873,0.185533,36.65936,0.9599978,longPress
46,-0.2527643,1.438636,0.1672392,12.23023,1.204602,longPress
46,-0.2527643,1.438636,0.1672392,12.23023,1.204602,longPress
46,-0.2440086,1.406264,0.1295686,65.85707,2.521744,longPress
46,-0.2384758,1.387949,0.1114426,-60.19915,1.317761,longPress
46,-0.2315346,1.367116,0.0945549,3.367531,1.385111,longPress
46,-0.2315346,1.367116,0.0945549,3.367531,1.385111,longPress
46,-0.2237192,1.330473,0.07490063,36.51759,2.115463,longPress
46,-0.2214835,1.312938,0.06883621,-59.05364,0.9343902,longPress
46,-0.2214835,1.312938,0.06883621,-59.05364,0.9343902,longPress
46,-0.2113235,1.275004,0.04432774,69.00924,2.314575,longPress
46,-0.2062052,1.255392,0.03324175,-57.97228,1.155129,longPress
46,-0.2062052,1.255392,0.03324175,-57.97228,1.155129,longPress
46,-0.1960103,1.212427,0.01557255,61.14684,2.378066,longPress
46,-0.1867454,1.190475,0.008977413,-57.09506,1.236165,longPress
46,-0.1765384,1.170133,0.004829884,-3.974038,1.156684,longPress
46,-0.1765384,1.170133,0.004829884,-3.974038,1.156684,longPress
46,-0.1573972,1.133226,-0.01171637,54.03415,2.237367,longPress
46,-0.148134,1.116323,-0.01798868,-61.19409,1.013486,longPress
