Case,X,Y,Z,modeSelected
2,-0.5114655,1.674173,0.3730414,Tap
7,-0.04535034,1.575997,0.4089594,Tap
11,-0.1252184,1.013961,0.444763,Tap
11,-0.131234,1.015348,0.4480855,Tap
14,-0.0607487,1.482222,0.3261523,Tap
15,-0.529435,1.128123,0.3434763,Tap
17,-0.4456864,1.593974,0.2771272,Tap
17,-0.4336427,1.596939,0.2836186,Tap
17,-0.4251825,1.600133,0.2793487,Tap
17,-0.3843587,1.601807,0.2765965,Tap
17,-0.3571188,1.600355,0.2782938,Tap
17,-0.3587427,1.600301,0.2777099,Tap
17,-0.3272539,1.60202,0.2679762,Tap
17,-0.3196343,1.601434,0.2712857,Tap
17,-0.3404578,1.60276,0.2673386,Tap
17,-0.3578493,1.602019,0.2678963,Tap
17,-0.3768236,1.60052,0.2656353,Tap
17,-0.3645746,1.597148,0.2645128,Tap
17,-0.431206,1.598623,0.2668473,Tap
17,-0.5193312,1.5959,0.3700767,Tap
17,-0.6903981,1.599161,0.3471544,Tap
17,-0.6945863,1.601343,0.3406477,Tap
19,-0.3785639,0.8807724,0.3487213,Tap
20,-0.2538845,1.418615,0.3261081,Tap
21,-0.7946388,1.266249,0.299167,Tap
23,-0.2767243,1.489131,0.3537445,Tap
25,-0.6479325,0.9981915,0.2764654,Tap
26,-0.417417,0.9143577,0.3328816,Tap
33,-0.5959098,1.473578,0.2897568,Tap
35,-0.4038447,0.9116899,0.3625522,Tap
36,-0.7573051,1.158161,0.4321006,Tap
36,-0.7935691,1.063375,0.4830459,Tap
37,-0.3471677,1.421995,0.3657677,Tap
38,-0.6192509,1.21728,0.355256,Tap
39,-0.4768519,1.513392,0.3688018,Tap
39,-0.4993615,1.517407,0.3951941,Tap
44,-0.2608483,1.365022,0.4725469,Tap
44,-0.2478731,1.362748,0.4672736,Tap
59,0.3907992,1.462883,0.4380031,longPress
62,-0.1805772,1.604111,0.3463667,longPress
62,-0.1825599,1.595703,0.3656377,longPress
84,0.03716693,1.526699,0.3617971,longPress
121,0.1875517,1.54665,0.5064733,magicTap
121,0.2207541,1.540785,0.5043576,magicTap
123,0.3098019,1.22099,0.5282201,magicTap
124,0.2984842,1.230409,0.5176773,magicTap
126,0.3115831,1.439467,0.50488,magicTap
