Case,errorTimes,errorInTimes,usedTime,triggerCondition,start,direction(0 for ),modeSelected,ballIndex
1,0,0,23.2, ,3,1,Tap,12
2,1,1,16.38, ,3,1,Tap,5
3,0,0,4.039993, ,3,1,Tap,14
4,0,0,4.12001, ,3,1,Tap,7
5,0,0,2.73999, ,3,1,Tap,0
6,0,0,2.960007, ,3,1,Tap,9
7,1,1,11.25999, ,3,1,Tap,2
8,0,0,3.700012, ,3,1,Tap,11
9,0,0,9.359985, ,3,1,Tap,4
10,0,0,2.679993, ,3,1,Tap,13
11,2,2,16.84003, ,3,1,Tap,6
12,0,0,2.419983, ,3,1,Tap,15
13,0,0,2.700012, ,3,1,Tap,8
14,1,1,5.199982, ,3,1,Tap,1
15,1,1,3.300018, ,3,1,Tap,10
16,0,0,2.140015, ,3,1,Tap,12
17,16,16,17.69998, ,3,1,Tap,5
18,0,0,3.399994, ,3,1,Tap,14
19,1,1,3.920013, ,3,1,Tap,7
20,1,1,4.079987, ,3,1,Tap,0
21,1,1,3.080017, ,3,1,Tap,9
22,0,0,4.660004, ,3,1,Tap,2
23,1,1,2.779999, ,3,1,Tap,11
24,0,0,5.600006, ,3,1,Tap,4
25,1,1,3.139984, ,3,1,Tap,13
26,1,1,3.519989, ,3,1,Tap,6
27,0,0,2.940002, ,3,1,Tap,15
28,0,0,3.300018, ,3,1,Tap,8
29,0,0,6.600006, ,3,1,Tap,1
30,0,0,2.839996, ,3,1,Tap,10
31,0,0,2.339996, ,3,1,Tap,12
32,0,0,4.759979, ,3,1,Tap,5
33,1,1,3.200012, ,3,1,Tap,14
34,0,0,5.480011, ,3,1,Tap,7
35,1,1,2.279999, ,3,1,Tap,0
36,2,2,2.720001, ,3,1,Tap,9
37,1,1,6.720001, ,3,1,Tap,2
38,1,1,2.160004, ,3,1,Tap,11
39,2,2,6.679993, ,3,1,Tap,4
40,0,0,4.459991, ,3,1,Tap,13
41,0,0,5.619995, ,3,1,Tap,6
42,0,0,5.339996, ,3,1,Tap,15
43,0,0,3.26001, ,3,1,Tap,8
44,2,2,5.100006, ,3,1,Tap,1
45,0,0,2.160004, ,3,1,Tap,10
46,0,0,5.664063, ,3,1,longPress,12
47,0,1,27.9375, ,3,1,longPress,5
48,0,3,43.17969, ,3,1,longPress,14
49,0,1,20.52344, ,3,1,longPress,7
50,0,0,4.835938, ,3,1,longPress,0
51,0,0,5.179688, ,3,1,longPress,9
52,0,0,13.74219, ,3,1,longPress,2
53,0,1,7.242188, ,3,1,longPress,11
54,0,4,31, ,3,1,longPress,4
55,0,0,4.554688, ,3,1,longPress,13
56,0,0,11, ,3,1,longPress,6
57,0,0,5.28125, ,3,1,longPress,15
58,0,0,5.960938, ,3,1,longPress,8
59,1,1,9.484375, ,3,1,longPress,1
60,0,1,4.820313, ,3,1,longPress,10
61,0,0,5.664063, ,3,1,longPress,12
62,2,9,14.46094, ,3,1,longPress,5
63,0,0,4.71875, ,3,1,longPress,14
64,0,1,7.15625, ,3,1,longPress,7
65,0,0,5.179688, ,3,1,longPress,0
66,0,0,5.984375, ,3,1,longPress,9
67,0,0,7.65625, ,3,1,longPress,2
68,0,0,2.71875, ,3,1,longPress,11
69,0,2,6.445313, ,3,1,longPress,4
70,0,0,4.601563, ,3,1,longPress,13
71,0,0,5.320313, ,3,1,longPress,6
72,0,0,4, ,3,1,longPress,15
73,0,0,4.054688, ,3,1,longPress,8
74,0,1,6.484375, ,3,1,longPress,1
75,0,0,4.320313, ,3,1,longPress,10
76,0,1,5.835938, ,3,1,longPress,12
77,0,0,4.820313, ,3,1,longPress,5
78,0,1,5.398438, ,3,1,longPress,14
79,0,0,7.242188, ,3,1,longPress,7
80,0,1,3.921875, ,3,1,longPress,0
81,0,0,2.875, ,3,1,longPress,9
82,0,1,3.820313, ,3,1,longPress,2
83,0,0,4.085938, ,3,1,longPress,11
84,1,2,7.28125, ,3,1,longPress,4
85,0,0,3.3125, ,3,1,longPress,13
86,0,0,5.382813, ,3,1,longPress,6
87,0,1,4.21875, ,3,1,longPress,15
88,0,1,3.5, ,3,1,longPress,8
89,0,0,6, ,3,1,longPress,1
90,0,0,3.78125, ,3,1,longPress,10
91,0,0,4.257813,B,3,1,magicTap,12
92,0,0,3.296875,B,3,1,magicTap,5
93,0,0,3.84375,B,3,1,magicTap,14
94,0,0,4.242188,B,3,1,magicTap,7
95,0,0,2.734375,B,3,1,magicTap,0
96,0,0,3.5625,B,3,1,magicTap,9
97,0,0,3.359375,B,3,1,magicTap,2
98,0,0,3.117188,B,3,1,magicTap,11
99,0,1,3.34375,B,3,1,magicTap,4
100,0,0,3.796875,B,3,1,magicTap,13
101,0,0,7.203125,B,3,1,magicTap,6
102,0,0,3.976563,B,3,1,magicTap,15
103,0,0,4.78125,A,3,1,magicTap,8
104,0,0,4.484375,B,3,1,magicTap,1
105,0,1,3.734375,B,3,1,magicTap,10
106,0,0,3.242188,B,3,1,magicTap,12
107,0,1,2.78125,B,3,1,magicTap,5
108,0,0,3.21875,B,3,1,magicTap,14
109,0,0,3.898438,B,3,1,magicTap,7
110,0,0,3.882813,A,3,1,magicTap,0
111,0,0,3.179688,B,3,1,magicTap,9
112,0,0,4.679688,B,3,1,magicTap,2
113,0,0,3.257813,B,3,1,magicTap,11
114,0,0,2.34375,B,3,1,magicTap,4
115,0,0,3.296875,B,3,1,magicTap,13
116,0,0,3.78125,B,3,1,magicTap,6
117,0,0,3.117188,B,3,1,magicTap,15
118,0,0,3.023438,B,3,1,magicTap,8
119,0,0,3.296875,B,3,1,magicTap,1
120,0,0,3.9375,B,3,1,magicTap,10
121,2,8,7.039063,B,3,1,magicTap,12
122,0,0,3.085938,B,3,1,magicTap,5
123,1,0,3.28125,A,3,1,magicTap,14
124,1,2,3.757813,A,3,1,magicTap,7
125,0,0,3.476563,A,3,1,magicTap,0
126,1,1,3.179688,B,3,1,magicTap,9
127,0,1,2.984375,B,3,1,magicTap,2
128,0,1,3.640625,B,3,1,magicTap,11
129,0,1,2.554688,B,3,1,magicTap,4
130,0,0,3.421875,B,3,1,magicTap,13
131,0,0,3.34375,B,3,1,magicTap,6
132,0,0,3.15625,A,3,1,magicTap,15
133,0,0,2.28125,B,3,1,magicTap,8
134,0,0,2.421875,B,3,1,magicTap,1
135,0,0,2.796875,B,3,1,magicTap,10
