Case,X,Y,Z,a,v,modeSelected
46,0.0921675,1.706114,0.5230899,1.016715,0.02033429,longPress
46,0.09249299,1.706372,0.5228429,0,0,longPress
46,0.1051052,1.716642,0.4997168,0,0,longPress
46,0.1060925,1.716561,0.4961348,9.291089,0.1858218,longPress
46,0.1083151,1.718931,0.4856033,-27.55316,0,longPress
46,0.1106998,1.720705,0.4798408,-16.20975,0,longPress
46,0.1121718,1.721507,0.4779387,6.338293,0.1267658,longPress
46,0.1132936,1.721932,0.4766388,-1.915959,0.08844666,longPress
46,0.1144224,1.722384,0.4752207,0.247293,0.09339252,longPress
46,0.1156436,1.723107,0.4729462,-6.702357,0,longPress
46,0.1156442,1.723108,0.4729424,0.01002666,0.0002005331,longPress
46,0.1160437,1.723964,0.4696779,8.485949,0.1699195,longPress
46,0.1163906,1.724795,0.4662914,0.2642557,0.1752046,longPress
46,0.1134866,1.724276,0.4609146,6.57202,0.306645,longPress
46,0.1106708,1.722418,0.4539862,3.932624,0.3852975,longPress
46,0.1079069,1.720035,0.4473157,-0.2557188,0.3801831,longPress
46,0.101685,1.713273,0.4353271,18.75298,0.7552428,longPress
46,0.09519538,1.705498,0.4224086,3.276286,0.8207685,longPress
46,0.08753338,1.683833,0.4186139,-58.22673,0,longPress
46,0.0686288,1.628401,0.4115233,147.4859,2.949718,longPress
46,0.05496166,1.576534,0.381341,6.381702,3.077352,longPress
46,0.04164802,1.539065,0.3493886,-26.34152,2.550522,longPress
46,0.03291667,1.499476,0.3179741,0.6936431,2.564395,longPress
46,0.02415181,1.458159,0.304162,-17.12743,2.221846,longPress
46,0.01830372,1.417242,0.2890301,-1.052821,2.20079,longPress
46,0.008893136,1.364741,0.2697139,31.78046,2.836399,longPress
46,5.185604E-05,1.314848,0.2509699,-135.0647,0,longPress
46,-0.006185345,1.264009,0.2363133,133.1905,2.663809,longPress
46,-0.01211097,1.217328,0.2314591,-14.92678,2.365274,longPress
46,-0.01770318,1.171802,0.2261796,-2.837539,2.308523,longPress
46,-0.02193967,1.129667,0.229001,-9.322524,2.122072,longPress
46,-0.02588991,1.086135,0.2309318,3.280115,2.187675,longPress
46,-0.02399243,1.048292,0.2341256,-14.32149,1.901245,longPress
46,-0.02257177,1.007631,0.2355747,6.717605,2.035597,longPress
46,-0.01739312,0.9677951,0.231082,-101.0535,0,longPress
46,-0.01211172,0.9283037,0.2263646,100.3031,2.006062,longPress
46,-0.009884655,0.9180815,0.2142253,-60.23938,0.8012744,longPress
46,-0.0104804,0.8969883,0.2039533,18.60882,1.173451,longPress
46,-0.009267379,0.8754535,0.1932101,1.568216,1.204815,longPress
46,-0.01091112,0.8697687,0.1846628,-34.25095,0.5197961,longPress
46,-0.01070637,0.8609225,0.1762476,4.538321,0.6105625,longPress
