Case,X,Y,Z,a,v,modeSelected
91,0.1498307,1.704821,0.6232243,-9.575592,0,magicTap
91,0.1504575,1.706931,0.6203227,0,0,magicTap
91,0.1491995,1.709892,0.5993218,-53.11477,0,magicTap
91,0.1458508,1.712154,0.5951977,14.43487,0.2886974,magicTap
91,0.1463389,1.7135,0.5937915,-9.417453,0.1003483,magicTap
91,0.1456737,1.714492,0.5914817,-6.500084,0,magicTap
91,0.1450747,1.71529,0.5896111,5.300529,0.1060106,magicTap
91,0.1450732,1.715292,0.5896063,-5.287325,0.0002640871,magicTap
91,0.1450428,1.715949,0.5885844,3.025459,0.06077327,magicTap
91,0.1450416,1.71595,0.5885801,-3.026978,0.0002337168,magicTap
91,0.1445697,1.716561,0.5869064,4.595716,0.09214803,magicTap
91,0.1439576,1.717256,0.5858903,-1.170477,0.06873849,magicTap
91,0.1433258,1.717518,0.5846939,0.008446723,0.06890742,magicTap
91,0.142727,1.717749,0.5835671,-0.203532,0.06483679,magicTap
91,0.1417126,1.717855,0.583045,-2.864551,0,magicTap
91,0.1407558,1.717954,0.5825458,2.709171,0.05418342,magicTap
91,0.1407831,1.718024,0.5820012,-1.334615,0.02749112,magicTap
91,0.1407831,1.718024,0.5820012,-1.334615,0.02749112,magicTap
91,0.1409285,1.717512,0.5814404,0.5596722,0.03868457,magicTap
91,0.1410353,1.716986,0.5808668,0.02986956,0.03928196,magicTap
91,0.1411097,1.716479,0.5803175,-1.876622,0,magicTap
91,0.1417902,1.716441,0.5797529,2.212598,0.04425196,magicTap
91,0.1427681,1.716416,0.5790901,0.7416172,0.0590843,magicTap
91,0.1438085,1.716359,0.5784044,0.1640586,0.06236548,magicTap
91,0.1443164,1.716251,0.5774465,-0.3941791,0.05448189,magicTap
91,0.144836,1.716124,0.5764375,0.1308858,0.05709961,magicTap
91,0.1460907,1.716144,0.5749679,1.976148,0.09662256,magicTap
91,0.1479022,1.715313,0.5737381,1.0229,0.1170806,magicTap
91,0.1498554,1.714287,0.5725203,-6.301079,0,magicTap
91,0.1514914,1.710803,0.5726385,9.626762,0.1925352,magicTap
91,0.153113,1.706721,0.5729122,1.375502,0.2200453,magicTap
91,0.1504347,1.696578,0.5781765,18.3416,0.5868773,magicTap
91,0.1401641,1.680496,0.5833812,20.10271,0.9889316,magicTap
91,0.1240715,1.656606,0.5889235,23.88604,1.466652,magicTap
91,0.1049561,1.626182,0.593246,17.14185,1.809489,magicTap
91,0.06500884,1.587104,0.5828376,51.63444,2.842178,magicTap
91,0.03025687,1.539245,0.5577698,18.48801,3.211938,magicTap
91,-0.0002375841,1.489494,0.5322771,-159.1959,0,magicTap
91,-0.02206419,1.439408,0.504519,153.2053,3.064107,magicTap
91,-0.03988563,1.390753,0.4766059,-6.064725,2.942812,magicTap
91,-0.05379982,1.342914,0.4428997,3.240347,3.007619,magicTap
91,-0.06621706,1.307822,0.4069166,-20.94885,2.588642,magicTap
91,-0.07610632,1.273481,0.3718071,-4.189098,2.50486,magicTap
91,-0.07667425,1.237191,0.3454118,-13.04936,2.243873,magicTap
91,-0.07696974,1.20122,0.3172455,2.026641,2.284406,magicTap
91,-0.07876357,1.172283,0.2941027,-21.47905,1.854825,magicTap
91,-0.079175,1.144827,0.2700911,-91.19238,0,magicTap
91,-0.08651496,1.131232,0.2530184,57.56311,1.151262,magicTap
91,-0.09104289,1.117447,0.2364202,-2.44717,1.102319,magicTap
91,-0.09062669,1.108318,0.2274199,-23.05127,0.6412935,magicTap
91,-0.09423237,1.096864,0.2222958,0.5763769,0.652821,magicTap
91,-0.0974038,1.083234,0.2151227,6.671706,0.7862551,magicTap
91,-0.09971707,1.062687,0.2168036,12.54986,1.037252,magicTap
91,-0.1022228,1.041954,0.2166018,0.3489137,1.044231,magicTap
91,-0.1002693,1.026149,0.215755,-39.86916,0,magicTap
91,-0.09867646,1.009689,0.2138004,41.63132,0.8326264,magicTap
91,-0.09394877,0.9989594,0.2107229,-11.32685,0.6060894,magicTap
91,-0.0893985,0.9870605,0.2073565,2.636889,0.6588271,magicTap
91,-0.07920375,0.9730368,0.2031612,11.65387,0.8919045,magicTap
91,-0.06834155,0.9596144,0.1995788,-0.5084366,0.8817358,magicTap
91,-0.05681959,0.9445052,0.1949453,4.808092,0.9778976,magicTap
91,-0.04557765,0.9310746,0.1944723,-5.092463,0.8760484,magicTap
91,-0.03438149,0.9179363,0.1932731,-43.25845,0,magicTap
91,-0.02504487,0.9129511,0.1936498,26.47727,0.5295454,magicTap
91,-0.01561894,0.906976,0.1933994,1.430181,0.558149,magicTap
91,-0.008563094,0.9027795,0.1965647,-5.911061,0.4399278,magicTap
91,-0.000983566,0.8979071,0.1983042,0.9457424,0.4588427,magicTap
91,0.004621007,0.8924246,0.2010655,-2.161318,0.4156163,magicTap
91,0.005943388,0.8931887,0.2028303,-14.9461,0.1166942,magicTap
91,0.008693449,0.891864,0.2037005,2.100574,0.1587057,magicTap
91,0.009336904,0.8944762,0.2043586,-1.01123,0.1384811,magicTap
