Case,X,Y,Z,a,v,modeSelected
1,-0.1982626,1.694899,0.3872457,4.076065,0.08152129,Tap
1,-0.1979364,1.695084,0.387825,0,0,Tap
1,-0.1970486,1.699921,0.3954897,0,0,Tap
1,-0.1970486,1.699921,0.3954897,0,0,Tap
1,-0.200971,1.697268,0.3974271,12.79003,0.2558006,Tap
1,-0.2010698,1.697408,0.398479,-2.664435,0,Tap
1,-0.2011669,1.697527,0.3993449,2.198529,0.04397058,Tap
1,-0.2011681,1.697529,0.3993473,-2.190448,0.0001616209,Tap
1,-0.2011694,1.697531,0.3993502,0.0009283816,0.0001801886,Tap
1,-0.2019511,1.698045,0.4001713,3.103343,0.06224704,Tap
1,-0.2026946,1.698489,0.4008675,-0.334898,0.05554908,Tap
1,-0.2029714,1.698894,0.4007788,-1.531032,0.02492844,Tap
1,-0.2029714,1.698894,0.4007788,-1.246422,0,Tap
1,-0.2024418,1.699218,0.4003491,1.887377,0.03774754,Tap
1,-0.2019548,1.699473,0.3999262,-0.1534075,0.03467939,Tap
1,-0.2006944,1.701147,0.3970728,-8.851327,0,Tap
1,-0.2006944,1.701147,0.3970728,-8.851327,0,Tap
1,-0.1975447,1.705006,0.3909531,19.72619,0.3945238,Tap
1,-0.1958386,1.705179,0.3902273,-4.655268,0,Tap
1,-0.194247,1.705312,0.3894658,4.423558,0.08847117,Tap
1,-0.1949957,1.707554,0.384449,9.439846,0.2772681,Tap
1,-0.195337,1.709248,0.3801355,-2.246051,0.2323471,Tap
1,-0.1957814,1.710695,0.3741779,-15.36714,0,Tap
1,-0.1957814,1.710695,0.3741779,-15.36714,0,Tap
1,-0.1954467,1.711491,0.3668928,18.34027,0.3668054,Tap
1,-0.1959673,1.711916,0.3616619,-5.155559,0.2636942,Tap
1,-0.1964632,1.712169,0.3554659,-15.5525,0,Tap
1,-0.1990074,1.711671,0.3455119,25.71513,0.5143025,Tap
1,-0.2014935,1.710307,0.3357677,-0.344187,0.5074188,Tap
1,-0.2059404,1.706761,0.3250804,-30.26645,0,Tap
1,-0.2059404,1.706761,0.3250804,-30.26645,0,Tap
1,-0.2155216,1.69572,0.3038139,64.51585,1.290317,Tap
1,-0.2204175,1.68815,0.2928505,-29.03035,0.70971,Tap
1,-0.2255856,1.671273,0.2713985,33.96333,1.388977,Tap
1,-0.2315429,1.648825,0.2477279,-82.90513,0,Tap
1,-0.2363712,1.626909,0.2287827,73.42265,1.468453,Tap
1,-0.2394297,1.596962,0.2052927,22.03585,1.90917,Tap
1,-0.2412679,1.568963,0.1849928,-8.877415,1.731622,Tap
1,-0.2496014,1.537432,0.167675,5.735058,1.846323,Tap
1,-0.2541492,1.507004,0.1495738,-3.076196,1.784799,Tap
1,-0.2603891,1.473823,0.1314554,6.55163,1.915831,Tap
1,-0.2643323,1.441336,0.1128063,-1.625448,1.883322,Tap
1,-0.272463,1.407416,0.1046109,-4.589826,1.791526,Tap
1,-0.2810895,1.373335,0.112504,-90.07825,0,Tap
1,-0.2867814,1.332084,0.1133385,104.1254,2.082508,Tap
1,-0.2940823,1.265105,0.1383543,75.54778,3.593463,Tap
1,-0.2849925,1.203881,0.1366615,-24.87557,3.095952,Tap
1,-0.2858337,1.154232,0.161468,-138.7671,0,Tap
1,-0.2858337,1.154232,0.161468,-138.7671,0,Tap
1,-0.2803694,1.06336,0.1872969,236.5743,4.731485,Tap
1,-0.280196,0.9883081,0.2088633,-195.2229,0,Tap
1,-0.2763283,0.9182778,0.2181373,176.8688,3.537377,Tap
1,-0.2570399,0.8502172,0.210268,1.074469,3.558866,Tap
1,-0.2387985,0.7854549,0.1982079,-7.05663,3.417733,Tap
1,-0.2098241,0.7163436,0.1762781,24.31828,3.904099,Tap
