Case,X,Y,Z,modeSelected
1,-0.3233578,1.233939,0.537,Tap
1,-0.3233578,1.233939,0.537,Tap
2,0.2474873,0.8525126,0.537,Tap
3,-0.1339392,1.423358,0.537,Tap
4,4.173708E-09,0.75,0.537,Tap
5,0.1339392,1.423358,0.537,Tap
5,0.08539724,1.287508,0.5118808,Tap
6,-0.2474874,0.8525127,0.537,Tap
7,0.3233578,1.233939,0.537,Tap
7,0.3233578,1.233939,0.537,Tap
8,-0.35,1.1,0.537,Tap
9,0.3233579,0.9660608,0.537,Tap
9,0.3233579,0.9660608,0.537,Tap
9,-0.1827823,1.301225,0.5306472,Tap
10,-0.2474874,1.347487,0.537,Tap
10,0.1213208,0.911369,0.5161494,Tap
11,0.1339393,0.7766422,0.537,Tap
12,-1.529899E-08,1.45,0.537,Tap
12,-1.529899E-08,1.45,0.537,Tap
13,-0.1339393,0.7766422,0.537,Tap
14,0.2474874,1.347487,0.537,Tap
15,-0.3233578,0.9660608,0.537,Tap
16,-0.2771639,1.214805,0.537,Tap
17,0.212132,0.8878679,0.537,Tap
18,-0.114805,1.377164,0.537,Tap
19,3.577464E-09,0.8,0.537,Tap
20,0.114805,1.377164,0.537,Tap
21,-0.2121321,0.887868,0.537,Tap
22,0.2771639,1.214805,0.537,Tap
22,0.1170372,1.21386,0.5304676,Tap
23,-0.3,1.1,0.537,Tap
23,-0.1314842,1.051242,0.5028229,Tap
23,-0.03909609,1.015933,0.5458198,Tap
24,0.2771639,0.985195,0.537,Tap
25,-0.212132,1.312132,0.537,Tap
26,0.1148051,0.8228362,0.537,Tap
27,-1.311342E-08,1.4,0.537,Tap
28,-0.1148051,0.8228362,0.537,Tap
29,0.212132,1.312132,0.537,Tap
30,-0.2771639,0.985195,0.537,Tap
30,-0.2771639,0.985195,0.537,Tap
31,-0.2309699,1.195671,0.537,Tap
31,-0.2309699,1.195671,0.537,Tap
32,0.1767767,0.9232233,0.537,Tap
33,-0.09567085,1.33097,0.537,Tap
33,-0.05220798,1.223658,0.4910738,Tap
34,2.98122E-09,0.85,0.537,Tap
35,0.09567086,1.33097,0.537,Tap
36,-0.1767767,0.9232234,0.537,Tap
36,0.1503742,1.105453,0.5199559,Tap
37,0.2309699,1.195671,0.537,Tap
38,-0.25,1.1,0.537,Tap
38,-0.068198,1.123165,0.4647852,Tap
38,0.08793592,1.059492,0.4324259,Tap
39,0.2309699,1.004329,0.537,Tap
39,-0.04675952,1.160851,0.5018271,Tap
40,-0.1767767,1.276777,0.537,Tap
41,0.0956709,0.8690302,0.537,Tap
41,0.05184555,1.171961,0.5206451,Tap
42,-1.092785E-08,1.35,0.537,Tap
43,-0.09567089,0.8690301,0.537,Tap
43,0.01133364,0.9981082,0.4715863,Tap
44,0.1767767,1.276777,0.537,Tap
45,-0.2309699,1.004329,0.537,Tap
45,0.07217544,1.143998,0.5117928,Tap
