Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
49,-0.3203609,1.22715,0.543644,-0.04471969,0.02543623,longPress,1,7,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,-0.417869,0.01707885,longPress,1,7,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,-0.8539425,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
49,-0.3206554,1.227067,0.5434918,0,0,longPress,4,-1,-0.06088874,1.194526,-0.001486301,-0.0834049,-0.1722668,-0.03471221
