Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ,thumbX,thumbY,thumbZ
1,-0.274726,1.213679,0.5145507,2.343671,0.1217925,longPress,1,7,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2210219,1.15152,0.4943748
1,-0.2728408,1.213289,0.5142407,-1.21511,0.09749028,longPress,1,7,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,-4.874514,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1157947,1.135311,-0.02386045,-0.06912663,-0.06631557,0.01060834,-0.2196724,1.152517,0.4930854
1,-0.2728408,1.213289,0.5142407,0,0,longPress,4,-1,-0.1145887,1.135174,-0.02256584,-0.06779151,-0.06231791,0.01131281,-0.2196724,1.152517,0.4930854
1,-0.2674192,1.211734,0.5194192,19.14261,0.3828523,longPress,4,-1,-0.1145887,1.135174,-0.02256584,-0.06779151,-0.06231791,0.01131281,-0.214196,1.149983,0.4976082
1,-0.2674192,1.211734,0.5194192,-19.14261,0,longPress,4,-1,-0.1139021,1.134975,-0.02208376,-0.0670554,-0.06146349,0.01197564,-0.214196,1.149983,0.4976082
1,-0.2700546,1.211379,0.518858,6.794546,0.1358909,longPress,4,-1,-0.1136588,1.135,-0.02199507,-0.06729077,-0.0612161,0.01143378,-0.2144867,1.150688,0.4966564
1,-0.2674142,1.210595,0.5208588,1.716416,0.1702192,longPress,4,-1,-0.1134498,1.135128,-0.02193689,-0.06715281,-0.0608312,0.01134355,-0.211129,1.150138,0.4979181
1,-0.2662762,1.210663,0.521111,-5.591963,0.05837997,longPress,4,-1,-0.1131149,1.135183,-0.02198315,-0.06659756,-0.06004377,0.01084169,-0.2102815,1.150169,0.497931
1,-0.2654179,1.210276,0.5209446,-0.5281569,0.04781683,longPress,4,-1,-0.1128163,1.135167,-0.02193737,-0.06639548,-0.05928385,0.01070139,-0.2093319,1.149753,0.4976358
1,-0.2655031,1.210321,0.5209112,-2.135766,0.005101515,longPress,4,-1,-0.111893,1.135702,-0.02182388,-0.06731105,-0.05735694,0.01087,-0.2094834,1.149831,0.4978361
1,-0.2650549,1.210388,0.5201111,2.043834,0.04597819,longPress,4,-1,-0.111893,1.135702,-0.02182388,-0.06731105,-0.05735694,0.01087,-0.2089805,1.149801,0.4974279
1,-0.2650549,1.210388,0.5201111,-2.298909,0,longPress,4,-1,-0.1107631,1.136276,-0.02161217,-0.06948452,-0.05423091,0.01109556,-0.2089805,1.149801,0.4974279
1,-0.2631982,1.210478,0.5186944,5.842988,0.1168597,longPress,4,-1,-0.1096036,1.136728,-0.02132368,-0.07114577,-0.05021835,0.01019527,-0.2071925,1.149744,0.4967523
1,-0.2623666,1.210183,0.5192366,-3.253989,0.05177997,longPress,4,-1,-0.1087457,1.136978,-0.02109623,-0.07258485,-0.04638097,0.009138023,-0.206389,1.149455,0.4972095
