Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ,thumbX,thumbY,thumbZ
1,-0.3116122,0.9595426,0.5320244,-17.99326,0.03281006,pinch,1,9,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3132662,0.9634271,0.5123787
1,-0.3114545,0.9595627,0.5315375,-0.3601432,0.02560719,pinch,1,9,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,-1.28036,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1659514,1.087716,0.1311202,-0.001456179,-0.19507,0.0743081,-0.3126723,0.9629492,0.5126109
1,-0.3114545,0.9595627,0.5315375,0,0,pinch,4,-1,-0.1665435,1.087952,0.1303535,-0.003845048,-0.1951399,0.07521691,-0.3126723,0.9629492,0.5126109
1,-0.3108127,0.9591783,0.5348444,8.476072,0.1695215,pinch,4,-1,-0.1665435,1.087952,0.1303535,-0.003845048,-0.1951399,0.07521691,-0.3121166,0.9627876,0.5165477
1,-0.3108127,0.9591783,0.5348444,-8.476072,0,pinch,4,-1,-0.1665435,1.087952,0.1303535,-0.003845048,-0.1951399,0.07521691,-0.3121166,0.9627876,0.5165477
1,-0.3108127,0.9591783,0.5348444,0,0,pinch,4,-1,-0.1665435,1.087952,0.1303535,-0.003845048,-0.1951399,0.07521691,-0.3121166,0.9627876,0.5165477
1,-0.3108127,0.9591783,0.5348444,0,0,pinch,4,-1,-0.1665895,1.088018,0.1301289,-0.004522142,-0.1948446,0.07565252,-0.3121166,0.9627876,0.5165477
1,-0.3116627,0.9603645,0.5343046,3.889738,0.07779475,pinch,4,-1,-0.1665895,1.088018,0.1301289,-0.004522142,-0.1948446,0.07565252,-0.3119985,0.9615882,0.5192084
