Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ,thumbX,thumbY,thumbZ
1,-0.3264197,0.9720555,0.5275903,14.57298,0.3706613,Tap,1,9,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3162673,0.9024528,0.5081911
1,-0.3286483,0.9703746,0.5307565,-7.980577,0.2110498,Tap,1,9,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,-10.55249,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1291044,1.115438,0.03991032,-0.05235838,-0.1668999,0.02640647,-0.3186486,0.9007502,0.5110402
1,-0.3286483,0.9703746,0.5307565,0,0,Tap,4,-1,-0.1320322,1.114333,0.04276705,-0.04779757,-0.1705625,0.02902331,-0.3186486,0.9007502,0.5110402
1,-0.327529,0.9510927,0.5623026,92.47308,1.849461,Tap,3,-1,-0.1320322,1.114333,0.04276705,-0.04779757,-0.1705625,0.02902331,-0.3167565,0.8833943,0.537055
1,-0.327529,0.9510927,0.5623026,-92.47308,0,Tap,3,-1,-0.1320322,1.114333,0.04276705,-0.04779757,-0.1705625,0.02902331,-0.3167565,0.8833943,0.537055
1,-0.327529,0.9510927,0.5623026,0,0,Tap,3,-1,-0.1328536,1.113616,0.04368734,-0.04504135,-0.171754,0.02961374,-0.3167565,0.8833943,0.537055
