Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
97,-0.2185808,0.8887251,0.5216489,-1.823594,0.06010097,magicTap,1,10,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,3.107982,0.1222606,magicTap,1,10,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,-6.11303,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.117055,1.110142,-0.05010414,0.01199666,-0.1279087,0.04428968
97,-0.2185059,0.8873847,0.5236926,0,0,magicTap,4,-1,-0.1176773,1.110473,-0.05079985,0.01097369,-0.1263844,0.04443577
97,-0.2212847,0.8803667,0.5256529,19.49622,0.3899243,magicTap,4,-1,-0.1176773,1.110473,-0.05079985,0.01097369,-0.1263844,0.04443577
97,-0.2212847,0.8803667,0.5256529,-19.49622,0,magicTap,4,-1,-0.1181535,1.110977,-0.05109644,0.008573635,-0.1269865,0.04396167
97,-0.2195192,0.8789487,0.5278282,7.850118,0.1570024,magicTap,4,-1,-0.1184637,1.111161,-0.05119848,0.00781434,-0.127551,0.04395962
97,-0.2200076,0.8790852,0.5270829,-5.596465,0.04507307,magicTap,4,-1,-0.1187906,1.111293,-0.05130482,0.007383446,-0.1280172,0.04430809
97,-0.2210632,0.8785881,0.5268545,0.7186525,0.05944612,magicTap,4,-1,-0.1189572,1.111349,-0.05144596,0.006790821,-0.1281763,0.04503205
97,-0.2210632,0.8785881,0.5268545,-2.972306,0,magicTap,4,-1,-0.11917,1.111469,-0.05155277,0.006062897,-0.1283883,0.04545176
97,-0.2219065,0.8784168,0.5267792,2.159468,0.04318935,magicTap,4,-1,-0.1196522,1.111972,-0.05165482,0.003347105,-0.1279271,0.0444555
