Case,X,Y,Z,modeSelected
136,-0.2121321,0.887868,0.537,Tap
137,0.114805,1.377164,0.537,Tap
138,3.577464E-09,0.8,0.537,Tap
139,-0.114805,1.377164,0.537,Tap
140,0.212132,0.8878679,0.537,Tap
140,0.0853501,0.9439493,0.4502425,Tap
141,-0.2771639,1.214805,0.537,Tap
142,0.3,1.1,0.537,Tap
143,-0.2771639,0.985195,0.537,Tap
144,0.212132,1.312132,0.537,Tap
145,-0.1148051,0.8228362,0.537,Tap
146,-1.311342E-08,1.4,0.537,Tap
147,0.1148051,0.8228362,0.537,Tap
148,-0.212132,1.312132,0.537,Tap
149,0.2771639,0.985195,0.537,Tap
150,-0.3,1.1,0.537,Tap
151,-0.1767767,0.9232234,0.537,Tap
152,0.09567086,1.33097,0.537,Tap
153,2.98122E-09,0.85,0.537,Tap
154,-0.09567085,1.33097,0.537,Tap
155,0.1767767,0.9232233,0.537,Tap
156,-0.2309699,1.195671,0.537,Tap
157,0.25,1.1,0.537,Tap
158,-0.2309699,1.004329,0.537,Tap
159,0.1767767,1.276777,0.537,Tap
160,-0.09567089,0.8690301,0.537,Tap
161,-1.092785E-08,1.35,0.537,Tap
161,-1.092785E-08,1.35,0.537,Tap
162,0.0956709,0.8690302,0.537,Tap
163,-0.1767767,1.276777,0.537,Tap
164,0.2309699,1.004329,0.537,Tap
165,-0.25,1.1,0.537,Tap
166,-0.2474874,0.8525127,0.537,Tap
166,-0.2474874,0.8525127,0.537,Tap
167,0.1339392,1.423358,0.537,Tap
168,4.173708E-09,0.75,0.537,Tap
168,4.173708E-09,0.75,0.537,Tap
169,-0.1339392,1.423358,0.537,Tap
169,-0.1339392,1.423358,0.537,Tap
170,0.2474873,0.8525126,0.537,Tap
170,0.2474873,0.8525126,0.537,Tap
171,-0.3233578,1.233939,0.537,Tap
171,-0.3233578,1.233939,0.537,Tap
172,0.35,1.1,0.537,Tap
173,-0.3233578,0.9660608,0.537,Tap
173,-0.3233578,0.9660608,0.537,Tap
174,0.2474874,1.347487,0.537,Tap
175,-0.1339393,0.7766422,0.537,Tap
176,-1.529899E-08,1.45,0.537,Tap
177,0.1339393,0.7766422,0.537,Tap
177,0.1339393,0.7766422,0.537,Tap
178,-0.2474874,1.347487,0.537,Tap
178,-0.2474874,1.347487,0.537,Tap
179,0.3233579,0.9660608,0.537,Tap
180,-0.35,1.1,0.537,Tap
180,-0.35,1.1,0.537,Tap
