Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
145,-0.1977576,0.8927011,0.5116324,-6.124992,0.1950267,Tap,1,10,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,-6.365285,0.06772096,Tap,1,10,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,-3.386048,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1368856,1.097672,-0.03707409,0.09422667,-0.1301056,0.07668701
145,-0.1983543,0.8918191,0.5124693,0,0,Tap,4,-1,-0.1380564,1.096964,-0.03446198,0.09460676,-0.1269813,0.07905497
145,-0.2070453,0.8876475,0.5229206,35.54615,0.7109229,Tap,4,-1,-0.1380564,1.096964,-0.03446198,0.09460676,-0.1269813,0.07905497
145,-0.2070453,0.8876475,0.5229206,-35.54615,0,Tap,4,-1,-0.1388182,1.097148,-0.03341246,0.09483974,-0.126483,0.07945761
145,-0.2100391,0.8895463,0.52,11.48327,0.2296654,Tap,4,-1,-0.1390875,1.0973,-0.03313923,0.09430099,-0.1263107,0.07929861
145,-0.2112694,0.8884246,0.5196009,-7.203005,0.08560533,Tap,4,-1,-0.1391373,1.096408,-0.03299952,0.09399199,-0.1268629,0.0803844
145,-0.2118974,0.8897216,0.5195231,-0.6723278,0.07215878,Tap,4,-1,-0.1390702,1.096215,-0.03315926,0.09476019,-0.1272472,0.08101124
145,-0.2125192,0.8886685,0.5190668,-0.3445856,0.06526706,Tap,4,-1,-0.1393826,1.095974,-0.03293228,0.09824196,-0.1265191,0.08092745
145,-0.2137649,0.8880022,0.5197835,0.6969292,0.07920565,Tap,4,-1,-0.139513,1.095738,-0.03301001,0.09917312,-0.1261096,0.08052163
145,-0.2140039,0.8879894,0.519074,-2.088272,0.0374402,Tap,4,-1,-0.1396848,1.09562,-0.0329895,0.09905887,-0.1258732,0.08045474
145,-0.2140765,0.8877555,0.5190606,-1.258717,0.01226586,Tap,4,-1,-0.1400193,1.096092,-0.03274393,0.09626194,-0.1255146,0.0805079
145,-0.2150667,0.8870766,0.5193644,2.482844,0.06192274,Tap,4,-1,-0.1400121,1.09659,-0.03272963,0.09424665,-0.1245842,0.07978595
145,-0.2147364,0.8855031,0.5197353,1.028845,0.08249965,Tap,4,-1,-0.1386745,1.099273,-0.03262472,0.08787602,-0.1189234,0.07922973
145,-0.2144915,0.8835689,0.5201321,0.8490857,0.09948137,Tap,4,-1,-0.1360922,1.103051,-0.03201532,0.07340213,-0.1045432,0.07894646
145,-0.2167586,0.8831789,0.5182171,2.508946,0.1496603,Tap,4,-1,-0.1339719,1.10591,-0.03159332,0.06352998,-0.09400894,0.07927869
145,-0.2178951,0.8832812,0.5176668,-4.31607,0.0633389,Tap,4,-1,-0.1313261,1.109186,-0.03126287,0.0504422,-0.08167155,0.08173109
145,-0.2189965,0.8848951,0.516603,2.394979,0.1112385,Tap,4,-1,-0.1284382,1.1131,-0.03120995,0.03496294,-0.06603879,0.08098926
145,-0.2199861,0.8867373,0.5154619,0.393717,0.1191128,Tap,4,-1,-0.1177659,1.123887,-0.03333235,-0.01525459,-0.01679031,0.08472766
145,-0.2202815,0.886391,0.5146642,-3.659454,0.04592375,Tap,4,-1,-0.1139894,1.12798,-0.034863,-0.03266606,0.000943813,0.08774135
145,-0.2217992,0.8910253,0.5099492,14.66173,0.3391584,Tap,4,-1,-0.1097437,1.132097,-0.03715038,-0.05087063,0.01961434,0.09015588
145,-0.2244406,0.8999869,0.4996614,17.7845,0.6948484,Tap,3,-1,-0.1018353,1.139045,-0.04305029,-0.07737635,0.05399371,0.09619491
145,-0.2244332,0.9084707,0.4763284,27.32643,1.241377,Tap,3,-1,-0.09809184,1.141872,-0.04606342,-0.0875067,0.06858592,0.1001911
145,-0.2270786,0.914374,0.4561782,-9.161085,1.058155,Tap,3,-1,-0.09437639,1.144743,-0.04917431,-0.09721864,0.08188114,0.1018636
145,-0.2257909,0.9222831,0.4485092,-25.17855,0.5545843,Tap,3,-1,-0.08830016,1.149219,-0.05509853,-0.1165727,0.1100055,0.09407587
145,-0.2162229,0.9367512,0.4205613,54.50361,1.644656,Tap,3,-1,-0.08087157,1.153083,-0.06233835,-0.1289596,0.1333153,0.09846
145,-0.2141908,0.9440786,0.4127355,-54.95372,0.5455821,Tap,3,-1,-0.07839239,1.153691,-0.06561327,-0.1285267,0.1409311,0.09860679
145,-0.209945,0.9492844,0.4023919,3.554776,0.6166776,Tap,3,-1,-0.07839239,1.153691,-0.06561327,-0.1285267,0.1409311,0.09860679
145,-0.209945,0.9492844,0.4023919,-30.83388,0,Tap,3,-1,-0.07060848,1.155984,-0.07577372,-0.1368052,0.1668598,0.0962139
145,-0.1958283,0.961248,0.3640733,106.3815,2.12763,Tap,3,-1,-0.06858618,1.156531,-0.07897043,-0.1366757,0.1711124,0.09487208
145,-0.1805747,0.9781537,0.3216114,14.07298,2.40909,Tap,3,-1,-0.06562179,1.157997,-0.08408976,-0.1393876,0.1753786,0.09230348
145,-0.1719353,0.9808213,0.2952929,-50.88338,1.391423,Tap,3,-1,-0.06406854,1.159271,-0.08651447,-0.142102,0.1759856,0.09177888
145,-0.1638986,0.9830411,0.2785707,-22.85741,0.9342743,Tap,3,-1,-0.06181666,1.161083,-0.09106159,-0.1483005,0.1718436,0.09225999
145,-0.1487857,0.9889245,0.251842,31.44621,1.563199,Tap,3,-1,-0.06068805,1.161987,-0.09305906,-0.1503697,0.1688341,0.09143811
145,-0.1421718,0.9936666,0.2439475,-49.81445,0.5669095,Tap,3,-1,-0.06004001,1.162944,-0.0949235,-0.1526199,0.1654598,0.08887677
145,-0.1313361,0.9999421,0.2286167,21.14108,0.9897311,Tap,3,-1,-0.05801548,1.164994,-0.09838009,-0.1557643,0.157656,0.0865397
145,-0.1122692,1.023864,0.2094631,40.74441,1.804619,Tap,3,-1,-0.05717964,1.165843,-0.09959078,-0.1569165,0.1531992,0.08731133
145,-0.10372,1.034339,0.2066722,-55.71549,0.6903095,Tap,3,-1,-0.05607896,1.168638,-0.1013098,-0.161672,0.1427474,0.08388532
145,-0.08476571,1.058847,0.2065969,42.93932,1.549096,Tap,3,-1,-0.05550274,1.16952,-0.1018944,-0.1648628,0.1380262,0.08072124
145,-0.07452347,1.071483,0.2064443,-36.78893,0.8133171,Tap,3,-1,-0.05407746,1.170795,-0.1025648,-0.1701139,0.1282367,0.07505788
145,-0.04163871,1.11711,0.2159867,101.9513,2.852343,Tap,3,-1,-0.05337844,1.171493,-0.1026096,-0.1725549,0.1231495,0.07340585
145,-0.02853008,1.143658,0.2146029,-68.51579,1.482027,Tap,3,-1,-0.05230914,1.173136,-0.1020546,-0.1769716,0.1134638,0.0691008
145,-0.007368818,1.183602,0.2133532,38.94818,2.26099,Tap,3,-1,-0.05177608,1.173554,-0.1013966,-0.17928,0.1107021,0.06536459
145,-0.001269005,1.199891,0.2211185,-65.42895,0.9524115,Tap,3,-1,-0.05041684,1.174694,-0.1003222,-0.1831201,0.1038036,0.0600208
145,0.006994568,1.214586,0.2224998,-5.33092,0.8457931,Tap,3,-1,-0.04979577,1.175097,-0.09943056,-0.1841632,0.1012899,0.05773954
145,0.009272017,1.224808,0.2366791,1.779231,0.8813777,Tap,3,-1,-0.04921433,1.175654,-0.0982337,-0.184718,0.0981416,0.05600483
145,0.02223597,1.247165,0.2515182,30.43297,1.490037,Tap,3,-1,-0.0482459,1.177458,-0.09557867,-0.1873509,0.09253351,0.0510644
145,0.02923968,1.268669,0.2610664,-13.13011,1.227435,Tap,3,-1,-0.04755417,1.178246,-0.09408331,-0.1892452,0.09058631,0.04953754
145,0.02911184,1.27806,0.2754679,-18.38814,0.859672,Tap,3,-1,-0.04610949,1.179028,-0.09123945,-0.1912571,0.08693355,0.04959929
145,0.03294614,1.291683,0.2856593,0.6156892,0.8719858,Tap,3,-1,-0.04546287,1.179525,-0.08947849,-0.1920721,0.08553951,0.04822727
145,0.03578834,1.297454,0.2875109,-26.8632,0.3347217,Tap,3,-1,-0.04481164,1.180383,-0.08759737,-0.193303,0.08488492,0.04548602
145,0.03947949,1.303627,0.2903042,2.553363,0.385789,Tap,3,-1,-0.04322326,1.182215,-0.08384323,-0.1952889,0.08446136,0.04228576
145,0.04854951,1.317588,0.3233123,73.13287,1.848446,Tap,3,-1,-0.04228149,1.182451,-0.08206272,-0.1962447,0.08355159,0.04289304
