Case,X,Y,Z,modeSelected
46,-0.2309699,1.004329,0.537,Tap
47,0.25,1.1,0.537,Tap
47,0.03971308,1.153224,0.4280198,Tap
48,-0.2309699,1.195671,0.537,Tap
48,-0.09693056,1.048947,0.4185372,Tap
49,0.1767767,0.9232233,0.537,Tap
50,-0.09567085,1.33097,0.537,Tap
50,0.009501994,1.167466,0.407092,Tap
51,2.98122E-09,0.85,0.537,Tap
52,0.09567086,1.33097,0.537,Tap
53,-0.1767767,0.9232234,0.537,Tap
54,0.2309699,1.195671,0.537,Tap
55,-0.25,1.1,0.537,Tap
55,-0.04575506,0.9980557,0.5245411,Tap
55,0.1767767,0.9232233,0.537,Tap
56,0.2309699,1.004329,0.537,Tap
57,-0.1767767,1.276777,0.537,Tap
58,0.0956709,0.8690302,0.537,Tap
58,0.0956709,0.8690302,0.537,Tap
58,0.0956709,0.8690302,0.537,Tap
59,-1.092785E-08,1.35,0.537,Tap
59,-1.092785E-08,1.35,0.537,Tap
59,0.01950109,1.240084,0.4527683,Tap
60,-0.09567089,0.8690301,0.537,Tap
61,-0.3233578,0.9660608,0.537,Tap
61,-0.3233578,0.9660608,0.537,Tap
61,-0.3233578,0.9660608,0.537,Tap
62,0.35,1.1,0.537,Tap
62,0.35,1.1,0.537,Tap
63,-0.3233578,1.233939,0.537,Tap
63,-0.3233578,1.233939,0.537,Tap
64,0.2474873,0.8525126,0.537,Tap
65,-0.1339392,1.423358,0.537,Tap
66,4.173708E-09,0.75,0.537,Tap
67,0.1339392,1.423358,0.537,Tap
67,-0.03418159,1.077782,0.4661612,Tap
67,-0.1725441,0.8734387,0.4653121,Tap
68,-0.2474874,0.8525127,0.537,Tap
68,-0.2474874,0.8525127,0.537,Tap
68,0.1825932,1.076595,0.5007885,Tap
69,0.3233578,1.233939,0.537,Tap
70,-0.35,1.1,0.537,Tap
71,0.3233579,0.9660608,0.537,Tap
71,0.3233579,0.9660608,0.537,Tap
72,-0.2474874,1.347487,0.537,Tap
73,0.1339393,0.7766422,0.537,Tap
74,-1.529899E-08,1.45,0.537,Tap
75,-0.1339393,0.7766422,0.537,Tap
76,-0.2771639,0.985195,0.537,Tap
76,0.2083736,1.051709,0.4686344,Tap
77,0.3,1.1,0.537,Tap
77,0.06696564,1.10451,0.5275162,Tap
78,-0.2771639,1.214805,0.537,Tap
79,0.212132,0.8878679,0.537,Tap
80,-0.114805,1.377164,0.537,Tap
81,3.577464E-09,0.8,0.537,Tap
81,-0.0921264,1.163103,0.4924921,Tap
82,0.114805,1.377164,0.537,Tap
83,-0.2121321,0.887868,0.537,Tap
84,0.2771639,1.214805,0.537,Tap
84,0.2771639,1.214805,0.537,Tap
84,-0.1882941,1.121469,0.4564608,Tap
85,-0.3,1.1,0.537,Tap
85,-0.1768949,1.053545,0.5025096,Tap
86,0.2771639,0.985195,0.537,Tap
86,0.2771639,0.985195,0.537,Tap
86,0.2771639,0.985195,0.537,Tap
87,-0.212132,1.312132,0.537,Tap
87,-0.1159263,1.124254,0.4757714,Tap
88,0.1148051,0.8228362,0.537,Tap
89,-1.311342E-08,1.4,0.537,Tap
90,-0.1148051,0.8228362,0.537,Tap
90,-0.1148051,0.8228362,0.537,Tap
