Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ
1,-0.2233985,1.020334,0.5146527,28.86135,0.6914527,pinch,1,9,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,-19.1621,0.3082107,pinch,1,9,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,-15.41054,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311714,1.119921,-0.007616043,-0.04015377,-0.08675818,0.000496354
1,-0.2266445,1.015093,0.5146332,0,0,pinch,4,-1,-0.07311672,1.119829,-0.007608891,-0.03971324,-0.08657652,-0.000970339
1,-0.2260373,1.006964,0.5253057,33.57408,0.6714815,pinch,4,-1,-0.07311672,1.119829,-0.007608891,-0.03971324,-0.08657652,-0.000970339
1,-0.2260373,1.006964,0.5253057,-33.57408,0,pinch,4,-1,-0.07311672,1.119829,-0.007608891,-0.03971324,-0.08657652,-0.000970339
