Case,X,Y,Z,a,v,modeSelected,area_type,index,is_triggered,,,,,
49,-0.2191182,0.9897997,0.499289,10.72059,0.2581083,Tap,1,9,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,-11.33355,0.03143729,Tap,1,9,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,-1.571865,0,Tap,4,-1,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,0,0,Tap,4,-1,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,0,0,Tap,4,-1,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,0,0,Tap,4,-1,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,0,0,Tap,4,-1,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,0,0,Tap,4,-1,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,0,0,Tap,4,-1,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,0,0,Tap,4,-1,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,0,0,Tap,4,-1,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,0,0,Tap,4,-1,-0.0544936,1.101783,-0.01028967,0.01987034,-0.1037351,-0.01483379
49,-0.2193239,0.9894829,0.4997916,0,0,Tap,4,-1,-0.05649504,1.101982,-0.01054144,0.01811657,-0.102709,-0.01404332
49,-0.220347,0.9887257,0.5071921,18.77294,0.3754587,Tap,4,-1,-0.05649504,1.101982,-0.01054144,0.01811657,-0.102709,-0.01404332
49,-0.220347,0.9887257,0.5071921,-18.77294,0,Tap,4,-1,-0.05710083,1.101871,-0.01057673,0.01817601,-0.1030098,-0.01387682
49,-0.2235551,0.9872624,0.5109372,12.85943,0.2571885,Tap,4,-1,-0.05749693,1.101771,-0.01043367,0.01830427,-0.1032967,-0.01364039
49,-0.2233754,0.9862486,0.5155878,-0.9514451,0.2381596,Tap,4,-1,-0.05776734,1.101737,-0.01043129,0.01841519,-0.1033532,-0.01360402
