Case,X,Y,Z,a,v,modeSelected,area_type,index,headX,headY,headZ,eyeX,eyeY,eyeZ,thumbX,thumbY,thumbZ
1,-0.1057392,0.8183953,0.5295405,7.694684,0.1538937,magicTap,1,11,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.0811509,0.7299939,0.4884868
1,-0.1047188,0.8164966,0.530839,-1.403686,0.12582,magicTap,1,11,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,-6.290998,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04891394,1.114749,0.0463953,0.08490098,-0.0610465,-0.02650031,-0.08010046,0.7283702,0.4893532
1,-0.1047188,0.8164966,0.530839,0,0,magicTap,4,-1,-0.04665103,1.115588,0.04510593,0.08038982,-0.0550401,-0.02844278,-0.08010046,0.7283702,0.4893532
1,-0.1009774,0.8181066,0.5332689,11.85712,0.2371425,magicTap,4,-1,-0.04665103,1.115588,0.04510593,0.08038982,-0.0550401,-0.02844278,-0.07656433,0.7292794,0.4931135
1,-0.1009774,0.8181066,0.5332689,-11.85712,0,magicTap,4,-1,-0.04665103,1.115588,0.04510593,0.08038982,-0.0550401,-0.02844278,-0.07656433,0.7292794,0.4931135
1,-0.1009774,0.8181066,0.5332689,0,0,magicTap,4,-1,-0.04555049,1.116231,0.04438972,0.07771327,-0.05199466,-0.02914488,-0.07656433,0.7292794,0.4931135
1,-0.1015017,0.8211235,0.5315151,8.82211,0.1764422,magicTap,4,-1,-0.04526724,1.116462,0.04404497,0.07622352,-0.0508741,-0.02930886,-0.07527243,0.7320095,0.4932566
1,-0.1005722,0.818962,0.5314507,-2.937619,0.1176898,magicTap,4,-1,-0.04506205,1.116648,0.04384995,0.07534025,-0.05017172,-0.02939304,-0.07500049,0.730674,0.491189
1,-0.1005296,0.8190746,0.5314822,-5.57359,0.006217998,magicTap,4,-1,-0.04469992,1.117017,0.04358673,0.07378351,-0.0493926,-0.02947149,-0.07490434,0.7306875,0.4910989
1,-0.1006185,0.8196367,0.5306506,2.208353,0.05038506,magicTap,4,-1,-0.04451322,1.117298,0.04332447,0.07263077,-0.04879842,-0.0294242,-0.07467587,0.7308995,0.490324
1,-0.1007792,0.8205757,0.5293479,1.51547,0.08069445,magicTap,4,-1,-0.04422051,1.11774,0.04301119,0.07073338,-0.04764157,-0.02948103,-0.07433102,0.7312011,0.4891291
1,-0.1007792,0.8205757,0.5293479,-4.034723,0,magicTap,4,-1,-0.04375214,1.118515,0.04291201,0.06727504,-0.04559123,-0.02983033,-0.07433102,0.7312011,0.4891291
1,-0.1003259,0.8217744,0.530076,3.684923,0.07369847,magicTap,4,-1,-0.04293695,1.119811,0.0425725,0.06182522,-0.04223809,-0.03030531,-0.07448117,0.7322349,0.4902492
1,-0.1002094,0.8221405,0.5305223,-2.212711,0.02944425,magicTap,4,-1,-0.04200017,1.121538,0.04264402,0.05367812,-0.03746897,-0.03053614,-0.07438578,0.7327802,0.4907641
1,-0.1008794,0.8229339,0.5300703,1.359243,0.05662911,magicTap,4,-1,-0.04090373,1.123438,0.04264641,0.0462547,-0.03221672,-0.03067447,-0.07470319,0.7336987,0.4907236
1,-0.1008794,0.8229339,0.5300703,-2.831455,0,magicTap,4,-1,-0.03697746,1.128342,0.04252481,0.02383443,-0.01118427,-0.02890902,-0.07470319,0.7336987,0.4907236
1,-0.1004091,0.82455,0.5292912,4.636887,0.09273773,magicTap,4,-1,-0.03455912,1.130915,0.04236174,0.01102181,0.002287782,-0.02516413,-0.07493611,0.7348434,0.4906602
1,-0.1003167,0.8251541,0.5290151,-2.9604,0.03352973,magicTap,4,-1,-0.02936195,1.13723,0.04160786,-0.0206177,0.03310013,-0.01279627,-0.07498315,0.7353544,0.4906859
1,-0.1001725,0.8258389,0.528688,0.2545882,0.03862149,magicTap,4,-1,-0.02924059,1.137486,0.04091072,-0.02837654,0.04037344,-0.009268502,-0.07472928,0.7360852,0.4906631
1,-0.09900516,0.8252537,0.5296273,2.090398,0.08042946,magicTap,4,-1,-0.02296882,1.144492,0.03832293,-0.06667853,0.07910453,0.001761806,-0.07419394,0.7359595,0.4909534
1,-0.09814556,0.8248914,0.5303097,-1.132039,0.05778868,magicTap,4,-1,-0.02028129,1.146384,0.03639269,-0.08077236,0.0968364,0.006410836,-0.07384358,0.7360015,0.4912176
1,-0.09819368,0.8249057,0.5302734,-2.734655,0.003095594,magicTap,4,-1,-0.01839609,1.147056,0.03485537,-0.09022794,0.1098708,0.01049277,-0.07384846,0.7359926,0.4912024
1,-0.09807096,0.8250574,0.5301056,0.488665,0.01286889,magicTap,4,-1,-0.01612375,1.148643,0.0328064,-0.09777371,0.1251816,0.01558343,-0.0736606,0.7356915,0.4910812
1,-0.09877056,0.8266158,0.5286784,4.921485,0.1112986,magicTap,4,-1,-0.01230409,1.150896,0.02918673,-0.1158303,0.1512319,0.02473886,-0.07421239,0.7368622,0.4905014
